_ts|player_id|place|ball|direc
0|59380|da|0|no
0|59741|mf|1|fw
0|43274|da|0|no
0|14664|mf|1|fw
1|14664|mf|1|fw
3|14516|mf|1|la
7|27300|di|0|fw
7|57001|oi|0|la
9|27701|mf|1|fw
9|66733|mf|1|fw
10|66733|mf|1|fw
12|60025|mf|0|fw
13|19523|di|0|la
13|60025|mf|1|fw
14|19523|mf|0|la
14|60025|mf|0|fw
19|42738|mf|0|fw
24|27300|di|0|fw
25|27300|di|1|fw
27|12204|di|1|la
28|12204|di|1|la
31|50369|mf|1|la
32|59741|mf|0|fw
33|59741|mf|0|fw
33|50369|mf|0|la
36|59741|mf|0|fw
36|50369|mf|0|la
43|50369|mf|0|la
46|12204|di|0|la
47|12204|di|1|la
48|27300|di|1|la
49|27701|mf|1|fw
49|27300|di|1|la
50|27701|mf|1|fw
51|42738|mf|1|fw
52|42738|mf|1|fw
54|27701|mf|1|fw
59|27701|oa|0|fw
59|28111|da|0|la
80|12056|da|0|la
84|27701|mf|1|fw
85|50369|mf|1|la
86|50369|mf|1|la
87|59380|mf|1|la
88|59380|mf|1|la
89|80226|mf|0|fw
90|80226|mf|0|fw
90|60025|mf|1|la
93|80226|mf|0|fw
94|80226|mf|0|fw
94|60025|mf|0|la
101|50369|mf|0|la
103|60025|mf|0|la
104|60025|mf|1|la
107|14516|di|0|fw
107|62914|oi|0|la
109|52068|di|0|fw
109|43274|di|1|la
110|43274|di|1|la
110|28111|di|1|la
111|43274|di|1|la
111|28111|di|1|la
112|43274|di|1|la
114|28111|di|1|la
118|27300|di|0|fw
118|28111|mf|0|la
125|28111|mf|0|la
129|52068|mf|0|la
130|52068|mf|1|la
132|14516|di|1|la
133|14516|di|1|la
137|28301|mf|1|fw
138|14664|mf|1|fw
138|28301|mf|1|fw
139|14664|mf|1|fw
139|28301|mf|1|fw
140|28301|mf|1|fw
144|52068|di|1|la
145|52068|di|1|la
149|14516|di|1|la
150|14516|di|1|la
153|52068|di|1|la
159|27701|da|0|fw
159|52068|oa|0|la
179|42738|da|0|fw
182|60025|di|1|fw
186|14516|di|0|la
190|52068|di|1|la
190|14516|di|1|la
191|52068|di|1|la
191|14516|di|1|la
192|14516|di|1|la
197|28301|mf|1|fw
204|48844|da|0|la
206|48844|da|1|la
209|12204|da|1|la
210|12204|di|1|la
212|50369|di|1|la
213|50369|di|1|la
215|42824|di|1|la
216|42824|di|1|la
220|27701|mf|1|la
221|27701|mf|1|fw
222|42738|mf|1|fw
223|42738|mf|1|fw
225|27300|mf|1|fw
226|27300|mf|1|fw
229|12204|di|1|la
230|12204|mf|1|la
233|60025|mf|1|la
234|60025|mf|1|la
239|59380|mf|0|la
239|57001|mf|0|fw
240|59380|mf|0|la
240|57001|mf|0|fw
252|50369|mf|0|la
253|27701|mf|1|la
255|19523|di|0|la
256|19523|di|1|la
259|12056|da|1|la
260|12056|da|1|la
263|28111|di|1|la
264|42738|oi|0|fw
266|42738|oi|0|fw
266|28111|di|0|la
279|28111|di|0|la
283|28301|mf|0|la
