_ts|player_id|place|ball|direc
0|66749|mf|1|la
0|42786|da|0|no
0|61366|mf|1|fw
0|61680|da|0|no
1|41189|mf|1|la
1|61366|mf|1|fw
2|41189|mf|1|la
4|15943|mf|1|la
5|15943|mf|1|la
7|8924|di|1|fw
8|8924|mf|1|fw
11|55605|mf|1|fw
11|61680|mf|0|la
13|55605|mf|0|fw
13|61680|mf|0|la
19|55605|mf|0|fw
20|41184|mf|0|fw
21|41184|mf|1|fw
22|61366|mf|1|fw
23|61366|mf|1|fw
25|15943|mf|1|la
26|15943|mf|1|la
27|42786|mf|1|la
28|42786|mf|1|la
30|15943|di|1|la
31|15943|di|1|la
33|17476|di|1|la
34|17476|da|1|la
38|8924|di|1|fw
39|8924|mf|1|fw
41|55605|mf|1|fw
42|55605|mf|1|fw
47|54917|oa|0|fw
48|51255|da|0|la
49|54917|oa|0|fw
49|51255|da|0|la
72|54917|oa|0|fw
76|11225|da|0|la
78|69495|di|0|la
80|15943|mf|0|fw
80|31886|mf|0|la
81|31886|mf|1|la
82|69495|mf|0|la
84|57038|mf|1|la
85|57038|oi|1|fw
91|61680|oa|1|la
92|55605|da|0|la
92|61680|oa|0|fw
187|60772|da|0|la
188|60772|da|0|la
189|17476|di|0|la
190|17476|di|1|la
193|8924|di|1|fw
194|8924|mf|1|fw
196|55605|mf|1|fw
198|55605|mf|0|fw
198|61680|mf|0|la
201|51255|mf|0|la
202|52941|mf|0|la
202|61366|mf|0|fw
203|61366|mf|1|fw
204|54917|oi|0|fw
205|66749|oi|1|fw
205|54917|mf|1|fw
206|66749|oi|1|fw
207|61366|oi|0|fw
209|11225|da|0|la
209|61366|da|0|no
210|55605|mf|0|fw
210|61680|mf|0|la
211|55605|da|0|no
212|57038|mf|0|la
213|57038|mf|1|la
215|52941|mf|1|la
216|52941|mf|1|la
218|18686|di|1|fw
219|81610|mf|1|fw
219|18686|di|1|fw
220|81610|mf|1|fw
222|31886|mf|1|fw
224|41184|mf|1|la
227|55605|mf|0|fw
230|54917|oa|1|fw
231|54917|oa|0|fw
231|51255|da|0|la
233|54917|oa|0|fw
240|42786|oa|0|fw
241|41189|oi|1|la
241|42786|oi|1|la
242|41189|oi|1|la
243|15943|mf|1|la
244|15943|mf|1|la
247|17476|mf|1|la
248|17476|mf|1|la
251|8924|mf|1|fw
252|8924|mf|1|fw
253|41189|mf|1|fw
254|41189|mf|1|fw
255|41184|mf|1|fw
256|41184|mf|1|fw
258|8924|mf|1|fw
259|8924|mf|1|fw
259|55605|mf|1|fw
260|55605|mf|1|fw
262|8924|mf|1|fw
263|8924|mf|1|fw
265|41189|mf|1|la
266|41189|mf|1|la
268|8924|di|1|fw
269|8924|mf|1|fw
272|66749|mf|0|fw
272|11225|mf|0|la
273|66749|mf|0|fw
273|52941|mf|0|la
274|66749|mf|0|fw
274|52941|mf|0|la
280|55605|mf|0|fw
282|11225|da|0|no
282|41184|oi|1|fw
284|55605|mf|1|fw
285|55605|mf|1|fw
289|8924|mf|1|fw
290|8924|mf|1|fw
291|17476|di|1|la
292|17476|di|1|la
294|15943|mf|1|la
295|15943|mf|1|la
298|42786|mf|0|la
298|69495|mf|0|fw
299|42786|mf|1|la
301|49230|mf|0|la
302|52941|mf|0|fw
304|55605|mf|0|fw
304|61680|mf|0|la
307|55605|oi|1|fw
309|42786|da|0|no
310|81610|da|0|la
312|52941|di|0|la
314|41189|mf|0|fw
314|49230|mf|0|la
317|49230|mf|0|la
318|41189|mf|0|fw
318|49230|mf|0|la
320|8924|mf|0|fw
321|41189|mf|0|fw
321|8924|mf|1|fw
325|41189|mf|1|fw
326|41189|mf|1|fw
326|8924|di|1|fw
327|8924|di|1|fw
332|17476|di|1|la
333|17476|mf|1|la
334|15943|mf|1|la
335|15943|mf|1|la
337|60772|da|1|la
338|60772|da|1|la
342|8924|di|1|fw
343|8924|di|1|fw
345|17476|di|1|la
346|17476|di|1|la
348|15943|mf|1|la
349|15943|mf|1|la
350|41189|mf|1|la
351|41189|mf|1|la
353|55605|mf|1|fw
354|55605|mf|1|fw
358|17476|di|1|la
359|17476|di|1|la
361|8924|di|1|fw
362|8924|mf|1|fw
364|41184|mf|0|fw
365|49230|mf|0|la
370|61366|mf|0|la
370|49230|mf|0|fw
373|18686|mf|0|fw
376|41189|mf|0|la
379|41189|mf|1|fw
381|55605|mf|1|fw
382|55605|mf|1|fw
387|17476|mf|1|la
388|17476|mf|1|la
389|66749|mf|0|la
393|81610|da|0|la
396|15943|oi|1|la
397|41184|oi|0|la
400|11225|di|0|fw
400|41184|oi|0|la
400|18686|di|0|fw
417|15943|oa|0|la
417|41184|oa|0|fw
418|41184|oa|1|fw
421|61366|oi|0|la
424|18686|da|0|no
428|61366|mf|1|la
432|60772|da|1|la
433|60772|da|1|la
440|17476|di|1|la
441|17476|di|1|la
442|8924|di|1|fw
443|8924|mf|1|fw
447|42786|oi|1|la
448|42786|oi|1|la
451|41184|oa|1|la
452|41184|oa|1|la
454|42786|oa|0|la
455|52941|da|0|no
455|42786|oa|0|la
466|81610|da|0|fw
467|18686|da|0|la
468|18686|da|1|la
470|57038|mf|1|fw
471|57038|mf|1|fw
473|55605|mf|0|fw
473|61680|mf|0|la
492|11225|mf|0|la
494|51255|mf|0|la
495|51255|mf|1|la
497|18686|mf|1|la
498|18686|mf|1|la
500|11225|mf|1|fw
501|11225|mf|1|fw
502|57038|oi|0|fw
506|41189|mf|0|fw
508|54917|mf|1|fw
510|11225|da|0|la
513|81610|di|1|la
514|41189|mf|0|la
514|49230|di|1|la
515|41189|mf|1|la
518|15943|mf|1|la
519|15943|mf|1|la
519|17476|mf|1|la
520|17476|mf|1|la
522|8924|mf|1|fw
523|8924|mf|1|fw
526|55605|mf|1|fw
529|18686|di|0|la
532|41184|mf|1|fw
535|54917|oi|0|fw
537|51255|da|0|la
538|54917|oa|0|fw
538|49230|da|0|la
550|55605|oa|0|fw
554|81610|da|0|la
560|42786|oa|1|fw
562|15943|oi|0|la
562|11225|da|0|la
565|41184|da|0|no
566|18090|da|0|no
587|18090|da|0|la
594|49230|mf|0|la
595|49230|mf|1|la
595|18686|mf|1|la
596|18686|mf|1|la
596|51255|mf|1|la
597|51255|mf|1|la
598|18686|mf|1|la
599|18686|mf|1|la
602|11225|di|1|la
603|11225|mf|1|fw
604|69495|mf|1|fw
606|17476|mf|0|la
608|52941|mf|1|fw
608|81610|mf|1|fw
609|52941|mf|1|fw
614|31886|mf|0|fw
614|42786|da|0|no
618|61366|mf|0|la
618|49230|mf|0|fw
623|15943|mf|0|la
624|61366|mf|1|la
624|49230|da|0|no
625|17476|di|1|la
626|17476|di|1|la
631|8924|mf|0|fw
631|49230|mf|0|la
632|8924|mf|1|fw
632|54917|mf|1|fw
633|54917|mf|1|fw
634|66749|mf|1|fw
637|51255|da|0|la
639|18090|da|1|la
646|51255|da|1|la
648|61680|mf|1|la
649|61680|di|1|la
653|41184|mf|0|fw
653|51255|mf|0|la
654|41184|mf|0|fw
654|51255|mf|0|la
667|52941|mf|0|la
667|51255|mf|0|la
668|52941|mf|1|la
669|51255|mf|1|la
670|51255|mf|1|la
677|57038|oa|1|la
678|41189|da|0|la
680|41184|mf|1|fw
681|54917|mf|0|fw
683|54917|mf|1|fw
684|18686|mf|0|la
685|18686|mf|1|la
686|51255|mf|0|la
687|49230|mf|1|la
687|51255|mf|1|la
688|49230|mf|1|la
689|69495|oi|1|fw
690|69495|oi|1|la
694|57038|da|0|no
696|61680|oa|1|la
703|41184|di|0|la
703|69495|oi|0|fw
704|49230|oi|0|fw
704|60772|da|0|la
707|8924|da|0|la
709|8924|da|0|la
709|49230|oa|0|fw
739|51255|oa|0|fw
743|41189|da|0|la
744|61366|da|1|la
745|42786|mf|0|fw
746|42786|da|0|no
746|69495|mf|0|la
767|8924|di|0|fw
769|17476|di|0|la
770|17476|di|1|la
773|8924|di|1|fw
774|8924|mf|1|fw
778|17476|di|1|la
779|17476|di|1|la
781|15943|mf|1|la
784|66749|oi|0|la
784|11225|di|0|fw
789|11225|di|0|fw
792|18686|mf|0|la
793|18686|mf|1|la
794|51255|di|1|la
795|51255|di|1|la
797|11225|di|1|fw
799|17476|mf|0|la
799|31886|mf|1|fw
803|57038|oi|1|fw
804|41184|di|0|la
808|61366|mf|0|la
808|69495|mf|0|fw
813|11225|di|0|la
813|61366|oi|0|fw
814|61366|oi|1|fw
817|54917|oa|1|fw
818|52941|da|0|la
821|55605|oi|1|fw
822|52941|di|0|la
822|55605|oi|0|fw
846|51255|di|0|la
847|41184|mf|0|fw
848|66749|oi|1|fw
848|54917|mf|1|fw
848|41184|mf|1|fw
849|66749|oi|1|fw
849|54917|mf|1|fw
850|54917|oi|1|fw
851|54917|oi|1|fw
853|61366|oa|1|fw
855|18090|da|0|la
857|18090|da|0|la
860|31886|di|0|fw
861|31886|mf|1|fw
863|69495|mf|1|fw
869|17476|da|0|la
873|17476|da|1|la
875|61366|mf|1|la
876|61366|mf|1|la
878|41189|mf|1|la
879|41189|mf|1|la
884|42786|mf|1|la
885|42786|mf|1|la
891|41184|oa|0|fw
892|51255|da|0|la
894|41184|oa|0|fw
894|51255|da|0|la
896|41184|oa|0|fw
899|55605|oi|0|fw
900|55605|oi|1|fw
902|61366|mf|1|fw
904|51255|di|0|la
905|51255|di|1|la
905|57038|mf|1|la
906|57038|mf|1|la
914|69495|mf|1|la
915|69495|oi|1|la
918|49230|oi|1|fw
922|42786|da|0|no
923|31886|oi|0|fw
923|42786|di|0|la
939|15943|da|0|la
942|66749|mf|0|la
942|31886|mf|0|fw
946|66749|mf|0|la
946|31886|oi|0|fw
946|81610|mf|0|fw
962|15943|di|0|la
965|41184|mf|1|la
968|51255|di|0|la
971|51255|di|1|la
974|81610|mf|1|fw
975|81610|mf|1|fw
977|31886|mf|1|fw
978|31886|mf|1|fw
979|11225|di|1|fw
980|11225|di|1|fw
982|18686|di|1|la
983|18686|di|1|la
984|51255|mf|1|la
985|51255|mf|1|la
987|49230|mf|0|la
988|54917|mf|1|fw
988|55605|mf|1|fw
989|54917|mf|1|fw
990|61366|mf|0|fw
991|61366|mf|0|fw
991|51255|mf|0|la
994|51255|mf|0|la
995|51255|mf|1|la
996|52941|mf|1|la
998|17476|di|0|la
999|17476|di|1|la
1002|41184|mf|1|la
1003|41184|mf|1|la
1007|31886|mf|0|fw
1007|42786|mf|0|la
1009|42786|oi|1|la
1010|41184|oi|1|la
1011|41184|mf|1|la
1014|41189|mf|1|fw
1015|41189|mf|1|fw
1020|55605|oa|0|fw
1023|55605|oa|0|fw
1023|61680|da|0|la
1049|18090|da|0|la
1055|54917|mf|0|fw
1062|49230|mf|0|la
1062|51255|mf|0|la
1063|49230|mf|1|la
1063|51255|mf|1|la
1064|49230|mf|1|la
1065|18686|di|1|la
1066|18686|di|1|la
1067|18090|da|1|la
1068|18090|da|1|la
1075|11225|di|1|la
1076|11225|mf|1|fw
1077|49230|mf|1|la
1078|49230|mf|1|la
1084|51255|oi|0|la
1086|8924|da|0|la
1088|52941|mf|1|la
1089|41189|mf|1|fw
1091|54917|mf|0|fw
1092|54917|mf|1|fw
1095|18090|da|0|la
1096|18090|da|0|la
1098|11225|da|0|la
1099|11225|di|1|la
1103|81610|di|1|fw
1104|81610|di|1|fw
1104|49230|di|1|la
1105|11225|di|1|fw
1105|49230|di|1|la
1106|11225|di|1|la
1108|52941|mf|1|la
1109|52941|mf|1|la
1110|51255|mf|1|la
1111|51255|mf|1|la
1115|18686|di|1|la
1116|18686|di|1|la
1116|51255|mf|1|la
1117|51255|mf|1|la
1119|18686|di|1|la
1120|18686|di|1|la
1122|49230|mf|1|la
1123|49230|mf|1|la
1125|18686|mf|1|la
1126|18686|mf|1|la
1128|54917|mf|0|fw
1128|61680|oi|1|la
1146|55605|mf|0|fw
1147|66749|mf|0|fw
1147|51255|mf|0|la
1148|66749|mf|1|fw
1150|52941|di|0|la
1151|18686|di|1|la
1152|18686|di|1|la
1154|11225|di|1|la
1155|11225|di|1|la
1158|49230|mf|1|la
1160|8924|mf|0|la
1161|41184|mf|0|la
1161|49230|mf|0|fw
1162|41184|mf|1|la
1166|54917|oi|0|fw
1166|51255|da|0|la
1168|54917|oi|0|fw
1170|54917|oa|0|fw
1170|51255|da|0|la
1197|18090|da|0|la
1200|8924|di|1|fw
1200|61366|mf|1|fw
1201|61366|mf|1|fw
1202|52941|mf|1|la
1202|41184|mf|0|fw
1203|41184|mf|1|fw
1204|54917|mf|0|fw
1207|51255|mf|0|la
1211|51255|mf|1|la
1213|52941|mf|1|la
1214|52941|mf|1|la
1215|18686|mf|1|la
1216|18686|mf|1|la
1218|11225|mf|1|fw
1219|11225|mf|1|fw
1224|18686|mf|1|la
1225|18686|mf|1|la
1228|11225|mf|1|fw
1229|11225|mf|1|fw
1231|57038|oi|1|fw
1232|57038|oi|1|fw
1239|61680|oa|0|fw
1242|54917|da|0|la
1242|61680|oa|0|fw
1260|15943|da|0|la
1263|66749|mf|0|la
1263|81610|mf|0|fw
1264|81610|mf|0|fw
1265|66749|di|0|la
1265|81610|oi|0|fw
1271|15943|di|0|la
1271|42786|mf|0|la
1272|42786|mf|1|la
1272|61366|mf|1|la
1273|61366|mf|1|la
1278|54917|oi|1|fw
1279|54917|oa|0|fw
1281|54917|oa|0|fw
1281|51255|da|0|la
1312|18090|da|0|la
1313|8924|di|1|la
1315|54917|mf|0|fw
1317|54917|mf|1|fw
1319|54917|mf|0|fw
1319|51255|mf|0|la
1331|49230|mf|0|la
1331|51255|mf|0|la
1332|49230|mf|1|la
