_ts|player_id|place|ball|direc
0|42786|da|0|no
0|61770|da|0|no
1|37368|mf|1|fw
1|20226|mf|1|fw
2|37368|mf|1|fw
3|17152|mf|1|la
4|17152|mf|1|la
6|15337|da|1|la
7|15337|da|1|la
10|60218|da|1|fw
11|60218|di|1|la
15|60207|da|1|la
16|60207|di|1|la
22|60218|mf|1|fw
24|54917|mf|0|fw
26|12875|mf|1|la
26|50089|mf|1|la
27|12875|mf|1|la
28|50089|mf|1|la
29|50089|mf|1|la
30|55605|di|0|fw
30|61770|oi|0|la
31|61366|mf|0|fw
32|61366|mf|1|fw
32|54917|mf|1|fw
33|54917|mf|1|fw
34|61366|mf|1|fw
35|61366|mf|1|fw
38|152760|oi|1|fw
39|152760|oa|0|fw
39|15337|da|0|la
40|152760|oa|0|fw
40|15337|da|0|la
63|54917|oa|0|fw
65|20226|da|0|la
67|54917|oi|0|fw
68|60210|di|0|la
81|55605|oi|0|fw
82|41184|oa|0|fw
83|41184|oa|1|fw
87|8924|mf|1|fw
89|8924|oi|0|fw
89|60210|di|0|la
101|12875|mf|0|la
104|61366|mf|0|fw
107|61366|oi|0|fw
107|60218|da|0|la
109|61366|oa|0|fw
109|60218|da|0|la
137|54917|oa|0|fw
141|17152|da|0|la
143|61366|oi|1|fw
145|55605|mf|1|fw
146|55605|mf|1|fw
149|41189|mf|1|fw
150|41189|mf|1|la
152|39194|mf|1|la
153|39194|mf|1|la
157|42786|mf|0|la
157|60210|mf|0|fw
171|17476|mf|0|la
171|39194|mf|0|la
172|17476|mf|1|la
172|8924|mf|1|fw
173|8924|mf|1|fw
176|55605|oi|0|fw
176|61770|di|0|la
177|61770|di|1|la
178|37368|di|0|la
179|37368|di|1|la
182|12875|di|1|la
183|12875|di|1|la
186|60207|da|1|la
187|60207|da|1|la
192|60218|di|1|fw
193|60218|di|1|fw
196|15337|da|1|la
197|15337|da|1|la
201|60207|di|1|la
202|60207|di|1|la
203|12875|mf|1|la
204|12875|mf|1|la
206|61770|mf|1|la
207|61770|mf|1|la
208|12875|oi|1|la
210|8924|di|0|fw
212|61366|mf|0|fw
212|50089|mf|0|la
213|12875|mf|1|la
214|50089|mf|0|la
215|50089|oi|1|la
217|60772|da|0|no
219|60772|da|0|la
231|60772|da|1|la
235|50089|mf|0|la
235|41184|mf|0|fw
236|60218|di|0|la
237|60218|di|1|la
238|50089|mf|1|la
239|17476|mf|1|la
243|42786|mf|0|la
245|42786|oi|1|la
249|152760|oi|0|la
249|37368|di|0|fw
250|60210|di|0|fw
251|60210|mf|1|fw
254|37368|mf|1|fw
256|55605|di|1|fw
259|60772|da|0|la
264|17476|di|1|la
264|60772|da|1|la
265|17476|di|1|la
266|39194|mf|1|la
267|39194|mf|1|la
270|17476|mf|1|la
273|17476|oi|0|la
273|37368|di|0|fw
291|37070|di|0|fw
292|17152|mf|1|fw
294|17476|oi|0|la
294|17152|di|0|fw
302|39194|mf|0|la
307|15337|da|0|la
307|39194|oa|0|fw
321|15337|da|0|la
322|60207|di|0|la
323|60207|di|1|la
324|55605|mf|0|fw
324|61770|mf|0|la
325|61770|mf|1|la
330|12875|oa|0|fw
332|12875|oa|0|fw
332|41184|da|0|la
350|60772|da|0|la
351|55605|di|0|fw
352|55605|di|1|fw
354|152760|oi|0|fw
354|60218|di|0|la
355|17152|di|1|la
359|61770|mf|0|la
360|17152|mf|1|la
362|55605|mf|0|fw
365|55605|mf|0|fw
365|61770|mf|0|la
373|41189|mf|0|fw
373|8924|di|0|fw
374|8924|di|1|fw
376|17476|di|1|la
377|17476|di|1|la
