_ts|player_id|place|ball|direc
0|18427|da|0|no
0|85665|da|0|no
1|42544|mf|1|fw
1|46696|mf|1|fw
2|42544|mf|1|fw
2|87447|di|1|la
3|87447|di|1|la
4|85665|mf|1|la
5|85665|mf|1|la
6|111457|mf|1|la
7|111457|mf|1|la
8|85665|mf|1|la
9|85665|mf|1|la
11|43692|mf|1|fw
12|43692|mf|1|fw
13|67140|mf|1|fw
14|67140|mf|1|fw
16|70496|di|1|fw
17|70496|di|1|fw
19|87447|mf|1|la
20|87447|mf|1|la
22|111457|mf|1|la
23|111457|mf|1|la
27|87447|mf|1|la
28|87447|mf|1|la
29|43692|mf|1|la
30|43692|mf|1|la
30|46696|mf|1|fw
31|46696|mf|1|fw
32|87447|mf|1|la
33|87447|mf|1|la
35|111457|mf|1|la
36|111457|mf|1|la
39|20301|mf|1|la
40|20301|mf|1|la
44|87447|mf|1|la
47|156604|di|1|la
49|18427|mf|0|la
50|18427|mf|1|la
52|67140|mf|0|fw
53|67140|mf|0|fw
53|18427|mf|0|la
63|156604|mf|0|la
64|49529|oi|1|la
66|70496|da|1|fw
68|156604|mf|1|la
72|20301|da|1|fw
74|49529|oi|0|fw
74|70496|di|0|la
76|49529|oa|0|fw
76|87447|da|0|la
79|87447|di|1|la
80|37036|mf|0|la
83|18427|mf|0|la
84|87447|di|1|fw
86|67140|di|0|fw
86|18427|oi|0|la
104|67140|di|0|fw
107|43692|mf|0|fw
108|67140|mf|1|fw
108|43692|mf|1|fw
109|67140|mf|1|fw
112|70496|di|1|la
113|70496|di|1|la
115|87447|mf|1|la
116|87447|mf|1|la
120|46696|mf|1|la
121|46696|mf|1|la
121|20301|mf|1|la
122|20301|mf|1|la
123|70496|mf|1|la
124|70496|mf|1|fw
126|67140|mf|1|fw
127|67140|mf|1|fw
128|87447|mf|1|fw
129|87447|mf|1|fw
131|85665|mf|0|fw
131|37036|mf|0|la
134|36803|mf|1|la
135|87447|mf|1|fw
138|111457|mf|1|la
139|111457|mf|1|la
141|20301|mf|1|la
142|20301|mf|1|la
145|42544|oi|1|fw
146|155084|di|0|fw
149|49529|mf|1|la
153|37198|mf|0|fw
155|37198|mf|0|fw
156|111457|di|0|la
156|37198|oi|0|fw
172|111457|di|0|la
175|36803|mf|0|fw
176|111457|mf|0|la
176|36803|oi|0|fw
180|111457|di|0|la
182|20301|di|0|la
183|20301|di|1|la
186|46696|di|1|la
187|46696|mf|1|fw
191|67140|mf|1|fw
192|67140|oi|0|fw
193|42544|oa|0|fw
194|42544|oa|0|fw
194|111674|da|0|la
196|42544|oa|0|fw
196|111674|da|0|la
226|85665|oa|0|fw
229|183059|da|0|la
230|18427|di|0|la
235|67140|mf|1|fw
236|111457|oi|1|fw
237|111457|oi|1|fw
238|67140|oi|0|la
238|37036|di|0|fw
240|37036|di|1|fw
242|87447|mf|0|la
243|87447|mf|0|la
244|87447|oi|0|la
244|37036|di|0|fw
268|155084|di|0|fw
271|111457|mf|1|la
274|42544|mf|0|la
275|49529|mf|1|fw
278|41071|da|0|no
279|111457|mf|1|la
280|85665|mf|1|la
281|111457|mf|1|la
281|85665|mf|1|la
282|111457|mf|1|la
282|46696|mf|1|la
283|46696|mf|1|la
