_ts|player_id|place|ball|direc
0|53645|da|0|no
0|105835|da|0|no
1|42565|mf|1|fw
1|37265|mf|1|fw
2|37265|mf|1|fw
3|118749|mf|1|la
4|118749|mf|1|la
5|122779|mf|1|la
6|122779|mf|1|la
9|27789|mf|0|fw
9|118749|mf|0|la
13|27789|mf|0|fw
13|118749|mf|0|la
26|37269|mf|0|la
28|48853|di|0|la
29|48853|di|1|la
32|37269|mf|1|la
34|15780|di|0|fw
37|15780|mf|0|fw
37|37269|mf|0|la
44|122779|mf|0|la
48|42565|oi|0|la
48|51090|di|0|fw
79|118749|oi|0|la
81|27789|da|0|la
82|15780|di|0|la
83|15780|di|1|la
86|53645|mf|1|la
89|100981|mf|0|fw
91|48852|mf|1|fw
92|48852|mf|1|fw
93|37265|oi|1|fw
94|19928|da|0|la
102|19928|da|1|la
105|27250|oi|1|la
106|27250|mf|1|la
110|15780|mf|1|fw
111|15780|mf|1|fw
111|27789|mf|1|fw
112|27789|mf|1|fw
113|15780|mf|1|fw
114|15780|mf|1|fw
117|51090|di|1|la
118|51090|di|1|la
120|41270|di|1|la
121|41270|di|1|la
124|19928|da|1|la
131|27250|mf|0|la
131|100981|mf|0|fw
136|100981|mf|0|fw
137|48853|di|0|la
138|48853|di|1|la
138|83531|mf|1|la
139|83531|mf|1|la
141|37269|mf|1|la
142|37269|mf|1|la
144|27789|mf|0|fw
144|83531|mf|0|la
194|37269|mf|0|la
196|33148|di|0|la
197|33148|di|1|la
201|42565|oi|1|fw
203|42565|oa|0|fw
203|53645|da|0|la
214|39563|di|0|la
216|53645|di|1|la
217|100981|mf|1|fw
218|53645|mf|0|la
218|118749|mf|0|fw
219|53645|da|0|no
220|100981|mf|1|fw
223|83531|mf|0|fw
223|61278|mf|0|la
246|47654|mf|0|la
246|51090|mf|0|fw
247|47654|mf|1|la
247|51090|mf|1|fw
248|47654|mf|1|la
248|41270|mf|1|la
249|47654|mf|1|la
249|41270|mf|1|la
250|47654|mf|1|la
250|39563|mf|1|la
251|39563|mf|1|la
256|47654|oa|0|la
257|100981|da|0|la
258|47654|oa|0|fw
258|100981|da|0|la
304|53645|oa|0|fw
307|105835|da|0|la
