_ts|player_id|place|ball|direc
0|59380|da|0|no
0|53645|da|0|no
1|59380|mf|1|fw
1|62914|mf|1|fw
2|62914|mf|1|la
5|50369|mf|1|la
8|41270|da|0|la
8|42824|oa|0|fw
9|41270|di|0|la
10|53645|di|0|la
13|53645|mf|1|la
20|53645|oa|0|fw
20|48844|da|0|la
44|48844|da|0|la
46|27300|da|0|fw
47|27300|di|1|fw
48|39563|mf|0|la
48|66733|mf|0|fw
49|39563|mf|0|la
52|39563|mf|0|la
52|66733|mf|0|fw
71|39563|mf|0|la
72|41270|di|0|la
73|41270|di|1|la
75|51090|di|1|la
76|51090|di|1|fw
78|18573|mf|1|fw
79|18573|mf|1|fw
80|51090|di|1|fw
81|51090|di|1|fw
86|41270|di|1|la
87|41270|di|1|la
90|51090|di|1|la
91|51090|di|1|fw
93|18573|mf|1|fw
94|18573|mf|1|fw
96|100534|mf|1|fw
97|100534|mf|1|fw
98|61278|mf|1|fw
99|61278|mf|1|fw
103|100534|da|0|no
105|100534|oa|0|fw
105|12204|da|0|la
106|100534|oa|0|fw
106|12204|da|0|la
112|18573|oa|0|fw
117|59380|da|0|la
117|61278|oa|0|fw
118|59380|da|0|la
121|59380|da|0|la
121|27789|oi|0|fw
122|27789|oa|0|fw
124|37399|da|0|la
125|37399|di|0|la
125|27789|oi|0|fw
140|18573|oa|0|fw
142|61278|oi|1|fw
145|62914|mf|0|la
148|66733|mf|0|la
148|41270|mf|0|fw
151|60025|mf|1|la
159|62914|oi|1|fw
160|27789|di|0|la
164|42738|mf|1|fw
165|27300|mf|1|fw
166|27300|mf|1|fw
168|42738|mf|1|fw
169|42738|mf|1|fw
173|27300|da|1|la
174|27789|mf|1|la
175|61278|oi|0|fw
176|27250|oi|1|fw
176|61278|oi|1|fw
177|27250|oi|1|fw
177|61278|oi|1|fw
178|61278|oi|1|fw
179|42824|di|0|la
179|27250|oi|0|fw
240|61278|oi|0|fw
243|60025|da|0|la
243|61278|oa|0|fw
260|48844|da|0|la
265|62914|mf|0|fw
265|27789|mf|0|la
269|27789|mf|0|la
269|51090|di|0|la
270|27789|mf|1|la
270|51090|di|1|la
271|51090|di|1|la
273|61262|mf|1|fw
274|61262|mf|1|fw
276|27250|mf|1|fw
277|27250|mf|1|fw
283|18573|oa|0|fw
286|50369|da|0|la
286|18573|oa|0|fw
322|27300|da|0|la
326|50369|mf|0|la
326|61262|mf|0|fw
327|50369|mf|0|la
327|61262|mf|1|fw
332|50369|mf|0|la
334|62914|oa|0|la
334|51090|da|0|fw
335|62914|oi|1|la
336|50369|mf|1|la
337|50369|mf|1|la
338|59380|oi|1|la
340|18573|di|0|fw
341|27789|di|0|la
342|27789|mf|1|la
347|27300|da|0|la
347|61278|oa|0|fw
349|27300|da|0|la
349|61278|oa|0|fw
371|61278|oa|0|fw
373|51090|oa|0|fw
374|51090|oa|0|fw
438|59380|mf|1|la
439|62914|mf|1|fw
440|62914|mf|1|fw
441|37399|mf|1|fw
442|37399|mf|1|fw
444|42738|mf|1|fw
445|42738|mf|1|fw
447|66733|mf|1|fw
448|62914|oi|1|fw
448|66733|oi|1|fw
