_ts|player_id|place|ball|direc
0|53645|da|0|no
0|13139|da|0|no
1|91651|mf|1|la
1|62419|mf|1|fw
2|62419|mf|1|fw
3|34703|mf|1|la
4|34703|mf|1|la
5|38454|di|1|la
6|38454|di|1|la
7|7810|da|1|la
10|61262|da|0|no
11|7810|di|0|fw
11|61262|oi|0|la
12|61278|oi|0|la
15|53645|oi|0|la
16|53645|oi|1|la
17|61278|oi|0|la
18|17347|di|0|fw
21|13139|mf|0|fw
23|41270|mf|0|la
28|41270|di|0|fw
28|13139|oi|0|la
37|91651|oi|0|la
37|68353|oi|0|la
38|91651|oi|1|la
38|13139|oa|1|la
39|13139|oa|1|la
41|91651|oi|1|fw
42|91651|oi|0|fw
44|91651|oa|0|fw
44|61278|da|0|la
59|19928|da|0|la
59|51090|di|0|la
60|15780|di|1|fw
60|51090|di|1|la
61|15780|di|1|fw
64|51090|di|1|la
65|51090|di|1|la
69|41270|di|1|la
70|41270|di|1|la
73|100534|di|1|la
74|100534|mf|1|fw
76|15780|mf|0|fw
76|13139|mf|0|la
81|15780|oi|0|fw
83|38454|da|0|la
86|13139|mf|1|la
87|15780|oi|0|fw
87|13139|di|0|la
89|15780|oi|0|fw
93|61278|oi|0|fw
94|61278|oi|1|fw
97|100534|oi|1|fw
98|100534|oi|1|fw
99|51090|mf|1|fw
100|51090|mf|1|fw
104|15780|mf|1|fw
105|15780|mf|1|fw
109|47654|mf|1|fw
110|47654|mf|1|la
113|51090|mf|1|fw
114|51090|mf|1|fw
117|47654|mf|1|fw
118|47654|mf|1|la
122|41270|mf|1|la
123|41270|mf|1|la
125|47654|mf|1|la
126|47654|mf|1|la
128|100534|mf|1|la
129|100534|mf|1|la
133|41270|mf|1|la
134|41270|mf|1|la
135|51090|mf|1|fw
136|51090|mf|1|fw
138|15780|mf|1|fw
139|15780|mf|1|fw
143|51090|mf|1|fw
144|51090|mf|1|fw
148|47654|mf|1|fw
149|47654|mf|1|la
153|15780|mf|1|fw
154|15780|mf|1|fw
156|61262|oi|1|fw
157|68353|di|0|la
159|13139|mf|0|la
164|51090|di|0|fw
164|13139|oi|0|la
168|13139|oa|0|la
169|41270|da|0|la
170|51090|da|1|la
172|47654|da|0|la
173|47654|da|1|la
175|51090|da|1|la
176|51090|da|1|la
177|15780|di|1|fw
178|15780|di|1|fw
180|100534|di|1|fw
181|100534|di|1|la
184|41270|di|1|la
185|41270|di|1|la
185|61278|mf|1|la
186|61278|mf|1|la
192|41270|mf|1|la
198|41270|oi|0|la
198|13139|di|0|fw
220|17347|di|0|fw
221|62419|mf|0|fw
221|41270|mf|0|la
222|62419|mf|1|fw
223|51090|mf|1|la
224|27250|oi|1|la
225|27250|oi|1|fw
226|61262|oi|0|fw
228|38454|di|1|la
230|15780|di|0|la
231|15780|di|1|la
235|19928|da|1|la
236|19928|da|1|la
238|51090|di|1|la
239|51090|di|1|la
241|47654|di|1|la
242|47654|di|1|la
245|39563|mf|1|la
251|53645|oa|0|la
251|38462|da|0|fw
308|39563|oi|0|la
309|51090|oa|0|fw
310|51090|oa|1|fw
312|38462|da|0|la
312|41270|oa|0|fw
313|7810|da|0|la
313|41270|oa|0|fw
314|7810|da|0|la
329|7810|da|1|la
330|15780|di|0|la
331|15780|di|1|la
331|51090|di|1|la
332|51090|di|1|la
336|19928|da|1|la
337|19928|da|1|la
339|41270|da|1|la
340|41270|da|1|la
342|47654|di|1|la
343|47654|di|1|la
345|51090|di|1|la
346|51090|di|1|la
347|15780|di|1|fw
348|15780|mf|1|fw
348|100534|mf|1|fw
349|100534|mf|1|fw
350|15780|mf|1|fw
351|15780|mf|1|fw
351|51090|di|1|la
352|51090|di|1|la
355|41270|di|1|la
356|41270|di|1|la
360|39563|mf|1|la
361|39563|mf|1|la
362|15780|mf|1|fw
363|15780|mf|1|fw
364|47654|mf|1|la
365|47654|mf|1|la
369|53645|mf|1|la
370|53645|mf|1|la
372|39563|mf|1|la
373|39563|mf|1|la
378|51090|mf|1|fw
381|68353|di|0|la
382|37055|mf|0|la
384|100534|mf|0|la
384|37055|mf|0|fw
386|37055|mf|1|fw
390|45034|oi|1|fw
391|45034|oa|0|fw
393|15780|da|0|la
393|13139|oa|0|fw
394|13139|oa|0|fw
396|15780|da|0|la
396|13139|oa|0|fw
425|19928|da|0|la
428|34703|mf|0|la
428|61278|mf|0|fw
429|34703|mf|0|la
430|34703|mf|1|la
431|68353|di|1|la
434|41270|mf|1|la
438|39563|mf|0|la
438|45034|mf|0|fw
451|39563|mf|0|la
451|51090|di|0|la
452|51090|di|1|la
457|100534|mf|1|la
458|100534|mf|1|la
459|39563|mf|1|la
460|39563|mf|1|la
462|41270|mf|1|la
463|41270|mf|1|la
465|51090|mf|1|fw
466|51090|mf|1|fw
470|91651|mf|0|la
470|61262|mf|0|fw
471|13139|mf|0|la
473|51090|mf|1|fw
476|17347|di|0|fw
481|61278|oi|1|la
482|34703|di|0|la
484|41270|mf|1|la
488|47654|mf|0|la
488|34703|mf|0|fw
490|47654|mf|0|la
490|61278|mf|0|la
491|47654|mf|1|la
493|61278|mf|1|la
494|61278|oi|1|fw
495|100534|oi|1|fw
496|100534|oi|0|fw
496|68353|di|0|la
498|100534|oi|0|fw
498|68353|di|0|la
562|61278|oa|0|fw
564|47654|oa|0|fw
564|45034|da|0|la
565|45034|da|0|la
567|37055|di|0|la
569|53645|oi|0|fw
569|37055|di|0|la
570|37055|mf|1|la
573|91651|mf|0|la
573|61262|mf|0|fw
575|91651|di|0|la
575|61262|oi|0|fw
588|68353|di|0|la
590|51090|mf|1|fw
591|61262|mf|0|fw
594|61262|mf|0|fw
594|13139|mf|0|la
596|68353|di|0|la
597|68353|di|1|la
597|34703|mf|1|la
598|34703|mf|1|la
600|38454|di|1|la
601|38454|di|1|la
602|7810|da|1|la
603|7810|da|1|la
604|13139|mf|1|la
605|13139|mf|1|la
607|34703|mf|1|la
608|34703|mf|1|la
612|13139|mf|1|la
613|62419|oa|0|fw
613|13139|oa|0|la
614|62419|oa|0|fw
615|39563|da|0|la
672|27250|mf|1|fw
672|61278|mf|1|fw
673|39563|mf|1|la
673|61278|mf|1|fw
674|39563|mf|1|la
675|100534|mf|1|la
676|100534|mf|1|la
678|15780|mf|1|fw
679|15780|mf|1|fw
680|61262|oi|1|fw
681|61262|oi|1|fw
683|15780|mf|1|fw
684|15780|mf|1|fw
686|61262|oi|1|fw
687|61262|oi|1|fw
689|47654|mf|1|fw
690|47654|mf|1|fw
693|39563|mf|1|la
694|39563|mf|1|la
697|41270|mf|1|la
698|41270|mf|1|la
700|51090|mf|1|fw
701|51090|mf|1|fw
705|15780|mf|1|fw
706|13139|mf|0|la
708|68353|di|1|la
709|51090|mf|0|fw
712|47654|mf|1|la
712|91651|da|0|no
713|51090|di|0|la
715|51090|di|1|la
720|15780|mf|1|fw
721|15780|mf|1|fw
725|61262|oi|0|fw
729|7810|da|0|la
743|7810|da|1|la
745|39563|di|0|la
748|38462|mf|1|fw
748|37055|mf|1|fw
749|37055|mf|1|fw
751|39563|di|0|la
751|34703|mf|1|fw
759|39563|mf|1|la
764|47654|mf|1|la
765|47654|mf|1|la
767|41270|mf|1|la
768|41270|mf|1|la
770|51090|di|1|la
771|51090|mf|1|fw
773|15780|mf|1|fw
774|15780|mf|1|fw
775|100534|mf|1|fw
776|15780|mf|1|fw
776|100534|mf|1|fw
777|15780|mf|1|fw
777|51090|mf|1|fw
778|51090|mf|1|fw
781|41270|mf|1|la
782|41270|mf|1|la
784|53645|oi|1|la
786|17347|di|0|fw
787|17347|di|0|fw
787|53645|oi|0|la
797|39563|oi|0|la
800|61278|mf|1|la
803|38462|di|0|fw
804|38462|di|0|fw
804|61278|oi|0|la
810|39563|oi|0|la
813|61278|oi|0|la
815|37055|di|0|fw
816|37055|mf|1|fw
819|62419|mf|1|fw
820|51090|mf|0|la
821|51090|di|1|la
824|15780|di|0|la
824|13139|oi|0|fw
826|91651|mf|0|fw
830|91651|oi|0|fw
831|39563|di|0|la
833|100534|di|1|la
833|39563|di|1|la
834|100534|di|1|la
837|15780|di|1|la
838|15780|mf|1|fw
842|61262|oa|0|fw
847|68353|da|0|la
847|61262|oa|0|fw
875|7810|da|0|la
878|39563|mf|0|la
878|45034|mf|0|fw
879|45034|mf|1|fw
880|62419|oi|0|fw
880|41270|di|0|la
881|41270|di|0|la
882|51090|di|0|la
884|51090|di|1|la
887|47654|mf|1|la
888|47654|mf|1|la
889|15780|mf|1|fw
890|15780|mf|1|fw
892|51090|di|1|la
893|51090|di|1|la
897|100534|mf|1|la
898|100534|mf|1|la
900|47654|mf|1|fw
901|47654|mf|1|fw
901|15780|mf|1|fw
902|15780|mf|1|fw
906|51090|mf|1|la
907|51090|mf|1|fw
909|41270|mf|1|la
910|41270|mf|1|la
911|39563|mf|1|la
912|39563|mf|1|la
918|41270|mf|1|la
919|41270|mf|1|la
920|47654|mf|1|fw
921|47654|mf|1|la
921|51090|mf|1|fw
922|51090|mf|1|fw
923|41270|mf|1|la
924|41270|mf|1|la
928|61278|mf|1|la
929|27250|oi|1|fw
929|61278|mf|1|la
930|100534|oi|1|fw
930|27250|oi|1|fw
931|100534|oi|1|fw
932|61278|oi|1|fw
933|68353|da|0|la
933|61278|oi|0|fw
938|38454|da|0|la
939|61278|oa|0|fw
939|38454|da|0|la
954|61278|oa|0|fw
959|13139|da|0|la
960|91651|di|0|la
961|91651|di|1|la
964|37055|di|1|la
965|37055|di|1|fw
967|17347|di|1|fw
968|39563|mf|0|la
969|17347|mf|0|fw
969|41270|mf|0|la
983|17347|mf|0|fw
984|62419|mf|0|fw
984|51090|mf|0|la
985|62419|mf|1|fw
986|47654|di|0|la
988|47654|di|1|la
990|100534|mf|1|la
991|100534|mf|1|la
997|61278|mf|1|fw
998|61278|mf|1|fw
1001|39563|oi|0|la
1003|45034|di|0|fw
1004|39563|mf|0|la
1004|45034|mf|0|fw
1006|39563|mf|0|la
1009|61278|oi|0|la
1010|61278|mf|1|la
