_ts|player_id|place|ball|direc
0|53645|da|0|no
0|37605|da|0|no
1|5155|mf|1|la
2|55634|mf|1|fw
3|55634|mf|1|fw
4|15208|di|1|la
5|15208|mf|1|la
9|40691|mf|1|fw
10|47654|mf|0|la
11|47654|mf|1|la
11|27250|mf|1|la
12|27250|mf|1|la
14|5155|da|0|no
16|39563|mf|1|la
21|27250|mf|1|la
24|41316|di|1|la
25|15208|di|0|la
25|61262|oi|0|fw
29|100649|oa|1|fw
31|18573|oi|1|fw
32|18573|oi|1|fw
34|27789|oa|0|fw
35|15208|da|0|la
37|15208|da|0|la
37|27789|oa|0|fw
74|61262|oa|0|fw
78|40691|da|0|la
81|39563|mf|1|fw
84|53645|oi|1|la
85|53645|oi|1|la
87|26894|oa|0|la
89|41316|da|0|la
92|39816|di|1|fw
93|44989|di|0|la
94|44989|di|1|la
95|100649|mf|0|fw
96|100649|mf|1|fw
101|61262|oi|1|fw
102|61262|oi|1|fw
106|47654|oi|0|fw
106|37605|di|0|la
107|47654|oi|1|fw
108|100649|oi|1|fw
109|100649|oa|1|fw
116|47654|oa|0|fw
118|38392|da|0|la
119|47654|oa|0|fw
119|38392|da|0|la
128|18573|oa|0|fw
130|27789|oi|1|fw
132|47654|da|0|no
133|39563|oi|0|la
133|55634|di|0|fw
135|38392|di|0|la
137|39563|oi|0|fw
138|39563|oa|0|fw
138|38392|da|0|la
162|20388|da|0|la
168|40691|di|1|fw
172|19928|da|0|la
174|19928|da|1|la
181|41270|da|1|la
182|41270|mf|1|fw
187|53645|oa|0|fw
190|20388|da|0|la
192|20388|da|0|la
196|47654|oi|0|la
196|39816|di|1|fw
198|47654|mf|0|la
198|39816|mf|0|fw
199|55634|mf|0|fw
200|39816|mf|0|fw
201|39816|mf|1|fw
203|5155|oi|0|fw
203|41270|di|0|la
205|26894|di|0|la
207|5155|mf|0|la
207|26894|mf|0|fw
217|41316|mf|0|la
222|38392|mf|0|la
223|38392|mf|1|la
225|15208|mf|1|la
226|15208|mf|1|la
227|18573|mf|0|fw
227|37605|mf|1|la
229|18573|mf|0|fw
229|37605|mf|0|la
241|41316|mf|0|la
243|18573|di|0|fw
244|41316|oi|0|la
244|18573|di|0|fw
252|41316|oi|0|la
253|44989|oi|0|fw
254|44989|oi|1|fw
256|15207|oi|1|fw
257|15207|oi|1|fw
258|39816|oi|1|fw
259|39816|oi|1|fw
260|15208|oi|1|fw
261|15208|oi|1|fw
264|40691|mf|1|fw
265|40691|mf|1|fw
267|39816|oi|1|fw
268|39816|oi|1|fw
269|61262|mf|0|la
270|61262|mf|0|la
270|55634|oi|1|fw
272|61262|mf|1|la
273|15207|mf|0|fw
275|15207|mf|0|fw
275|61262|mf|0|la
288|39563|mf|0|la
291|47654|di|0|la
292|47654|di|1|la
294|19928|da|1|la
295|19928|da|1|la
297|26894|di|1|la
298|26894|di|1|la
300|47654|di|1|la
301|47654|di|1|la
305|41270|di|1|fw
306|41270|di|1|fw
308|26894|di|1|la
309|26894|di|1|la
311|47654|di|1|la
312|47654|di|1|la
315|26894|di|1|la
316|26894|di|1|la
319|47654|di|1|la
320|47654|di|1|la
323|26894|di|1|la
324|26894|di|1|la
325|27789|mf|1|la
329|27789|mf|0|fw
329|37605|mf|0|la
331|41316|mf|1|la
334|19928|da|0|la
338|19928|da|0|la
340|26894|da|0|la
341|26894|di|1|la
345|47654|di|1|la
348|47654|oi|0|fw
348|41316|di|0|la
356|41316|di|0|la
357|5155|mf|0|la
358|5155|mf|1|la
359|18573|mf|0|fw
359|37605|mf|0|la
360|47654|mf|0|la
361|47654|mf|1|la
363|18573|mf|0|fw
364|38392|di|1|la
365|38392|oi|0|la
365|18573|di|0|fw
383|18573|di|0|fw
385|41270|di|0|fw
386|41270|di|1|fw
388|19928|da|1|la
389|19928|da|1|la
393|26894|di|1|la
394|26894|di|1|la
395|27789|mf|1|la
396|27789|mf|1|la
397|26894|di|1|la
398|26894|di|1|la
399|19928|da|1|la
400|19928|da|1|la
402|47654|mf|1|la
403|47654|mf|1|la
405|53645|mf|0|la
405|15208|mf|0|fw
406|40691|mf|1|fw
407|61262|mf|1|la
408|15207|mf|1|fw
410|39816|mf|0|fw
411|39816|mf|0|fw
411|61262|mf|0|la
413|39816|mf|1|fw
417|55634|oa|1|fw
418|55634|oa|0|fw
420|37605|oa|0|fw
421|37605|oa|1|fw
422|39816|oa|1|fw
423|39816|oa|0|fw
423|44989|oa|0|fw
424|47654|da|0|no
424|44989|oa|1|fw
425|15207|oi|1|fw
432|55634|oa|0|fw
433|61262|da|0|la
436|40691|oi|1|fw
440|5155|oa|0|fw
440|41270|da|0|la
461|19928|da|0|la
462|41270|di|0|la
463|41270|di|1|la
464|26894|di|1|la
465|26894|di|1|la
467|39563|di|1|la
468|39563|di|1|la
472|26894|di|1|la
476|41316|di|0|la
479|41316|mf|1|la
480|18573|mf|0|fw
481|18573|mf|0|fw
484|18573|oi|1|fw
487|27250|oi|1|fw
488|15208|da|0|la
489|15208|da|0|la
491|15208|di|1|la
493|47654|mf|0|fw
494|44989|mf|1|la
495|5155|mf|1|la
496|41270|mf|0|fw
497|5155|mf|1|la
501|44989|mf|1|la
502|44989|oi|1|la
503|39816|oi|1|fw
504|39816|oi|1|fw
507|39563|da|0|la
507|55634|oa|0|fw
509|39563|di|0|la
514|39563|di|0|la
514|55634|oi|0|fw
539|39563|mf|0|la
539|26894|di|0|la
540|39563|mf|1|la
545|26894|di|1|la
546|26894|di|1|la
552|5155|oi|0|la
552|41270|di|0|fw
567|41270|di|0|fw
575|53645|oa|0|la
576|53645|oi|1|la
577|39563|oi|0|la
580|39816|mf|0|fw
582|47654|mf|0|la
582|39816|mf|0|fw
583|39816|oi|1|fw
585|55634|oi|1|fw
586|55634|oi|1|fw
588|39563|da|0|no
588|39816|oa|1|fw
589|39563|da|0|la
589|39816|oa|0|fw
618|44989|oa|0|fw
620|55634|oa|0|fw
621|55634|oa|0|fw
683|61262|mf|1|fw
683|27250|mf|1|la
684|47654|mf|1|la
684|61262|mf|1|fw
685|47654|mf|1|la
686|26894|di|1|la
687|26894|di|1|la
688|39563|mf|1|la
689|39563|mf|1|la
693|53645|oa|0|la
694|53645|oa|0|fw
694|55634|da|0|la
729|20388|da|0|la
733|39563|mf|0|la
733|55634|mf|0|fw
734|55634|mf|1|fw
737|41270|di|0|la
738|5155|oi|0|fw
738|41270|di|0|la
745|41270|di|1|la
748|19928|da|1|la
754|47654|mf|1|la
754|38392|di|1|la
761|41270|mf|1|fw
767|20388|da|0|la
770|20388|da|0|la
772|40691|di|0|la
773|40691|di|1|la
775|20388|da|1|la
776|20388|da|1|la
778|5155|mf|0|fw
778|26894|mf|0|la
781|41270|di|0|la
781|55634|oi|0|fw
783|39816|oi|0|fw
783|41270|di|0|la
785|5155|mf|0|fw
785|41270|mf|0|la
787|41270|mf|1|la
792|53645|oa|0|fw
794|40691|da|0|la
795|44989|da|0|la
796|15207|di|1|fw
797|15207|di|1|fw
802|39563|mf|0|la
802|55634|mf|0|fw
827|15207|mf|0|fw
828|40691|mf|0|fw
829|40691|mf|1|fw
831|27789|di|0|la
832|5155|oi|0|fw
833|27789|mf|1|fw
833|18573|di|1|fw
834|18573|di|1|fw
836|41270|di|1|la
837|41270|di|1|la
843|26894|di|1|la
844|26894|di|1|la
849|47654|di|1|la
850|47654|mf|1|la
853|26894|mf|1|la
854|26894|mf|1|la
855|53645|mf|1|la
856|53645|mf|1|la
857|39563|mf|1|la
859|55634|di|0|fw
861|39563|mf|0|la
861|55634|mf|0|fw
863|39563|mf|0|la
866|53645|oi|1|la
871|53645|oa|0|fw
871|55634|da|0|la
888|41316|da|0|la
889|41270|da|0|no
890|5155|mf|1|la
891|41270|mf|0|fw
897|39816|mf|0|la
897|44989|mf|0|la
898|39816|mf|1|la
899|37605|mf|1|la
900|37605|mf|1|la
901|44989|mf|0|la
901|100649|mf|0|fw
924|44989|mf|0|la
927|39563|di|0|la
927|55634|oi|0|fw
928|55634|oi|1|fw
930|37605|oi|1|fw
932|41270|da|0|la
934|41270|da|1|la
939|20388|da|0|no
940|20388|di|0|la
944|38392|di|1|la
945|47654|mf|0|fw
947|47654|mf|1|fw
950|18573|mf|1|fw
951|18573|mf|1|fw
952|27789|mf|1|fw
953|27789|mf|1|fw
953|100649|oi|1|fw
954|100649|oi|1|fw
958|18573|oa|0|fw
960|38392|da|0|la
962|41316|da|0|la
962|37605|di|1|la
963|100649|da|0|no
963|37605|di|1|la
964|41316|da|1|la
964|100649|oi|0|fw
965|41316|da|0|la
965|100649|oa|0|fw
979|41316|da|0|la
980|47654|mf|0|fw
980|5155|mf|0|la
981|5155|mf|1|la
982|61262|mf|0|fw
984|61262|mf|1|fw
985|26894|di|1|la
986|26894|di|1|la
989|61262|mf|1|la
990|61262|mf|1|la
991|27789|mf|1|fw
992|27789|mf|1|fw
992|27250|oi|1|fw
993|27250|oi|1|fw
994|61262|mf|1|fw
995|61262|mf|1|fw
996|53645|oi|1|fw
997|53645|oi|1|fw
1001|39563|oa|0|fw
1001|15207|da|0|la
1002|39563|oa|0|fw
1002|15207|da|0|la
1053|15207|da|0|la
1053|100649|oa|0|fw
1055|39563|mf|1|la
1055|18573|mf|1|fw
1056|18573|mf|1|la
1058|39563|mf|1|la
1059|39563|mf|1|la
1064|61262|oa|0|fw
1066|38392|da|0|la
1068|61262|oa|0|fw
1068|55634|da|0|la
1069|61262|oa|1|fw
1072|41316|da|0|la
1073|5155|mf|0|fw
1073|26894|mf|0|la
1076|18573|mf|0|la
1078|18573|di|1|la
1080|39563|mf|1|la
1081|39563|mf|1|la
1084|53645|oi|0|la
1084|15207|di|0|fw
1086|15207|mf|0|fw
1087|39816|mf|1|fw
1088|39816|mf|1|fw
1088|40691|di|1|fw
1089|15208|mf|1|fw
1089|40691|di|1|fw
1090|39816|mf|1|fw
1090|15208|mf|1|fw
1091|39816|mf|1|fw
1092|15207|mf|1|fw
1093|15207|mf|1|fw
1095|5155|mf|1|fw
1096|5155|mf|1|fw
1096|39816|mf|1|fw
1097|39816|mf|1|fw
1098|55634|oi|1|fw
1098|18573|di|0|la
1101|100649|mf|0|fw
1103|100649|mf|1|fw
1105|47654|mf|1|fw
1106|47654|mf|1|la
1108|39563|mf|1|la
1109|39563|mf|1|la
1109|61262|oi|1|la
1110|61262|oi|1|la
1111|27789|mf|1|la
1112|27789|mf|1|la
1115|39563|oi|1|la
1117|40691|di|0|la
1118|39816|di|1|la
1119|39816|di|1|la
1121|44989|mf|1|la
1122|44989|mf|1|la
1127|26894|di|1|la
1127|55634|oi|0|fw
1129|61262|mf|0|la
1133|61262|mf|0|la
1133|55634|mf|0|fw
1134|61262|mf|0|la
1136|27789|di|0|la
1137|27789|di|1|la
1137|61262|mf|1|la
1138|61262|mf|1|la
1139|41270|di|1|la
1140|41270|di|1|la
1143|26894|di|1|la
1144|39563|mf|1|la
1144|26894|di|1|la
1145|39563|mf|1|la
1145|27789|mf|1|la
1146|27789|mf|1|la
1147|26894|di|1|la
1148|26894|di|1|la
1151|47654|di|1|fw
1152|47654|di|1|fw
1155|26894|di|1|la
1156|26894|di|1|la
1157|53645|mf|1|la
1158|53645|mf|1|la
1161|39563|oi|1|la
1164|39563|oi|0|la
1164|15207|di|0|fw
1168|39563|oi|0|la
1170|27789|mf|0|la
1171|27789|mf|1|la
1174|47654|mf|1|la
1175|47654|mf|1|la
1175|41270|mf|1|fw
1176|41270|mf|1|fw
1179|61262|mf|1|fw
1180|61262|oi|1|fw
1183|18573|oi|1|fw
1184|18573|oi|1|fw
1186|61262|oi|0|fw
1187|41316|di|1|la
1189|15208|di|1|la
1189|44989|mf|0|la
1190|15208|di|1|la
1197|37605|oi|0|la
1198|41270|da|0|la
1200|41270|da|1|la
1201|19928|da|1|la
1202|19928|da|1|la
1207|100649|mf|0|fw
1208|39816|mf|0|la
1209|39816|mf|1|la
1211|40691|mf|1|fw
1212|40691|mf|1|fw
1214|37605|oi|1|fw
1215|26894|di|0|la
1217|47654|di|0|la
1217|5155|oi|0|fw
1218|26894|da|0|la
1219|26894|da|1|la
1221|19928|da|0|la
1223|5155|oa|0|la
1223|19928|da|0|fw
1241|41316|oi|0|la
1243|15208|oi|0|la
1244|15208|oi|1|la
1247|40691|mf|1|la
1248|40691|oi|1|fw
1250|5155|oi|1|fw
1251|5155|oi|1|fw
1252|40691|oi|1|fw
1253|40691|oi|1|fw
1254|39816|oi|1|fw
1255|39816|oi|1|fw
1257|5155|oa|1|fw
1258|5155|oa|0|fw
1258|19928|da|0|la
1261|19928|da|0|la
1273|19928|da|0|la
1274|18573|mf|0|fw
1275|18573|mf|1|fw
1277|61262|mf|1|fw
1278|61262|mf|1|fw
1279|27789|mf|1|fw
1280|27789|mf|1|fw
1283|41270|di|1|la
1284|41270|mf|1|fw
1290|39563|mf|1|la
1291|39563|mf|1|la
1293|53645|mf|1|la
1296|40691|di|0|fw
1297|39816|mf|1|fw
1298|39816|mf|1|fw
1304|47654|da|0|la
1304|55634|oa|0|fw
1305|26894|da|0|la
1305|55634|oa|0|fw
1307|26894|da|0|la
1307|55634|oa|0|fw
1313|55634|oa|0|fw
1315|15207|oa|0|fw
1316|15207|oa|1|fw
1319|55634|oi|1|fw
1320|55634|oi|1|fw
1322|44989|oi|1|fw
1323|44989|oi|1|fw
1324|55634|oa|1|fw
1325|55634|oa|1|fw
1326|5155|oa|1|fw
1327|5155|oa|0|fw
1327|19928|da|0|la
1328|5155|oa|0|fw
1395|61262|mf|1|fw
1395|27250|mf|1|la
1396|47654|mf|1|la
1396|61262|mf|1|fw
1397|47654|mf|1|la
1401|41270|di|1|la
1406|20388|da|0|no
1407|20388|da|0|la
1421|20388|da|1|la
1421|55634|mf|1|fw
1422|39816|mf|1|fw
1422|55634|mf|1|fw
1423|39816|mf|1|fw
1427|44989|mf|1|fw
1428|44989|mf|1|fw
1431|37605|oi|1|fw
1432|37605|oi|1|fw
1433|15207|oa|1|fw
1434|15207|oa|1|fw
1435|55634|oa|1|fw
1436|55634|oa|1|fw
1437|44989|oa|1|fw
1438|44989|oa|0|fw
1496|61262|mf|1|fw
1496|27250|mf|1|la
1497|47654|mf|1|la
1497|61262|mf|1|fw
1498|47654|mf|1|la
1500|26894|di|1|la
1501|26894|di|1|la
1502|27789|di|0|la
1502|44989|oi|0|fw
1503|27789|di|0|la
1503|44989|oi|0|fw
1505|39816|oa|1|fw
1506|44989|oa|1|fw
1507|44989|oa|0|fw
1563|61262|mf|1|fw
1563|27250|mf|1|fw
1564|61262|mf|1|fw
1566|47654|mf|1|la
1572|41316|di|1|la
1576|15208|di|0|la
1577|15208|di|1|la
1578|47654|mf|0|fw
1580|47654|di|1|fw
1583|26894|di|1|la
1584|26894|di|1|la
1588|39563|di|1|la
1589|39563|di|1|la
1593|47654|mf|1|la
1594|47654|mf|1|la
1596|26894|di|1|la
1597|26894|di|1|la
1600|41270|di|1|fw
1601|41270|di|1|fw
1603|18573|di|1|fw
1604|18573|di|1|fw
1608|26894|di|1|la
1609|26894|di|1|la
1615|19928|da|1|la
1617|15207|mf|1|fw
1620|15207|oa|0|fw
1620|61262|da|0|la
1630|39563|di|0|la
1631|27250|mf|0|la
1632|27250|mf|1|la
1633|61262|mf|1|la
1634|61262|mf|1|la
1636|100649|mf|1|la
1637|100649|mf|1|fw
1641|53645|oi|1|fw
1642|44989|di|0|la
1646|27789|oi|0|fw
1646|44989|di|0|la
1650|27789|oa|1|fw
1654|18573|oa|0|fw
1655|41316|da|0|la
1657|41316|da|0|la
1657|18573|oa|0|fw
1661|18573|oa|0|fw
1666|53645|oa|0|fw
1669|53645|oa|0|fw
1669|41316|da|0|la
1696|20388|da|0|la
1699|47654|mf|0|la
1699|55634|mf|0|fw
1700|47654|mf|0|la
1701|47654|di|0|la
1701|55634|oi|0|fw
1710|55634|oi|0|fw
1712|5155|oi|1|fw
1714|41270|da|0|la
1715|41270|da|1|la
1719|38392|mf|0|la
1722|38392|mf|0|fw
1722|61262|mf|0|la
1723|38392|oi|1|fw
1725|39816|oi|1|fw
1726|39816|oa|1|fw
1726|37605|oa|1|fw
1727|37605|oa|1|fw
1728|39816|oa|1|fw
1729|39816|oa|0|fw
1779|47654|mf|1|fw
1780|47654|mf|1|la
1780|61262|mf|1|fw
1780|27250|mf|1|la
1781|61262|mf|1|fw
1786|53645|oi|0|fw
1786|41316|di|0|la
1790|27789|mf|0|fw
1798|47654|mf|0|fw
1798|39816|mf|0|la
1803|41316|mf|0|la
1804|61262|mf|0|fw
1805|61262|mf|1|fw
1806|27250|oi|0|fw
1807|38392|di|0|la
1807|27250|oi|0|fw
1814|47654|oi|1|la
1819|39563|oi|1|fw
1820|15207|da|1|la
1824|20388|da|0|la
1833|20388|da|0|la
1839|38392|di|0|la
1840|38392|di|1|la
1843|27789|oi|0|fw
1843|44989|di|0|la
1844|44989|mf|1|la
1847|41316|mf|1|la
1851|26894|da|0|fw
1853|38392|mf|0|la
1853|26894|da|0|fw
1869|38392|mf|0|la
1871|44989|mf|0|la
1872|44989|mf|1|la
1875|40691|mf|1|fw
1876|15207|mf|1|fw
1876|40691|mf|1|fw
1877|15207|mf|1|fw
1879|40691|mf|1|fw
1880|40691|mf|1|fw
1881|55634|oi|1|fw
1882|55634|oi|1|fw
1885|15207|oi|1|fw
1886|15207|oi|1|fw
1888|55634|oa|1|fw
1889|55634|oa|1|fw
1891|15207|oa|1|fw
1892|15207|oa|1|fw
1895|44989|oi|1|fw
1896|27789|da|0|la
1896|44989|oi|0|fw
1899|27789|da|0|la
1899|44989|oa|0|fw
1910|44989|oa|0|fw
1910|37605|oa|0|fw
1911|44989|oa|1|fw
1911|37605|oa|1|la
1912|15208|oi|1|fw
1912|37605|oa|1|la
1913|15208|oi|1|fw
1915|39816|oi|1|fw
1916|39816|oi|1|fw
1918|40691|oi|1|fw
1919|40691|oi|1|fw
1923|15207|oi|0|fw
1925|27250|da|0|la
1926|47654|di|0|la
1931|40691|mf|1|fw
1932|38392|mf|1|la
1933|38392|mf|1|la
1934|44989|mf|1|la
1935|44989|mf|1|la
1936|40691|mf|1|fw
1937|44989|mf|1|fw
1937|40691|mf|1|fw
1938|44989|mf|1|fw
1938|40691|mf|1|fw
1939|44989|mf|1|la
1939|40691|mf|1|fw
1940|44989|mf|1|la
1941|15208|mf|1|fw
1942|15208|mf|1|fw
1944|39816|mf|1|fw
1945|39816|mf|1|fw
1946|15207|mf|1|fw
1947|15207|mf|1|fw
1949|40691|mf|1|fw
1950|40691|mf|1|fw
1951|20388|di|1|la
1952|20388|di|1|la
1953|38392|di|1|la
1954|38392|di|1|la
1955|44989|mf|1|la
1956|44989|mf|1|la
1960|41270|mf|0|fw
1960|55634|mf|0|la
1982|44989|mf|0|la
1987|39563|da|0|la
1987|39816|oa|0|fw
1988|39563|da|0|la
1988|39816|oa|0|fw
2002|15207|oa|0|fw
2002|15208|oa|0|fw
2003|15208|oa|1|fw
2004|39816|oi|1|fw
2005|39816|oi|1|fw
2008|44989|oi|1|fw
2009|44989|oi|1|fw
2010|15207|oa|0|fw
2011|15207|oa|0|fw
2011|27789|da|0|la
2032|19928|da|0|la
2036|27250|mf|1|la
2038|40691|di|1|fw
2039|27250|mf|1|la
2040|40691|mf|0|fw
2042|55634|mf|1|fw
2042|40691|di|1|fw
2043|55634|mf|1|fw
2046|5155|oi|0|fw
2046|26894|di|0|la
2049|5155|oi|1|fw
2051|19928|da|0|la
2052|19928|da|0|la
2053|19928|da|0|la
2054|27789|di|0|la
2055|27789|di|1|la
2058|53645|di|1|fw
2059|53645|di|1|fw
2061|47654|di|1|la
2062|47654|di|1|la
2066|41270|di|1|la
2067|41270|di|1|fw
2071|47654|di|1|la
2072|47654|di|1|la
2075|26894|di|1|la
2076|26894|di|1|la
2079|47654|di|1|la
2080|47654|di|1|la
2084|41270|di|1|la
2088|40691|di|1|la
2090|44989|mf|0|fw
2093|15207|mf|1|fw
2094|15207|mf|1|fw
2096|55634|oi|1|fw
2097|55634|oi|1|fw
2098|37605|oi|1|fw
2099|37605|oi|1|fw
2100|44989|mf|1|fw
2101|44989|mf|1|fw
2102|5155|oi|1|fw
2103|5155|oi|1|fw
2104|44989|oi|1|fw
2105|44989|oi|1|fw
2107|5155|oi|1|fw
2108|39563|da|0|la
2110|39563|da|1|la
2113|100649|di|1|la
2114|100649|mf|1|la
2116|27250|mf|1|la
2117|27250|mf|1|la
2119|100649|mf|0|la
2119|40691|di|0|fw
2143|20388|di|0|la
2147|38392|di|0|la
2148|38392|di|1|la
2150|15208|mf|1|la
2151|15208|mf|1|la
2152|20388|da|1|la
2153|20388|da|1|la
2156|44989|di|1|la
2157|44989|di|1|la
2163|41316|mf|1|la
2164|41316|oi|1|la
2166|37605|oi|1|la
2167|37605|oi|1|fw
2169|39816|oi|1|fw
2170|39816|oi|1|fw
2173|15207|oi|1|fw
2174|39563|da|0|la
2175|39563|da|0|la
2176|39563|di|0|la
2176|15207|oi|0|fw
2190|15207|oi|0|fw
2192|15208|oi|0|fw
2193|15208|oi|1|fw
2195|44989|oi|1|fw
2196|44989|mf|1|fw
2197|15208|oi|1|fw
2198|15208|mf|1|fw
2198|37605|oi|1|fw
2199|37605|oi|1|fw
2200|55634|oi|1|fw
2201|55634|oi|1|fw
2203|26894|da|0|la
2203|37605|oi|1|fw
2204|47654|da|1|la
2205|26894|da|0|la
2206|39816|oa|0|fw
2206|26894|da|1|la
2207|55634|oa|0|fw
2208|55634|oa|0|fw
2210|15207|oi|1|fw
2211|15207|oi|1|fw
2214|44989|oi|1|fw
2215|44989|oi|1|fw
2216|15208|oi|1|fw
2217|15208|oi|1|fw
2219|37605|oi|1|fw
2220|37605|oi|1|fw
2223|47654|di|0|la
2223|55634|oi|0|fw
2274|37605|oi|0|fw
2276|19928|da|0|la
2276|37605|oa|0|fw
2287|19928|da|0|la
2291|100649|mf|0|la
2292|15208|mf|0|fw
2293|15208|mf|1|fw
2294|15207|mf|1|fw
2295|15207|mf|1|fw
2296|20388|da|1|la
2297|20388|da|1|la
2299|38392|di|1|la
2300|38392|di|1|la
2302|44989|mf|1|la
2303|44989|di|1|la
