_ts|player_id|place|ball|direc
0|61262|da|0|no
0|37064|da|0|no
1|27250|mf|1|fw
1|61278|mf|1|fw
2|61278|mf|1|fw
4|15780|di|1|fw
5|15780|di|1|fw
6|37064|mf|0|la
6|53392|mf|0|fw
9|37064|mf|0|la
9|53392|mf|0|fw
22|100534|mf|0|fw
23|51090|mf|0|fw
24|100534|mf|1|fw
24|51090|mf|1|fw
25|100534|mf|1|fw
26|119772|mf|0|la
26|61278|mf|0|fw
61|51090|mf|0|fw
63|47654|mf|0|la
64|47654|mf|1|la
65|41270|di|1|la
66|41270|di|1|la
67|51090|di|1|fw
68|51090|di|1|fw
71|15780|mf|1|fw
71|37064|mf|0|la
73|15780|mf|0|fw
73|73698|mf|1|la
75|119772|mf|0|la
76|119772|mf|1|la
76|53515|mf|1|la
77|53515|mf|1|la
78|37064|mf|1|la
79|37064|mf|1|la
82|47654|da|0|fw
82|40275|oa|0|la
83|47654|da|0|fw
84|47654|da|1|fw
86|27250|mf|1|fw
89|49656|mf|0|la
90|49656|mf|0|la
91|49656|mf|1|la
92|53515|oi|1|fw
93|53515|oi|1|fw
94|102578|oi|1|fw
95|119772|mf|1|fw
95|102578|oi|1|fw
96|119772|mf|1|la
98|37064|mf|1|la
99|37064|mf|1|la
101|53515|oi|0|la
102|100534|di|0|fw
104|100534|da|0|no
106|100534|di|0|fw
106|37064|oi|0|la
136|37064|oi|0|la
138|33360|oa|0|fw
138|41270|da|0|la
139|41270|da|0|la
143|102578|oi|0|fw
145|51090|da|0|la
147|102578|oa|0|fw
147|51090|da|0|la
169|37064|oa|0|fw
171|73698|oi|0|la
172|73698|oi|1|la
174|37064|oa|0|fw
175|47654|da|0|la
176|47654|da|0|fw
176|37064|oa|0|la
191|73698|oa|0|la
193|37064|oa|1|fw
194|15780|da|0|fw
194|37064|oa|0|la
202|15780|da|0|fw
205|53392|di|1|fw
207|73698|mf|1|la
208|100534|di|1|fw
209|27250|mf|1|fw
211|6685|mf|0|la
217|33376|da|1|la
219|47654|mf|0|la
219|102578|mf|0|fw
220|47654|mf|1|la
221|53515|mf|0|fw
222|61262|mf|0|la
224|61262|mf|1|la
225|53515|mf|0|fw
227|61262|mf|0|la
227|53515|mf|0|fw
228|47654|mf|0|la
228|40275|oi|0|fw
229|40275|oi|1|fw
233|37064|oi|1|fw
234|37064|oi|1|la
238|47654|di|0|fw
238|73698|oi|0|la
240|47654|di|0|fw
240|73698|oi|0|la
256|15780|di|0|fw
259|39563|mf|0|la
260|39563|mf|1|la
263|61278|mf|0|la
264|40275|mf|0|fw
265|40275|mf|0|fw
274|39563|di|0|la
274|40275|oi|0|fw
275|39563|di|1|la
276|47654|di|1|la
277|47654|di|1|la
279|100534|di|0|la
279|53515|oi|0|fw
281|100534|di|1|la
283|15780|mf|1|fw
284|15780|mf|1|fw
285|53392|mf|1|fw
286|53392|mf|1|fw
287|15780|mf|1|fw
288|15780|mf|1|fw
288|51090|di|1|la
289|51090|di|1|la
291|47654|di|1|la
292|47654|mf|1|la
297|61262|mf|1|la
298|61262|mf|1|la
303|53392|oa|0|fw
305|49656|da|0|la
308|119772|di|0|la
308|53392|oi|0|fw
309|53392|mf|1|fw
310|61278|oi|1|fw
311|27250|oi|1|fw
311|61278|oi|1|fw
312|27250|oi|1|fw
313|61278|oi|0|fw
314|73698|di|0|la
317|73698|di|1|la
319|40275|mf|0|fw
320|39563|mf|0|la
321|39563|mf|1|la
322|51090|di|1|la
323|51090|di|1|la
327|15780|mf|1|fw
328|15780|mf|1|fw
330|47654|mf|1|la
331|47654|mf|1|la
331|51090|di|1|la
332|51090|di|1|la
335|15780|mf|1|fw
336|15780|mf|1|fw
337|61262|mf|0|fw
339|102578|mf|0|la
341|102578|mf|0|la
343|47654|mf|0|fw
343|102578|mf|1|la
345|119772|mf|1|la
345|102578|mf|1|la
346|102578|mf|1|la
348|73698|mf|0|la
351|73698|mf|0|la
351|61262|mf|0|fw
352|15780|di|0|fw
355|15780|mf|1|fw
357|100534|mf|1|fw
358|100534|mf|1|fw
365|61278|da|0|no
369|40275|di|0|fw
369|61278|oi|0|la
420|37064|di|0|la
420|41270|oi|0|la
422|119772|da|0|la
424|53515|di|0|la
425|41270|mf|1|la
425|51090|mf|1|la
426|41270|mf|1|la
429|19928|da|1|la
430|19928|da|1|la
433|51090|di|1|la
434|15780|mf|1|fw
434|51090|di|1|la
435|15780|mf|1|fw
437|51090|di|1|fw
438|51090|di|1|fw
441|41270|di|1|la
442|41270|di|1|la
446|61262|mf|1|la
447|61262|mf|1|la
456|51090|di|1|la
457|51090|mf|1|fw
461|39563|mf|1|la
462|39563|mf|1|la
466|61262|oi|1|la
467|61262|oi|1|la
469|39563|oi|1|la
471|37064|di|0|la
475|37064|mf|1|la
477|119772|mf|1|la
478|119772|mf|1|la
479|102578|mf|1|fw
480|102578|mf|1|fw
482|43106|mf|1|fw
483|43106|mf|1|fw
485|47654|mf|0|la
485|102578|mf|0|fw
486|102578|oi|0|fw
486|61262|di|0|la
488|47654|mf|0|la
489|47654|mf|0|la
489|53515|mf|0|fw
490|47654|mf|1|la
494|15780|mf|1|fw
495|15780|mf|1|fw
