_ts|player_id|place|ball|direc
0|61262|da|0|no
0|8533|da|0|no
1|12297|mf|1|fw
1|8533|mf|1|fw
2|8533|mf|1|fw
3|41733|mf|1|fw
4|41733|mf|1|fw
5|21095|di|1|la
6|21095|di|1|la
8|72162|da|1|la
11|9809|mf|0|la
11|4719|mf|0|fw
12|9809|mf|0|la
13|9809|oi|0|la
13|4719|di|0|fw
24|78140|mf|0|fw
27|41270|di|0|la
28|78140|mf|0|fw
28|41270|mf|0|la
33|4719|mf|0|fw
35|8533|oi|0|fw
36|8533|oi|1|fw
36|4719|oi|1|fw
37|4719|oi|1|fw
39|41733|oi|1|fw
40|41733|mf|1|fw
42|78140|mf|1|fw
43|78140|mf|1|fw
46|21095|di|1|la
47|21095|di|1|la
49|58877|mf|1|la
50|58877|mf|1|la
52|39204|mf|1|la
53|39204|mf|1|la
55|85352|da|1|la
56|85352|da|1|la
59|72162|da|1|la
60|72162|da|1|la
62|21095|da|1|la
63|21095|di|1|la
65|85654|di|1|la
66|85654|di|1|la
68|41733|mf|1|fw
69|41733|mf|1|fw
70|78140|di|1|fw
71|78140|di|1|fw
74|72162|da|1|la
75|72162|da|1|la
77|8533|mf|1|fw
78|8533|mf|1|fw
80|12297|mf|1|fw
81|12297|oi|1|fw
85|8533|oa|0|fw
85|51090|da|0|la
98|51090|da|0|no
152|12297|oa|0|fw
152|19928|da|0|no
200|39461|mf|1|fw
200|47431|mf|1|fw
201|47431|mf|1|fw
204|47654|di|1|la
204|58877|da|0|la
205|85654|di|0|la
206|39461|oi|1|fw
209|39204|di|0|la
210|39204|di|1|la
212|12297|di|0|la
212|53392|oi|0|fw
214|51090|mf|1|fw
215|12297|di|0|la
215|51090|oi|0|fw
246|58877|mf|0|la
248|18573|mf|0|fw
250|9809|mf|1|fw
252|58877|mf|0|la
252|53392|mf|0|fw
253|58877|mf|0|la
255|58877|mf|0|la
255|53392|mf|0|fw
260|18573|oi|0|fw
261|39461|oi|0|fw
262|39461|oi|1|fw
263|18573|mf|1|fw
264|58877|di|0|la
265|85352|mf|0|la
266|58877|mf|0|la
266|18573|mf|0|fw
275|18573|oi|0|fw
278|61262|oa|0|fw
279|58877|da|0|la
279|61262|oa|0|fw
304|72162|da|0|la
307|9809|mf|0|la
307|4719|mf|0|fw
308|4719|mf|1|fw
309|8533|oi|0|fw
309|9809|di|0|la
317|9809|di|0|la
320|61262|mf|1|la
322|47431|mf|0|la
322|85654|mf|0|fw
323|85654|mf|1|fw
325|47431|oi|1|la
327|61262|oa|0|la
333|78140|da|0|la
333|61262|oa|0|fw
354|58877|da|0|la
355|41733|mf|0|la
356|41733|mf|1|la
360|39204|mf|1|la
361|39204|oi|1|la
362|8533|oi|1|la
363|8533|oi|1|la
366|85654|mf|1|la
367|85654|mf|1|la
372|4719|mf|1|fw
373|4719|oi|1|fw
377|41733|oi|1|fw
378|41733|mf|1|fw
379|21095|mf|1|fw
380|21095|mf|1|fw
381|85352|mf|1|la
382|85352|mf|1|la
385|58877|mf|1|la
386|58877|mf|1|la
390|85352|di|1|la
391|85352|di|1|la
393|85654|di|1|la
394|47431|mf|0|fw
396|61262|mf|0|fw
396|85654|mf|0|la
398|58877|mf|0|la
408|85352|da|0|la
409|85352|di|1|la
410|41733|mf|1|la
411|41733|mf|1|la
418|8533|oi|1|fw
422|19928|da|0|la
429|19928|da|0|la
429|51090|da|0|la
430|51090|da|1|la
431|100534|di|1|la
432|100534|di|1|la
434|18573|di|1|fw
435|18573|di|1|fw
440|41270|di|1|la
441|41270|di|1|la
447|39461|oa|1|fw
448|39461|oa|1|fw
451|53392|oa|1|fw
453|58877|da|0|la
454|85654|da|0|la
455|53392|oa|0|fw
457|47654|mf|1|fw
459|39461|oi|0|fw
459|21095|di|0|la
460|41733|di|0|la
460|85654|di|1|la
461|12297|mf|1|la
461|85654|di|1|la
462|12297|mf|1|la
465|41270|mf|0|la
465|41733|mf|0|fw
466|41733|mf|1|fw
473|12297|oa|1|fw
474|12297|oa|1|fw
476|100534|di|0|la
476|8533|oi|0|fw
478|100534|di|0|la
480|100534|di|0|la
480|8533|oi|0|fw
485|8533|da|0|no
508|47654|mf|0|la
508|51090|di|0|la
509|47654|mf|1|la
512|51090|di|1|la
513|51090|di|1|la
518|41270|di|1|la
519|41270|di|1|la
521|9809|mf|1|la
522|47431|mf|1|la
522|9809|mf|1|la
523|47431|mf|1|la
530|8533|da|0|no
531|41270|mf|1|la
532|53392|mf|1|la
533|53392|mf|1|la
541|41270|mf|1|la
546|72162|da|0|la
552|72162|da|1|la
554|58877|di|1|la
555|58877|di|1|la
560|72162|da|1|la
563|9809|mf|1|la
567|78140|di|0|fw
569|78140|di|1|fw
572|100534|mf|0|la
573|100534|mf|1|la
573|9809|mf|1|la
574|9809|mf|1|la
579|78140|di|0|fw
579|61262|oi|0|la
590|61262|oi|0|la
593|9809|oa|0|la
598|78140|da|0|la
598|9809|oa|0|fw
610|58877|da|0|la
613|100534|mf|0|fw
615|39204|mf|1|la
617|47654|di|0|fw
617|8533|oi|0|la
619|8533|oi|0|fw
619|51090|di|0|la
621|8533|oi|1|fw
626|41733|oi|1|fw
627|41733|oi|1|fw
627|85654|mf|1|fw
628|78140|mf|1|fw
628|85654|mf|1|fw
629|78140|mf|1|fw
632|4719|oi|1|fw
633|4719|oi|1|fw
634|78140|mf|1|fw
635|78140|mf|1|fw
637|21095|mf|1|fw
638|21095|mf|1|la
640|85352|mf|1|la
641|85352|mf|1|la
642|58877|mf|1|la
643|58877|mf|1|la
647|85352|di|1|la
648|85352|di|1|la
654|72162|da|1|la
658|41270|di|0|la
660|41270|di|1|la
661|9809|mf|1|la
662|9809|mf|1|la
664|41270|di|1|la
665|100534|mf|1|la
665|41270|di|1|la
666|100534|mf|1|la
668|41270|da|0|no
669|41270|di|1|la
673|51090|di|1|la
674|51090|di|1|fw
677|53392|mf|0|fw
677|85352|mf|0|la
678|85352|mf|0|fw
679|85352|mf|1|fw
681|8533|mf|1|fw
682|8533|oi|1|fw
684|4719|oi|1|fw
688|53392|da|0|la
688|4719|oa|0|fw
699|19928|da|0|la
701|47654|di|0|la
702|47654|di|1|la
702|100534|di|1|la
703|100534|di|1|la
709|61262|di|1|fw
710|47654|di|1|la
710|61262|di|1|fw
711|47654|di|1|la
713|61262|di|1|la
714|61262|mf|1|fw
720|47431|oa|1|la
721|4719|da|0|fw
722|47431|oa|0|la
722|4719|da|0|fw
731|9809|oa|0|la
734|61262|oa|0|la
738|41733|da|0|la
739|41733|da|1|la
741|85352|da|1|la
742|85352|da|1|la
743|39204|di|1|la
744|39204|di|1|la
747|12297|mf|1|la
748|41270|mf|0|la
749|41270|mf|0|la
750|41270|mf|1|la
