_ts|player_id|place|ball|direc
0|42564|da|0|no
0|61278|da|0|no
1|27250|mf|1|fw
1|61278|mf|1|fw
2|61278|mf|1|fw
5|51090|di|1|la
8|60914|di|0|la
11|44324|di|0|la
14|15780|oi|0|fw
15|15780|mf|0|fw
16|15780|oi|1|fw
16|61262|oi|1|fw
17|61262|oi|1|fw
18|15780|oi|1|fw
19|15780|oi|1|fw
21|100534|oi|0|fw
22|42564|di|0|la
24|53645|oi|1|fw
24|100534|oi|1|fw
25|100534|oi|1|fw
29|53645|oa|0|fw
29|44324|da|0|la
101|61278|oa|0|fw
105|73678|da|0|la
106|73678|da|0|la
111|15780|di|0|la
115|15780|di|1|la
120|61278|oi|1|fw
121|53645|oa|1|fw
121|61278|oa|1|fw
122|53645|oa|1|fw
123|100534|oa|1|fw
124|100534|oa|0|fw
124|67527|da|0|la
127|47654|oa|1|fw
127|27250|oa|1|fw
128|47654|oa|0|fw
128|52775|da|0|la
130|47654|oa|0|fw
130|52775|da|0|la
150|61278|oa|0|fw
154|67527|da|0|la
157|67527|da|1|la
159|83465|mf|0|la
160|39563|mf|1|fw
164|15780|di|0|fw
171|15780|mf|1|fw
177|10995|da|0|la
184|52775|di|0|la
184|10995|da|0|la
185|52775|di|1|la
186|47654|mf|0|fw
186|83465|mf|1|la
189|47654|mf|0|fw
189|83465|mf|0|la
189|37880|mf|0|la
190|15780|mf|0|fw
191|47654|mf|0|fw
192|47654|mf|1|fw
194|15780|di|1|fw
195|15780|mf|1|fw
197|41270|di|1|la
198|41270|mf|1|la
201|39563|mf|1|la
202|39563|mf|1|la
204|47654|mf|1|la
205|47654|mf|1|la
206|15780|mf|1|fw
207|15780|mf|1|fw
214|53645|oa|0|fw
214|44324|da|0|la
216|44324|da|0|la
221|15780|oi|0|fw
221|42564|di|0|la
223|15780|oi|0|fw
223|42564|di|0|la
237|44324|di|0|la
239|47654|mf|0|fw
239|42564|mf|0|la
241|100534|mf|0|fw
241|42564|mf|0|la
242|100534|mf|0|fw
243|41270|mf|0|la
245|100534|di|0|fw
247|83465|oi|0|la
248|83465|oi|1|la
251|37880|mf|1|la
252|37880|mf|1|la
253|44324|mf|1|la
254|44324|mf|1|la
256|52775|di|1|la
257|52775|di|1|la
260|10995|da|1|la
262|41270|mf|1|la
263|47654|mf|0|fw
264|47654|mf|1|fw
264|51090|mf|1|la
265|51090|mf|1|la
267|39563|mf|1|la
268|39563|mf|1|la
272|47654|mf|0|la
272|56069|mf|0|fw
274|56069|oi|0|fw
276|56069|oi|1|fw
284|15780|da|0|la
284|83465|oa|0|fw
287|19928|da|0|la
295|19928|da|1|la
296|41270|di|1|la
297|47654|di|1|la
297|41270|di|1|la
298|47654|di|1|la
299|41270|di|1|la
300|41270|di|1|la
302|39563|di|1|la
303|39563|di|1|la
306|41270|di|1|la
307|41270|di|1|la
314|53645|oi|0|fw
314|44324|di|0|la
316|53645|oi|1|fw
317|27250|oa|1|fw
318|52775|da|0|la
318|27250|oa|0|fw
319|52775|da|0|la
319|27250|oa|0|fw
348|61278|oa|0|fw
352|10995|da|0|la
354|10995|da|0|la
357|15780|mf|0|fw
358|15780|mf|1|fw
358|37880|mf|1|la
362|19928|da|1|la
363|19928|da|1|la
365|61262|di|1|la
366|61262|di|1|la
372|15780|di|1|fw
373|15780|mf|1|fw
374|53645|mf|1|fw
375|53645|mf|1|fw
376|15780|mf|1|fw
377|15780|mf|1|fw
