_ts|player_id|place|ball|direc
0|42564|da|0|no
0|13139|da|0|no
1|46198|mf|1|fw
1|37055|mf|1|fw
2|37055|mf|1|fw
4|34703|mf|1|la
7|28146|di|1|la
10|42564|di|1|la
11|46198|mf|1|fw
11|34703|mf|1|fw
12|34703|mf|1|fw
16|46198|mf|1|fw
17|56069|di|0|la
18|83465|mf|1|fw
19|34703|da|0|no
20|21091|mf|0|fw
21|21091|mf|1|fw
25|73678|oa|1|fw
26|73678|oa|0|fw
27|34703|da|0|la
27|73678|oa|0|fw
50|7810|da|0|la
53|28146|mf|0|la
53|45034|mf|0|fw
56|40560|di|0|la
57|40560|di|1|la
59|10995|da|1|la
60|10995|da|1|la
64|21091|mf|1|la
65|13139|mf|0|la
67|21091|mf|0|fw
67|13139|mf|0|la
77|83465|oi|0|fw
77|27671|mf|0|fw
78|83465|oi|1|fw
79|73678|oi|1|fw
80|73678|oi|1|fw
81|27671|oi|1|fw
82|27671|oi|1|fw
87|28103|da|0|la
87|73678|oa|0|fw
139|21091|oa|0|fw
142|38454|da|0|la
143|28103|da|0|la
145|46198|di|1|la
146|46198|di|1|la
148|13139|mf|0|la
148|73678|mf|0|fw
150|73678|mf|1|fw
151|52775|mf|1|fw
152|52775|mf|1|fw
157|73678|mf|1|fw
158|13139|mf|0|la
159|60914|mf|1|fw
160|83465|oi|1|fw
161|83465|oi|1|fw
163|73678|oi|1|fw
164|73678|oi|1|fw
169|83465|oa|0|fw
171|38462|da|0|la
172|38462|da|0|la
172|83465|oa|0|fw
202|28146|oa|0|fw
208|46197|da|0|la
208|27671|oa|0|fw
234|7810|da|0|la
238|46197|da|0|no
239|13139|oi|0|la
241|40560|da|0|la
243|52775|da|0|la
244|21091|da|0|fw
244|13139|oa|0|la
252|28103|oa|0|la
254|13139|oa|0|la
255|13139|oa|1|la
257|28103|oi|0|la
257|27671|di|0|fw
259|28103|oi|0|la
259|27671|di|0|fw
267|28103|oa|0|la
271|13139|oa|0|fw
271|27671|da|0|la
273|13139|oa|0|fw
274|60914|da|0|la
276|52775|da|0|la
277|52775|da|0|no
278|21091|di|0|fw
279|21091|di|1|fw
282|73678|di|1|fw
283|73678|di|1|fw
286|83465|mf|1|fw
287|83465|mf|1|fw
288|21091|mf|1|fw
289|21091|mf|1|fw
290|73678|mf|1|fw
291|73678|mf|1|fw
297|83465|da|0|no
304|83465|oa|0|fw
304|38454|da|0|la
378|28146|oa|0|fw
380|45034|da|0|la
383|28146|oa|0|fw
383|45034|da|0|la
402|27671|oa|0|fw
404|34703|da|0|no
404|21091|oa|0|fw
405|34703|da|0|la
405|21091|oa|0|fw
418|34703|di|0|la
418|28103|da|0|la
419|34703|di|1|la
424|28103|da|1|la
425|28146|mf|0|fw
427|34703|di|1|la
428|28146|mf|0|fw
429|46198|mf|0|la
430|60914|mf|0|fw
431|60914|mf|1|fw
432|27671|mf|1|fw
433|13139|mf|0|la
434|46198|mf|0|la
435|46198|mf|1|la
436|45034|mf|1|fw
437|45034|mf|1|fw
438|17347|mf|1|fw
439|17347|mf|1|fw
445|45034|oi|0|fw
447|42564|da|0|la
447|45034|oa|0|fw
486|10995|da|0|la
491|13139|mf|0|la
491|73678|mf|0|fw
492|73678|mf|1|fw
493|83465|oi|1|fw
494|83465|oi|1|fw
496|28103|di|0|la
496|73678|oi|1|fw
498|28103|di|0|la
498|73678|oi|0|fw
505|27671|oi|0|fw
512|73678|oa|0|fw
515|28103|da|0|la
515|73678|oa|0|fw
539|7810|da|0|la
543|56069|mf|1|fw
548|7810|da|1|la
551|38454|da|1|la
552|38454|da|1|la
556|38462|di|1|fw
557|38462|di|1|fw
559|37055|mf|1|fw
560|37055|mf|1|fw
564|38454|di|1|la
565|38454|di|1|la
570|38462|di|1|fw
571|38462|mf|1|fw
572|46197|oi|0|fw
572|52775|di|0|la
573|46197|oa|1|fw
575|27671|da|1|la
578|10995|da|0|la
579|10995|da|0|la
580|27671|di|0|fw
581|27671|di|1|fw
584|21091|di|1|fw
585|46198|oi|0|la
586|46198|oi|0|la
586|21091|di|0|fw
598|27671|di|0|fw
605|73678|oi|0|fw
607|46198|di|0|la
