_ts|player_id|place|ball|direc
0|42565|da|0|no
0|77711|da|0|no
1|42565|mf|1|fw
1|37265|mf|1|fw
2|42565|mf|1|fw
6|33190|mf|1|la
7|33190|mf|1|la
7|122779|mf|1|la
8|122779|mf|1|la
10|37269|di|1|la
11|37269|di|1|la
13|48853|di|1|la
14|48853|di|1|la
16|118749|mf|1|la
17|118749|mf|1|la
20|37269|mf|1|la
23|37265|oi|0|fw
23|80480|di|0|la
24|80480|di|0|la
25|77711|di|0|la
26|77711|di|0|la
26|48852|oi|0|fw
28|48852|mf|0|fw
29|48852|mf|1|fw
35|48853|di|1|fw
36|48853|di|1|fw
38|118749|di|1|la
39|118749|di|1|la
42|48853|mf|1|fw
43|48853|mf|1|fw
45|118749|mf|1|la
46|118749|mf|1|la
48|122779|mf|1|la
49|122779|mf|1|la
51|42565|oi|1|la
52|42565|oi|0|la
52|100887|di|0|fw
72|131882|di|0|fw
74|3273|mf|0|fw
75|3273|mf|1|fw
77|100887|mf|0|fw
78|118749|mf|0|la
83|48853|di|1|la
84|48853|da|1|la
86|33148|da|1|la
88|37265|oi|0|fw
88|80480|di|0|la
89|80480|di|0|la
90|37265|mf|0|fw
90|80480|mf|0|la
93|48852|mf|0|fw
100|48853|di|0|fw
101|48853|di|1|la
102|33148|di|1|la
103|33148|di|1|la
105|37269|di|1|la
106|37269|di|1|la
111|122779|mf|1|la
112|122779|oi|1|la
114|105835|oi|0|la
114|59115|di|0|fw
116|131882|da|0|no
116|105835|oi|1|la
118|37192|da|0|la
118|122779|oa|0|fw
119|37192|da|0|la
122|37192|di|0|fw
122|122779|oi|0|la
134|122779|oi|0|la
138|83531|mf|0|la
139|83531|mf|1|la
143|48853|mf|1|fw
144|48853|mf|1|fw
145|48852|oa|1|fw
147|80480|da|0|la
148|80480|da|1|la
153|48853|di|0|fw
157|3273|oi|0|la
157|48853|di|0|fw
166|48853|di|0|fw
168|33148|da|0|la
169|33148|da|1|la
171|37269|di|1|la
172|37269|di|1|la
173|122779|mf|1|la
174|122779|mf|1|la
177|37269|mf|1|la
178|37269|mf|1|la
181|48852|oi|1|fw
183|154685|di|1|la
184|13867|di|0|la
185|13867|di|1|la
190|77711|oi|0|la
195|33148|da|0|la
202|33148|da|0|la
203|48853|di|0|la
204|48853|di|1|la
211|118749|di|1|la
212|118749|di|1|fw
213|37269|mf|1|la
214|37269|mf|1|la
214|122779|mf|1|la
215|122779|mf|1|la
217|105835|oi|1|la
218|105835|mf|1|la
219|33190|mf|1|la
220|33190|mf|1|la
221|42565|mf|1|la
222|42565|mf|1|la
223|37269|mf|1|la
224|37269|mf|1|la
227|48853|mf|1|fw
228|48853|mf|1|fw
234|37265|oi|1|fw
235|37265|oi|1|fw
236|100887|da|0|no
239|100887|da|0|no
239|122779|oa|0|fw
240|100887|da|0|la
240|122779|oa|0|fw
248|131897|da|0|la
251|80480|da|1|la
253|83531|oi|1|fw
254|48852|mf|0|fw
255|37269|mf|1|la
255|48852|mf|1|fw
256|37269|mf|1|la
258|42565|mf|1|la
259|42565|mf|1|fw
260|48852|mf|1|fw
261|48852|mf|1|fw
264|118749|mf|1|fw
265|118749|mf|1|fw
268|37269|mf|1|la
269|100887|di|0|fw
270|100887|di|0|fw
273|59115|mf|1|la
278|33148|da|0|no
281|33148|da|1|la
282|80480|da|0|no
283|37265|mf|0|fw
283|80480|mf|0|la
284|80480|mf|1|la
286|40539|mf|1|la
288|48852|mf|0|fw
289|48852|mf|0|fw
289|13867|mf|0|la
290|48852|mf|0|fw
290|13867|mf|0|la
309|48852|mf|0|fw
311|83531|mf|0|la
312|37269|mf|1|la
312|83531|mf|1|la
313|37269|mf|1|la
314|122779|oi|1|la
315|122779|oi|1|la
318|33190|oi|1|la
319|131882|da|0|la
320|122779|oa|0|fw
321|131882|da|0|la
337|80480|di|0|la
337|131897|da|0|la
338|40539|da|1|la
338|80480|di|1|la
339|40539|da|1|la
340|131897|da|1|la
341|131897|da|1|la
343|131882|di|1|fw
344|131882|di|1|fw
348|122779|mf|0|la
348|59115|mf|0|fw
357|154685|mf|0|fw
358|131882|mf|0|fw
359|131882|mf|1|fw
361|154685|di|1|fw
362|154685|di|1|fw
365|131897|da|1|la
366|131897|da|1|la
369|3273|mf|1|fw
370|3273|mf|1|fw
373|42565|mf|0|la
373|13867|mf|0|fw
374|37269|mf|1|la
376|122779|mf|0|la
381|122779|mf|1|la
384|37269|di|1|la
385|37269|di|1|la
389|33148|da|1|la
392|48852|mf|0|fw
392|80480|mf|0|la
409|80480|mf|0|la
412|3273|oi|0|fw
412|48853|di|0|la
413|100887|oi|1|fw
414|13867|oi|1|fw
416|48853|da|1|la
417|122779|di|1|la
418|122779|di|1|la
419|105835|mf|1|la
420|105835|mf|1|la
422|42565|mf|0|la
425|33190|mf|1|la
427|154685|di|1|la
428|13867|mf|0|fw
431|48853|di|0|la
432|48853|di|1|la
435|33148|da|1|la
436|33148|da|1|la
438|118749|di|1|la
439|118749|di|1|la
442|48852|di|1|fw
443|48852|di|1|fw
444|83531|mf|1|fw
445|83531|mf|1|fw
446|33190|mf|1|la
447|33190|mf|1|la
452|122779|mf|1|la
453|122779|oi|1|la
455|105835|oi|1|la
456|105835|mf|1|la
458|33190|mf|1|fw
459|33190|mf|1|fw
460|37265|oi|1|fw
461|37265|oi|1|fw
467|33190|oi|1|fw
468|33190|mf|1|la
470|37269|mf|1|la
471|37269|mf|1|la
474|118749|mf|1|la
477|131897|da|0|la
478|131897|da|0|la
480|37192|di|0|la
481|37192|di|1|la
484|80480|mf|1|la
488|48853|da|0|la
489|48853|di|0|fw
489|80480|oi|0|la
503|80480|oi|0|la
504|77711|oa|0|la
504|48852|da|0|fw
506|77711|oa|0|la
506|48852|da|0|fw
519|80480|oa|0|la
520|13867|oa|0|fw
