_ts|player_id|place|ball|direc
0|59380|da|0|no
0|10866|da|0|no
1|20319|mf|1|fw
1|10866|mf|1|fw
2|20319|mf|1|fw
3|14503|di|1|la
4|14503|di|1|la
5|27375|di|1|fw
6|27375|di|1|fw
8|66806|di|1|la
9|66806|di|1|la
11|39476|di|1|la
12|39476|di|1|la
17|66806|di|1|la
20|50369|di|0|la
20|28130|oi|0|fw
21|50369|di|0|la
23|50369|mf|0|la
23|28130|mf|0|fw
32|27375|mf|0|fw
36|20319|mf|1|fw
38|27701|di|1|la
39|14503|mf|1|fw
42|50369|mf|1|la
44|66806|mf|0|fw
44|60025|mf|0|la
45|66806|mf|1|fw
46|14503|mf|0|fw
47|14503|mf|1|fw
51|48844|da|0|no
52|48844|da|0|la
54|48844|da|0|la
56|27300|di|0|fw
57|27300|di|1|fw
59|42738|mf|1|fw
60|42738|mf|1|fw
62|66733|mf|1|fw
63|66733|mf|1|fw
63|42738|mf|1|fw
64|66733|mf|1|fw
64|42738|mf|1|fw
65|66733|mf|1|fw
66|27701|mf|1|fw
67|10866|mf|0|la
69|39476|di|0|la
72|27300|mf|1|fw
76|62914|mf|0|fw
76|14503|mf|0|la
77|14503|mf|0|la
82|62914|oi|1|fw
82|42738|mf|1|fw
83|62914|oi|1|fw
84|66733|oi|1|fw
85|59380|oi|1|fw
85|66733|oi|1|fw
86|59380|oi|1|fw
87|62914|oi|1|fw
87|39476|da|0|la
88|39476|da|0|la
89|39476|da|0|la
91|62914|oa|0|fw
91|39476|da|0|la
103|42738|oa|0|fw
105|60025|oa|0|fw
105|39476|da|0|la
106|10866|da|1|la
107|60025|oa|0|fw
109|60025|oa|0|fw
109|10866|da|0|la
120|40868|da|0|la
122|10866|di|1|la
124|60025|mf|1|fw
125|62914|da|0|no
127|40868|di|1|la
127|66733|oi|1|fw
129|62914|oi|1|fw
129|60025|oi|0|fw
130|62914|oi|1|fw
130|60025|oi|1|fw
131|60025|oi|1|fw
132|59380|oa|0|fw
132|66806|da|0|la
133|39476|da|0|la
134|40868|da|1|la
137|40868|di|0|la
137|60025|oi|0|fw
143|40868|da|0|la
144|39471|di|0|la
145|39471|di|1|la
149|27375|di|1|la
153|42824|mf|1|la
155|48353|mf|1|fw
158|27375|mf|1|fw
162|48844|da|0|la
165|48844|da|0|la
166|27701|di|0|fw
167|27701|di|1|fw
169|42738|mf|1|fw
170|42738|mf|1|fw
173|27701|mf|1|fw
174|27701|mf|1|fw
182|12204|di|1|la
183|12204|mf|1|la
184|27300|mf|1|fw
185|27300|mf|1|fw
