_ts|player_id|place|ball|direc
0|33668|da|0|no
0|60025|da|0|no
1|40720|mf|1|fw
1|12273|mf|1|la
2|40720|mf|1|fw
3|59351|mf|1|la
4|59351|di|1|la
5|32284|di|1|fw
6|32284|di|1|fw
8|151883|di|1|fw
10|12204|di|1|la
12|50369|mf|0|la
15|50369|mf|1|la
17|60025|oi|1|la
18|60025|mf|1|la
21|27701|mf|1|la
23|32284|di|0|fw
25|27701|oi|0|la
25|32284|di|0|fw
36|50369|oa|0|la
39|62914|oa|0|fw
39|59351|da|0|la
41|62914|oa|1|fw
41|151883|da|1|la
43|12204|mf|1|la
44|50369|oi|1|la
50|50369|oa|0|fw
50|151883|da|0|la
69|42864|da|0|la
75|66733|mf|1|fw
77|42738|mf|1|fw
79|55407|mf|1|la
81|27701|di|1|fw
81|33668|oi|0|la
82|27300|di|1|fw
83|27300|di|1|fw
86|55407|mf|0|la
86|66733|mf|0|fw
98|27701|mf|0|fw
102|66733|mf|0|fw
103|55407|mf|0|la
128|27300|mf|0|fw
128|42738|mf|0|fw
129|27300|di|1|fw
132|12204|di|1|la
133|12204|di|1|la
135|27300|di|1|fw
136|27300|di|1|fw
137|42738|mf|1|fw
138|42738|mf|1|fw
143|60025|mf|0|fw
143|59351|mf|0|la
145|55407|di|1|la
147|12273|mf|0|la
150|27300|di|1|fw
154|48844|da|1|la
155|48844|da|1|la
157|77064|mf|1|la
158|77064|mf|1|la
159|62914|oi|1|fw
160|62914|oi|1|fw
160|77064|oi|1|fw
161|77064|oi|1|fw
164|60025|oi|1|fw
165|60025|oi|1|fw
166|48863|di|0|la
169|77064|oi|0|la
169|48863|di|0|fw
175|77064|oi|1|la
177|60025|oi|0|la
177|151883|di|0|fw
178|60025|oi|0|la
178|151883|di|0|fw
187|50369|oi|0|la
189|77064|oi|0|la
190|32284|da|1|fw
196|27300|mf|1|la
199|12204|mf|1|la
200|12204|mf|1|la
201|27300|di|1|la
202|27300|di|1|la
203|42738|mf|1|fw
204|42738|mf|1|fw
205|27300|di|1|la
206|27300|di|1|la
210|12204|di|1|la
211|12204|mf|1|la
214|42738|mf|1|fw
215|42738|mf|1|fw
218|55407|mf|0|la
218|66733|mf|0|fw
224|55407|da|0|la
224|66733|oa|0|fw
297|60025|oa|0|fw
300|42864|da|0|la
307|77064|oa|0|la
308|151883|da|0|la
311|27701|oi|1|fw
313|50369|mf|1|la
314|50369|mf|1|la
316|66733|oi|1|fw
317|66733|oi|1|fw
317|42738|mf|1|fw
318|42738|mf|1|fw
322|66733|mf|1|fw
323|66733|mf|1|fw
329|42824|mf|1|fw
330|42824|mf|1|fw
334|42738|mf|1|fw
336|43693|di|0|la
338|43693|di|0|la
338|66733|oi|0|fw
341|43693|mf|1|fw
344|27701|di|1|fw
345|42738|mf|0|fw
347|40720|mf|0|la
347|42738|mf|0|fw
352|40720|di|0|la
352|42738|oi|0|fw
398|66733|oi|0|fw
399|66733|oi|0|fw
399|32281|da|0|la
400|66733|da|0|no
427|42864|da|0|la
428|33668|oi|0|la
429|33668|oi|1|la
430|55407|oi|1|la
433|55407|oa|0|fw
433|66733|da|0|la
448|48844|da|0|la
451|12204|da|0|la
452|12204|da|1|la
453|48844|da|1|la
454|48844|da|1|la
457|27300|di|1|la
458|27300|di|1|fw
458|42738|mf|1|fw
459|42738|mf|1|fw
460|27701|mf|1|fw
461|27701|mf|1|fw
462|42738|mf|1|fw
463|42738|mf|1|fw
465|27300|di|1|fw
466|27300|di|1|fw
471|12204|di|1|la
472|12204|di|1|la
475|27300|di|1|la
476|27300|di|1|la
480|42738|mf|1|fw
483|55407|da|0|la
483|42738|oa|0|fw
506|42864|da|0|la
510|27701|mf|0|fw
510|55407|mf|0|la
511|40720|oi|1|la
511|55407|mf|1|la
512|40720|oi|1|la
515|27701|mf|0|fw
515|59351|mf|0|la
549|12273|mf|0|la
551|77064|da|0|la
555|59351|mf|1|fw
559|62914|di|0|fw
559|33668|oi|0|la
560|33668|oi|1|la
561|42738|di|1|fw
562|55407|oi|1|la
567|62914|da|0|fw
567|33668|oa|0|la
568|62914|da|0|fw
568|33668|oa|0|la
587|55407|oa|0|la
590|42824|da|0|la
593|62914|di|0|fw
593|55407|oi|0|la
596|55407|oi|0|la
600|27701|di|0|fw
600|33668|oi|0|la
601|62914|di|1|fw
602|27701|di|0|fw
603|27701|di|1|fw
603|59351|mf|0|la
604|32281|mf|0|la
608|32281|mf|1|la
