_ts|player_id|place|ball|direc
0|99127|mf|1|la
0|63793|da|0|no
0|39155|da|0|no
1|63793|mf|1|fw
4|34361|di|1|la
5|19419|di|1|la
9|99128|mf|1|fw
12|39155|mf|0|la
12|77760|mf|1|fw
13|39155|mf|0|la
13|77760|mf|0|fw
25|77760|mf|0|fw
28|106760|da|0|la
30|106760|da|1|la
31|102683|oi|0|fw
31|54102|di|0|la
33|54102|mf|0|la
34|61960|mf|0|fw
34|39155|mf|1|la
35|61960|mf|1|fw
37|102683|mf|1|fw
37|54102|mf|1|la
39|61960|mf|1|fw
40|77760|mf|1|fw
41|77760|mf|1|fw
42|37084|mf|1|fw
43|99128|mf|1|fw
43|37084|mf|1|fw
44|99128|mf|1|fw
47|61960|mf|1|fw
48|61960|mf|1|fw
50|37084|mf|1|fw
51|37084|mf|1|fw
51|34361|mf|1|la
52|102683|mf|1|la
52|34361|mf|1|la
53|102683|mf|1|la
55|34361|mf|1|la
56|34361|mf|1|la
57|102683|mf|1|la
58|102683|mf|1|la
61|34355|oi|1|la
62|34355|oi|1|la
63|102683|mf|1|la
64|102683|mf|1|la
64|63793|mf|1|la
65|63793|mf|1|la
67|19419|di|0|fw
68|34355|mf|1|la
69|34355|oi|0|la
69|19419|di|0|fw
75|76359|di|0|fw
76|19419|di|0|fw
77|19419|di|1|fw
86|9089|da|1|la
87|9089|da|1|la
90|39155|mf|0|la
90|77760|mf|0|fw
91|105021|mf|1|la
94|76359|mf|1|fw
96|34361|di|1|la
97|19419|di|1|fw
100|34355|mf|0|la
101|63793|oi|0|la
102|99127|oi|1|fw
102|63793|oi|1|la
103|99127|oi|0|la
106|19419|da|0|la
107|99127|oa|0|fw
107|19419|da|0|la
136|9089|da|0|la
138|105021|di|0|la
140|61960|mf|0|la
142|63793|mf|1|la
143|99127|mf|0|la
144|99127|mf|1|la
146|15157|mf|0|fw
148|76359|mf|0|fw
149|88894|mf|1|fw
150|88894|mf|1|fw
155|106760|mf|1|la
156|106760|mf|1|la
163|99128|da|0|fw
163|39155|oa|0|la
178|77760|di|0|fw
182|106760|oi|0|la
182|37084|di|0|fw
183|19419|mf|0|la
184|19419|mf|1|la
186|2051|mf|1|la
191|34355|di|0|la
191|2051|oi|0|fw
202|34355|di|0|la
205|76359|mf|0|fw
206|76359|mf|1|fw
209|19419|mf|1|fw
210|19419|mf|1|fw
215|9089|da|1|la
216|9089|di|1|la
217|2051|di|1|fw
218|2051|di|1|fw
218|19419|di|1|fw
219|19419|di|1|fw
221|88894|mf|1|fw
222|88894|mf|1|fw
222|76359|mf|1|fw
223|76359|mf|1|fw
226|19419|di|1|fw
