_ts|player_id|place|ball|direc
0|50343|da|0|no
0|99127|mf|1|fw
0|28392|da|0|no
1|28392|mf|1|fw
5|34355|mf|1|la
6|34355|mf|1|la
8|105021|oi|1|fw
12|27375|mf|0|fw
18|27375|oi|1|fw
19|10866|da|0|no
22|34352|di|0|la
22|10866|oi|0|fw
73|6994|oi|0|fw
76|102683|da|0|la
77|50343|oi|0|fw
77|37084|di|0|la
80|50343|oa|0|fw
80|37084|da|0|la
98|99128|di|0|fw
98|28411|da|0|la
99|99128|di|1|fw
99|102683|di|1|la
100|99128|di|1|fw
100|102683|di|1|la
101|99128|di|1|fw
103|102683|di|1|fw
104|102683|di|1|fw
107|34352|di|1|la
108|34352|mf|1|la
109|28392|mf|1|la
110|28392|mf|1|la
113|34355|mf|1|la
116|48332|da|0|la
120|48332|da|0|la
127|40868|di|0|la
128|40868|mf|1|la
128|6994|mf|1|la
129|6994|mf|1|la
130|81456|mf|1|la
131|48353|mf|1|fw
131|81456|mf|1|la
132|48353|mf|1|fw
134|27375|mf|1|fw
135|27375|mf|1|fw
140|66806|di|1|la
141|66806|di|1|la
146|48353|di|1|fw
148|61960|mf|0|la
148|28130|mf|1|fw
149|34352|mf|1|la
150|34355|mf|0|la
152|34355|mf|0|la
153|34355|mf|0|la
153|28130|mf|0|fw
161|27375|mf|0|fw
166|66806|di|0|fw
167|66806|di|1|fw
171|39476|di|1|la
172|39476|di|1|la
173|66806|di|1|la
174|66806|di|1|la
175|48353|mf|1|fw
176|48353|mf|1|fw
177|28130|mf|1|fw
178|28130|mf|1|fw
179|6994|mf|1|fw
180|6994|mf|1|fw
183|27375|mf|1|fw
185|37084|mf|0|la
185|28392|mf|0|la
185|27375|mf|0|fw
190|27375|mf|0|fw
193|48353|mf|0|fw
194|48353|di|1|fw
195|39476|di|1|la
196|39476|di|1|la
197|40868|mf|1|la
198|40868|mf|1|la
201|50343|mf|0|la
201|77760|mf|0|fw
202|50343|mf|0|la
204|50343|mf|0|la
204|77760|mf|0|fw
220|99128|di|0|fw
220|77760|mf|0|fw
221|99128|di|1|fw
223|61960|di|1|la
224|34355|mf|1|la
224|61960|mf|1|la
225|34355|mf|1|la
226|61960|mf|1|la
227|61960|mf|1|la
230|105021|di|1|la
231|105021|di|1|fw
234|99128|mf|1|fw
235|99128|mf|1|fw
236|77760|mf|1|fw
237|77760|mf|1|fw
240|37084|oi|0|fw
240|40868|di|0|la
241|37084|oi|1|fw
241|77760|oi|1|fw
241|81456|di|0|la
242|77760|oi|0|fw
244|40868|da|0|la
244|77760|oa|0|fw
271|48332|da|0|la
275|77760|mf|0|fw
