_ts|player_id|place|ball|direc
0|37064|da|0|no
0|13139|da|0|no
1|40275|mf|1|fw
1|53515|mf|1|fw
2|40275|mf|1|fw
4|119772|mf|1|fw
5|119772|mf|1|fw
5|43106|di|1|fw
6|6685|di|1|la
6|43106|di|1|fw
7|6685|di|1|la
10|37064|mf|1|la
13|119772|mf|1|la
13|102578|mf|1|la
13|37055|mf|0|fw
14|102578|mf|1|la
19|6685|di|1|la
20|6685|di|1|la
25|73698|mf|1|la
26|73698|mf|1|la
30|6685|mf|1|la
31|6685|mf|1|la
36|33360|mf|1|fw
37|33360|mf|1|fw
37|6685|mf|1|la
38|6685|mf|1|la
42|49656|di|1|la
43|49656|di|1|la
50|73698|mf|1|la
53|40275|oi|0|fw
53|38454|di|0|la
55|28103|di|1|la
56|46197|mf|0|fw
56|6685|mf|0|la
57|119772|mf|1|la
57|6685|mf|1|la
58|119772|mf|1|la
62|49656|di|1|la
63|49656|mf|1|la
66|102578|mf|1|fw
67|102578|mf|1|fw
68|43106|mf|1|fw
69|43106|mf|1|fw
72|102578|mf|1|fw
73|102578|mf|1|fw
78|40275|mf|1|fw
79|40275|mf|1|fw
85|6685|mf|1|la
88|38462|di|0|la
92|119772|mf|1|fw
93|49656|mf|1|la
94|49656|mf|1|la
98|17347|mf|0|fw
98|73698|mf|0|la
102|49656|mf|1|la
103|6685|di|1|la
104|6685|di|1|la
106|33376|da|1|la
110|45034|oi|0|fw
114|45034|oi|1|fw
120|17347|mf|1|fw
121|17347|mf|1|fw
124|38462|di|1|la
125|38462|di|1|la
128|38454|di|1|la
129|38454|di|1|la
130|68353|mf|1|la
131|68353|mf|1|la
135|28103|mf|1|la
136|28103|mf|1|la
137|68353|mf|1|la
138|68353|mf|1|la
138|38454|di|1|la
139|38454|di|1|la
142|7810|da|1|la
143|7810|da|1|la
147|38454|di|1|la
148|38454|di|1|la
149|37055|mf|1|la
150|37055|mf|1|la
152|38454|di|1|la
153|38454|di|1|la
154|34703|di|1|la
155|34703|di|1|la
160|38462|mf|1|fw
161|33360|di|1|la
167|13139|oi|1|la
169|28103|mf|1|la
170|28103|mf|1|la
171|37055|oi|1|fw
172|37055|oi|1|fw
173|45034|oi|1|fw
174|102578|di|0|la
177|102578|di|1|fw
180|38462|mf|0|fw
181|38462|mf|0|fw
181|53515|mf|0|la
198|34703|di|0|la
203|68353|mf|0|la
204|68353|mf|1|la
207|38454|mf|1|la
208|38454|mf|1|la
211|17347|mf|1|fw
212|17347|mf|1|fw
217|38462|di|1|fw
218|38462|da|1|la
224|38454|di|1|la
225|38454|mf|1|la
227|28103|mf|1|la
228|28103|mf|1|la
230|13139|mf|1|la
231|53515|mf|0|fw
231|13139|mf|0|la
239|33360|mf|0|fw
246|43106|mf|0|fw
247|28103|mf|1|la
249|28103|mf|1|la
251|38462|di|0|la
253|17347|mf|1|fw
254|17347|mf|1|fw
262|46197|oa|1|fw
263|49656|da|0|la
264|46197|oa|0|fw
264|49656|da|0|la
304|28103|oa|0|fw
307|53515|da|0|la
309|34703|oi|1|fw
311|119772|di|1|la
313|40275|mf|1|la
314|34703|mf|0|fw
315|34703|mf|1|fw
316|68353|mf|1|la
317|68353|mf|1|la
320|7810|da|1|la
321|7810|da|1|la
325|68353|di|1|la
326|68353|mf|1|la
327|37055|mf|1|la
328|37055|mf|1|la
330|38454|di|1|la
331|38454|di|1|la
333|34703|di|1|la
334|34703|di|1|la
336|38462|mf|1|fw
337|38462|mf|1|fw
340|34703|di|1|la
341|34703|mf|1|la
342|38462|mf|1|fw
343|38462|mf|1|fw
345|34703|mf|1|fw
346|34703|mf|1|fw
350|68353|mf|1|la
351|68353|mf|1|la
356|37055|mf|1|la
360|37064|da|1|la
362|37055|oa|0|fw
362|37064|da|0|la
397|34703|oa|0|fw
397|28103|oa|0|fw
398|34703|oa|0|fw
398|45034|oa|0|fw
399|45034|oa|0|fw
400|33376|da|0|la
400|45034|oa|0|fw
421|33376|da|0|la
426|73698|da|1|la
428|34703|mf|1|fw
430|45034|oi|1|fw
431|45034|oi|1|fw
432|17347|mf|1|fw
433|17347|mf|1|fw
435|38462|di|1|fw
436|38462|di|1|la
439|38454|di|1|la
440|38454|di|1|la
442|68353|mf|1|la
