_ts|player_id|place|ball|direc
0|76650|da|0|no
0|49195|da|0|no
1|83407|mf|1|fw
1|148179|mf|1|la
2|83407|mf|1|la
4|12631|di|1|la
5|12631|di|1|la
6|98783|di|1|la
7|98783|di|1|la
14|12625|mf|1|fw
18|148179|oi|0|fw
18|51507|di|0|la
19|51507|di|0|la
21|37971|di|0|la
22|76650|mf|1|la
23|76650|mf|1|la
25|37971|mf|0|la
26|50947|mf|0|fw
27|50947|mf|0|fw
28|37971|mf|1|la
29|74208|mf|1|la
30|74208|mf|1|fw
31|45268|mf|1|fw
32|45268|mf|1|fw
33|37748|mf|1|fw
34|37748|mf|1|fw
37|74208|mf|1|fw
40|12625|di|0|la
42|37971|oi|1|fw
46|101188|oa|0|fw
49|50947|da|0|la
52|42774|oi|1|fw
54|76650|oi|1|fw
59|98780|da|0|la
59|101188|oa|0|fw
63|98780|da|0|la
63|101188|oa|0|fw
91|58966|da|0|la
96|101188|mf|0|la
96|20695|mf|0|fw
97|20695|mf|1|fw
98|101188|mf|0|la
100|101188|mf|0|la
100|20695|mf|0|fw
110|98780|mf|0|fw
113|50947|mf|0|fw
114|50947|mf|1|fw
116|98783|di|1|la
117|98783|di|1|la
118|12631|mf|1|la
119|12631|mf|1|la
124|98783|mf|0|la
124|19927|mf|0|fw
125|98783|mf|1|la
126|42774|mf|0|fw
127|49195|mf|0|la
127|42774|mf|1|fw
129|98783|mf|1|la
130|45268|mf|0|fw
130|50947|mf|1|la
131|98783|mf|0|la
131|45268|mf|1|fw
132|37971|mf|1|fw
132|19927|mf|1|fw
133|76650|oi|1|fw
133|37971|mf|1|fw
134|76650|oi|1|fw
134|37971|oi|1|fw
135|37971|oi|1|fw
141|101188|oi|1|la
142|101188|oa|1|fw
143|37971|oi|1|fw
144|12625|da|0|la
147|83407|di|0|fw
149|83407|mf|0|la
149|42774|mf|0|fw
151|83409|di|1|la
152|12625|di|1|la
153|12625|di|1|la
155|98780|di|1|fw
156|98780|di|1|fw
158|20695|mf|1|fw
159|20695|mf|1|fw
160|98780|di|1|fw
161|98780|di|1|fw
162|12625|di|1|la
163|12625|di|1|la
166|83409|di|1|la
167|83409|di|1|la
173|12625|di|1|la
175|37971|di|0|la
175|12625|oi|0|fw
179|101188|di|0|la
179|40784|da|0|la
180|101188|di|1|la
180|40784|da|1|la
181|101188|di|1|la
182|40784|da|1|la
183|40784|da|1|la
191|51507|di|1|fw
195|12631|da|0|no
199|12631|da|1|la
200|98783|da|1|la
201|98783|da|1|la
203|45268|oi|0|fw
204|83409|di|0|la
205|98783|di|1|la
207|49195|mf|0|la
209|37971|mf|1|fw
209|40784|mf|0|la
210|37971|mf|1|fw
212|74208|mf|1|fw
216|83409|mf|0|la
216|45268|mf|0|fw
239|74208|oi|0|fw
239|19927|oi|0|fw
240|74208|oi|1|fw
240|19927|oi|1|fw
241|74208|oi|1|fw
242|37748|mf|1|fw
243|37748|mf|1|fw
244|45268|oi|1|fw
245|45268|oi|1|fw
247|37748|mf|1|fw
248|37748|mf|1|fw
252|51507|mf|1|fw
253|51507|mf|1|fw
254|40784|mf|1|la
255|40784|mf|1|la
259|45268|oa|0|fw
260|12631|da|0|la
260|45268|oa|0|fw
276|12631|da|0|la
280|83407|mf|0|la
280|42774|mf|0|fw
282|45268|oi|1|fw
284|83409|di|0|la
285|83409|di|1|la
286|49195|mf|0|la
287|74208|oi|0|fw
289|74208|oi|1|fw
289|37971|oi|1|fw
290|37971|oi|1|fw
290|19927|oi|1|fw
291|19927|oi|1|fw
293|74208|oi|0|fw
294|98783|di|0|la
295|98783|di|1|la
296|12631|da|1|la
300|40784|mf|0|fw
302|40784|mf|1|fw
303|42774|mf|1|fw
304|40784|di|1|la
304|42774|mf|1|fw
305|40784|di|1|la
307|37971|mf|1|la
308|37971|mf|1|la
309|101188|mf|1|la
310|101188|mf|1|la
312|37971|mf|1|la
313|37971|mf|1|la
314|42774|mf|1|la
315|42774|di|1|la
320|51507|mf|0|fw
323|51507|mf|0|fw
323|49195|mf|0|la
331|12631|mf|0|la
332|98783|di|0|la
333|98783|di|1|la
334|50947|mf|1|la
335|50947|mf|1|la
336|98783|di|1|la
337|98783|di|1|la
345|12625|di|1|la
346|12625|di|1|fw
350|148179|oi|0|fw
350|40784|di|1|la
351|51507|di|1|la
354|12625|di|0|fw
358|37971|mf|1|la
359|101188|mf|0|la
361|76650|mf|1|la
362|76650|mf|1|la
363|101188|mf|1|la
364|101188|oi|1|la
367|37971|oa|0|la
369|37971|oa|0|fw
369|12625|da|0|la
398|76650|oa|0|fw
401|20695|da|0|la
403|83407|di|0|la
408|12631|di|1|fw
411|101188|mf|1|la
411|76650|mf|1|la
411|37971|mf|1|la
412|76650|mf|1|la
412|37971|mf|1|la
414|37971|mf|0|fw
417|74208|oi|1|fw
418|83409|di|0|la
418|74208|oi|0|fw
422|98780|da|0|la
424|20695|di|1|fw
425|20695|di|1|fw
434|51507|da|0|no
435|49195|oa|0|fw
436|51507|da|0|la
436|49195|oa|0|fw
464|37915|da|0|la
470|12631|mf|0|la
470|45268|mf|0|fw
482|51507|mf|0|fw
482|37748|mf|0|fw
483|40784|mf|1|la
483|51507|mf|1|fw
484|37971|mf|1|la
484|40784|mf|1|la
485|37971|mf|1|la
487|101188|mf|0|la
487|20695|mf|0|fw
501|101188|mf|0|la
501|40784|mf|0|la
502|40784|mf|1|la
502|51507|mf|1|fw
503|51507|mf|1|fw
503|37748|mf|1|fw
504|37748|mf|1|fw
509|51507|di|1|fw
510|51507|di|1|fw
515|40784|di|1|la
516|40784|mf|1|la
518|37971|mf|1|la
519|37971|mf|1|la
520|76650|oi|1|la
522|20695|di|0|fw
522|76650|oa|0|la
538|98780|da|0|fw
541|83407|di|1|fw
541|76650|oi|0|la
543|83407|di|0|fw
543|76650|oi|0|la
554|98780|di|0|fw
558|148179|oi|0|fw
558|40784|di|1|la
563|83407|mf|1|fw
565|12631|mf|1|la
566|12631|mf|1|la
567|49195|mf|1|la
568|12631|mf|1|la
568|49195|mf|1|la
569|12631|mf|1|la
572|50947|mf|1|la
574|101188|di|1|la
576|76650|mf|0|la
577|76650|mf|1|la
578|42774|mf|1|la
579|42774|di|1|la
581|74208|mf|1|fw
582|74208|mf|1|fw
584|37748|mf|1|fw
585|37748|mf|1|fw
588|45268|oi|1|fw
589|45268|oi|1|fw
592|74208|mf|1|fw
593|74208|mf|1|fw
598|40784|mf|1|la
599|40784|mf|1|fw
600|74208|oi|1|fw
601|74208|oi|1|fw
602|19927|oi|1|fw
603|19927|oi|1|fw
604|76650|oi|0|fw
604|50947|di|0|la
605|98783|da|0|la
605|19927|da|0|no
606|45268|oa|1|fw
607|76650|oa|1|fw
608|76650|oa|0|fw
610|98783|da|0|la
610|76650|oa|0|fw
640|58966|da|0|la
643|20695|mf|0|fw
643|37971|mf|0|la
646|20695|di|0|fw
646|37971|oi|0|la
659|98780|di|0|fw
670|148179|oa|0|fw
671|40784|da|0|la
672|83407|oa|0|fw
672|51507|da|0|la
701|37915|da|0|la
705|37748|da|0|no
708|51507|mf|0|fw
708|49195|mf|0|la
716|12631|mf|0|la
718|83407|mf|0|la
719|83407|mf|1|la
720|98783|mf|1|la
721|98783|mf|1|la
723|12625|di|1|la
724|12625|di|1|la
727|58966|da|1|la
728|74208|mf|0|fw
729|74208|mf|1|fw
733|45268|oa|0|fw
735|98783|da|0|la
736|98783|da|0|la
736|45268|oa|0|fw
742|45268|oa|0|fw
745|74208|oa|1|fw
747|50947|da|0|la
748|37748|oa|0|fw
749|50947|da|0|la
749|37748|oa|0|fw
773|58966|da|0|la
774|12625|di|0|fw
775|12625|di|1|fw
780|58966|da|1|la
781|58966|da|1|la
784|12631|mf|1|la
785|42774|mf|1|fw
787|12631|mf|0|la
787|42774|mf|0|fw
799|12631|mf|0|la
