_ts|player_id|place|ball|direc
0|20113|da|0|no
0|13017|da|0|no
0|42493|mf|1|fw
1|20113|mf|1|la
5|10625|mf|1|la
6|10625|mf|1|la
7|7313|mf|1|la
8|7313|mf|1|la
11|37641|di|1|la
12|37641|di|1|la
13|17172|di|1|la
14|17172|di|1|fw
15|61170|mf|1|fw
16|61170|mf|1|fw
22|10625|mf|1|fw
27|19419|da|0|la
29|19419|da|1|la
31|19419|da|0|la
31|40002|oa|0|fw
36|40002|oi|0|fw
37|10625|mf|0|fw
38|10625|mf|1|fw
41|7313|mf|1|fw
45|19419|da|0|la
45|7313|oa|0|fw
53|15749|da|0|la
54|7645|da|0|la
55|7645|di|1|la
57|56979|di|1|la
58|1814|mf|1|la
58|56979|di|1|la
59|1814|mf|1|la
61|7645|di|1|la
62|1814|di|1|la
62|7645|di|1|la
63|1814|di|1|la
64|7645|di|1|la
65|7645|di|1|la
67|12745|mf|1|la
68|12745|mf|1|la
69|1814|di|1|la
70|1814|di|1|la
77|19419|di|1|fw
80|37641|di|1|la
81|18102|di|0|la
83|18102|di|0|la
83|9047|oi|0|fw
102|10625|di|0|la
102|7313|di|0|la
103|10625|di|1|la
104|7313|di|1|la
105|7313|di|1|la
107|37641|da|1|la
108|37641|da|1|la
110|18102|di|1|la
111|18102|mf|1|la
113|42493|mf|1|la
115|40755|di|0|fw
115|42493|oi|0|la
130|9047|di|0|fw
132|18102|mf|1|la
132|20113|mf|1|la
133|18102|mf|1|la
133|20113|mf|1|la
134|20113|mf|1|la
135|7313|mf|0|la
136|10625|mf|1|la
136|7313|mf|1|la
137|18102|mf|1|la
137|10625|mf|1|la
138|18102|mf|1|la
139|37641|di|1|la
140|37641|di|1|la
143|17172|di|1|la
144|17172|di|1|la
146|37641|di|1|la
147|37641|di|1|la
150|7313|mf|1|la
151|7313|mf|1|la
155|45156|mf|1|fw
156|45156|mf|1|fw
159|40002|oa|0|fw
160|7645|da|0|la
163|40002|oa|0|fw
163|7645|da|0|la
170|40002|oa|0|fw
175|10625|mf|0|fw
176|10625|mf|1|fw
177|17172|mf|1|fw
178|17172|mf|1|fw
180|7313|mf|1|fw
181|7313|mf|1|fw
183|20113|oi|0|fw
183|50175|di|0|la
184|19419|di|0|la
185|19419|di|1|la
186|40755|mf|1|fw
187|40755|mf|1|fw
191|37641|mf|0|la
191|103955|mf|0|fw
193|103955|oi|0|fw
197|103955|oa|0|fw
197|21155|da|0|la
209|21155|da|0|la
211|1814|mf|1|la
211|13017|mf|1|la
212|1814|mf|1|la
213|13017|mf|0|la
216|13017|mf|1|la
220|9047|di|1|fw
221|9047|di|1|fw
224|19419|di|1|la
225|19419|di|1|la
226|7645|di|1|la
227|7645|di|1|la
229|1814|mf|1|la
230|1814|mf|1|la
230|12745|mf|1|la
231|12745|mf|1|la
233|40755|mf|1|la
235|10625|mf|0|fw
240|21155|da|0|la
245|21155|da|1|la
246|17172|da|1|fw
247|17172|da|1|fw
249|61170|di|1|fw
250|61170|di|1|fw
251|37641|di|1|la
252|37641|di|1|la
254|7313|mf|1|la
255|7313|mf|1|la
