_ts|player_id|place|ball|direc
0|76650|da|0|no
0|55634|da|0|no
1|5155|mf|1|la
1|44989|mf|1|fw
2|44989|mf|1|fw
3|15208|di|1|la
4|15208|di|1|la
5|44989|mf|1|la
7|76650|oi|1|la
10|40691|di|0|la
11|27334|mf|1|fw
12|74208|mf|1|fw
15|38392|di|1|la
18|40784|di|0|la
19|37915|da|1|la
20|37915|da|1|la
23|90152|da|1|la
30|20388|di|0|la
33|20388|di|1|la
33|40691|di|1|la
34|40691|di|1|la
37|38392|mf|1|la
38|38392|mf|1|la
42|40691|mf|1|fw
44|27334|da|0|la
46|27334|di|0|fw
46|40691|oi|0|la
51|41316|oi|0|la
55|15208|mf|0|la
56|15208|mf|1|la
61|38392|mf|1|la
62|38392|mf|1|la
63|40691|mf|1|fw
64|40691|mf|1|fw
68|15207|mf|1|fw
69|15207|mf|1|fw
70|40691|mf|1|fw
71|40691|mf|1|fw
78|38392|mf|1|la
79|38392|mf|1|fw
80|40691|mf|1|fw
81|40691|mf|1|fw
83|15207|mf|1|fw
84|15207|mf|1|fw
85|40691|mf|1|fw
86|40691|mf|1|fw
89|38392|mf|1|la
90|38392|mf|1|la
93|44989|mf|1|la
94|44989|mf|1|la
97|40691|mf|1|fw
98|37915|da|0|la
106|37915|da|0|la
107|90152|da|0|fw
108|90152|di|1|la
110|27341|di|1|la
111|90152|di|1|fw
111|27341|di|1|la
112|90152|di|1|fw
118|37915|da|1|la
121|14075|mf|0|la
121|15207|mf|0|fw
122|15207|mf|1|fw
125|55634|oi|0|fw
126|90152|da|0|la
128|55634|oi|1|fw
130|27341|da|0|la
130|44989|oa|0|fw
131|55634|oi|1|fw
132|27341|di|1|la
137|40691|di|0|la
139|15208|mf|1|la
139|40691|di|1|la
140|15208|mf|1|la
146|38392|mf|1|la
147|38392|mf|1|la
148|40691|mf|1|fw
149|40691|mf|1|fw
151|15207|mf|1|fw
152|15207|mf|1|fw
154|40691|mf|1|fw
155|40691|mf|1|fw
160|38392|mf|1|la
161|38392|mf|1|fw
163|37605|oi|1|la
164|44989|oi|1|la
164|37605|oi|1|la
165|44989|oi|1|la
165|37605|oi|1|la
166|37605|oi|1|la
167|41316|mf|1|la
168|41316|mf|1|la
169|15208|mf|1|la
170|15208|mf|1|la
173|38392|mf|1|la
175|90152|di|0|la
179|55634|oi|1|la
180|44989|mf|1|la
181|44989|mf|1|la
184|27334|da|0|fw
184|37605|oa|0|la
185|27334|da|0|fw
185|37605|oa|0|la
194|41316|oa|0|la
195|27341|da|0|la
196|41316|oa|0|la
196|27341|da|0|fw
205|41316|oa|0|la
207|90152|da|0|la
214|20388|di|1|la
214|40691|mf|0|fw
215|20388|di|1|la
220|40691|di|1|la
221|40691|mf|1|fw
225|15207|mf|1|fw
226|15207|mf|1|fw
228|38392|mf|1|la
229|38392|mf|1|la
234|40691|mf|1|fw
235|15208|mf|1|fw
235|40691|mf|1|fw
236|15208|mf|1|fw
237|40691|mf|1|fw
238|40691|mf|1|fw
240|44989|mf|1|la
241|44989|mf|1|la
242|38392|mf|1|fw
243|38392|mf|1|fw
246|15207|mf|1|fw
247|15207|oi|1|fw
250|37971|da|0|la
250|55634|oa|1|fw
252|37915|da|1|la
256|37915|mf|0|la
256|55634|mf|0|fw
269|15207|mf|0|fw
272|40691|mf|0|fw
273|39816|mf|1|fw
273|40691|mf|1|fw
274|39816|mf|1|fw
277|40691|mf|1|fw
278|40691|mf|1|fw
279|20388|di|1|la
280|20388|di|1|la
282|38392|di|1|la
283|38392|di|1|la
286|20388|da|1|la
287|14075|mf|0|la
287|55634|mf|0|fw
291|76650|mf|0|la
291|40691|mf|0|fw
293|15207|mf|1|fw
294|55634|mf|0|fw
295|14075|mf|0|la
295|55634|mf|0|fw
311|15207|mf|0|fw
314|27341|di|1|la
314|40784|di|0|la
315|27341|di|1|la
317|14075|di|1|la
319|38392|mf|1|fw
321|39816|mf|0|fw
322|39816|mf|1|fw
322|15207|oi|1|fw
323|15207|oi|1|fw
324|5155|oi|0|fw
325|40784|da|0|la
329|39816|oi|1|fw
329|41316|mf|1|fw
330|39816|oi|1|fw
330|15208|mf|1|fw
331|5155|oi|1|fw
331|15208|mf|1|fw
332|5155|oi|1|fw
333|39816|oi|1|fw
334|37915|da|0|la
350|37915|da|1|la
350|40784|di|1|la
351|40784|di|1|la
353|27341|di|1|la
354|74208|mf|1|fw
354|27341|di|1|la
355|74208|mf|1|fw
355|27341|di|1|la
356|27341|di|1|la
360|37971|mf|1|la
361|37971|mf|1|la
363|37852|mf|1|la
364|14075|mf|1|la
364|37852|mf|1|la
365|14075|mf|1|la
367|40784|mf|1|la
368|40784|di|1|la
371|27341|di|1|la
378|41316|da|0|la
379|41316|da|1|la
382|5155|mf|1|la
384|40784|mf|0|fw
385|74208|mf|1|fw
386|74208|mf|1|fw
388|90152|di|1|la
389|90152|di|1|la
396|14075|oi|0|la
399|41316|da|0|la
400|15207|di|0|la
401|74208|oi|1|fw
402|27341|mf|0|fw
403|27341|mf|1|fw
403|37852|oi|1|la
404|37852|oi|1|la
409|76650|oa|1|fw
412|15207|da|0|la
414|37852|oa|1|fw
415|19927|oa|1|fw
416|19927|oa|0|fw
418|15207|da|0|la
418|19927|oa|0|fw
449|20388|da|0|la
453|40784|mf|1|la
455|74208|mf|1|la
457|44989|mf|0|fw
478|37852|mf|0|fw
479|90152|mf|1|fw
482|90152|mf|0|fw
482|44989|mf|0|la
487|41316|di|0|la
490|15208|mf|0|la
491|38392|da|1|la
491|15208|mf|1|la
492|38392|da|1|la
494|37605|mf|1|la
495|27341|mf|1|fw
495|27334|mf|1|fw
496|27334|mf|1|fw
497|90152|mf|1|fw
497|27341|mf|0|fw
498|90152|di|1|fw
504|37915|da|1|la
505|37915|da|1|la
505|40784|di|1|la
506|40784|di|1|la
508|27341|di|1|la
509|27341|di|1|la
514|37852|mf|1|fw
515|37852|mf|1|fw
517|74208|mf|0|fw
517|44989|mf|0|la
518|74208|mf|0|fw
518|44989|mf|0|la
526|90152|di|0|fw
526|27334|mf|0|fw
527|90152|di|1|fw
533|40784|di|1|la
534|40784|mf|1|la
535|76650|mf|1|la
536|76650|mf|1|la
538|14075|mf|1|la
544|20388|da|0|la
548|20388|da|0|la
549|40691|di|0|la
550|40691|di|1|la
551|15208|di|1|la
552|15208|di|1|la
556|38392|di|1|la
557|38392|di|1|la
560|40691|di|1|fw
561|40691|di|1|fw
562|15207|mf|1|fw
563|15207|mf|1|fw
565|55634|oi|1|fw
566|55634|oi|1|fw
568|37605|oa|0|fw
570|40784|da|0|la
572|74208|di|0|la
576|39816|oi|1|fw
579|38392|mf|1|la
579|15208|mf|0|fw
580|38392|mf|1|la
586|15208|mf|1|la
587|15208|mf|0|la
587|37971|mf|0|fw
595|27334|mf|0|fw
596|90152|di|0|fw
597|90152|di|1|fw
602|40784|di|1|la
603|40784|di|1|la
606|27341|di|1|la
607|27341|mf|1|la
609|90152|mf|1|fw
610|90152|mf|1|fw
616|19927|oa|1|fw
617|19927|oa|1|fw
619|37852|oa|1|fw
622|15207|da|0|la
623|15207|da|1|la
624|39816|di|0|la
625|39816|di|1|la
626|39816|mf|0|la
626|37852|mf|0|fw
632|27334|mf|0|fw
634|90152|mf|0|fw
635|90152|mf|1|fw
641|40784|mf|1|la
642|40784|mf|1|la
646|76650|oa|1|fw
649|38392|da|0|la
651|40691|da|0|la
653|5155|mf|1|fw
654|14075|mf|0|la
655|14075|mf|1|la
657|37971|oi|1|la
658|37971|oi|1|la
660|14075|oi|1|la
662|15207|da|0|fw
664|15208|di|0|fw
666|55634|mf|1|fw
667|55634|mf|1|fw
669|15207|di|1|fw
670|15207|di|1|fw
673|20388|da|1|la
675|40784|di|1|la
679|15208|mf|1|la
680|37605|mf|1|la
681|37605|mf|1|la
683|74208|di|0|fw
683|44989|oi|0|la
715|44989|oi|0|la
717|38392|oa|0|fw
717|90152|da|0|la
