_ts|player_id|place|ball|direc
0|50105|da|0|no
0|76650|da|0|no
1|99332|mf|1|la
1|59794|mf|1|la
2|99332|mf|1|la
5|34296|mf|1|la
6|34296|mf|1|la
8|99336|mf|1|fw
9|99336|mf|1|fw
14|34285|di|1|la
15|34285|di|1|la
18|50105|oi|0|la
18|27334|di|0|fw
19|50105|da|0|no
19|27334|da|0|no
20|50105|oi|1|la
20|59794|oi|1|la
21|59794|oi|1|la
22|99332|oa|0|la
24|40784|da|0|la
25|34296|oi|0|fw
27|90152|da|0|la
27|59794|oa|0|fw
29|40784|da|0|la
30|74208|di|1|la
31|74208|di|1|la
33|50105|mf|0|la
33|37971|mf|1|la
39|27341|di|1|la
40|40784|di|1|la
41|40784|di|1|la
43|27341|di|1|la
44|27341|di|1|la
48|90152|di|1|la
49|90152|di|1|la
50|40784|mf|1|la
51|40784|mf|1|la
54|14075|mf|1|la
56|34291|mf|1|fw
57|59794|mf|1|fw
58|74208|mf|0|fw
59|59794|mf|0|fw
62|90152|di|0|la
62|59794|oi|0|fw
64|90152|di|0|fw
66|90152|di|1|fw
68|81918|mf|0|la
70|81918|mf|0|la
70|90152|mf|0|fw
76|27334|mf|0|fw
77|90152|di|0|fw
78|90152|di|1|fw
79|27341|mf|1|fw
80|27341|mf|1|fw
82|37971|mf|1|la
83|37971|mf|1|la
85|14075|mf|1|la
86|14075|mf|1|la
88|27341|mf|1|la
89|27341|mf|1|la
92|74208|mf|1|fw
93|74208|mf|1|la
95|40784|mf|1|la
96|40784|mf|1|la
98|14075|mf|1|la
99|14075|mf|1|la
101|19927|oi|1|la
103|99336|di|0|fw
103|19927|oi|0|la
112|14075|oi|0|la
112|37852|oi|0|la
113|37852|oi|1|la
115|14075|oi|1|la
116|14075|oi|1|la
116|40784|mf|1|la
117|40784|mf|1|la
118|27341|mf|1|la
119|74208|mf|1|fw
119|27341|mf|1|la
120|74208|mf|1|fw
121|90152|mf|1|fw
122|90152|mf|1|fw
124|34296|mf|1|la
124|27334|mf|1|fw
125|81918|mf|1|la
126|50105|mf|0|la
127|50105|mf|1|la
130|81918|oi|0|la
131|90152|di|0|fw
132|81918|oi|0|la
132|90152|di|0|fw
149|81918|oi|0|la
150|27341|da|0|la
150|50105|oi|0|la
178|37915|da|0|la
182|90152|da|0|fw
183|90152|di|1|fw
187|40784|di|1|la
188|40784|di|1|la
190|37852|mf|1|la
191|37852|mf|1|la
192|14075|mf|1|la
193|14075|mf|1|la
195|37852|mf|1|la
196|37852|mf|1|la
197|76650|oi|1|la
198|76650|oi|1|la
199|37852|oi|1|la
200|81918|da|0|la
205|19927|oa|0|fw
208|81918|da|0|la
208|19927|oa|0|fw
224|81918|di|0|la
225|99332|di|0|la
226|99332|di|1|la
230|27341|mf|0|fw
230|59794|mf|0|la
242|34285|mf|0|la
242|40784|di|0|la
254|90152|di|0|la
255|40784|di|0|la
256|40784|di|1|la
257|27341|di|1|la
