_ts|player_id|place|ball|direc
0|19927|da|0|no
0|90714|da|0|no
1|49013|mf|1|fw
1|85388|mf|1|fw
2|49013|mf|1|fw
3|28495|mf|1|la
4|28495|mf|1|la
9|27341|mf|0|fw
9|90714|mf|0|la
10|27341|mf|0|fw
11|74208|mf|1|fw
11|27341|mf|1|fw
12|74208|mf|1|fw
13|27334|mf|1|fw
14|27334|mf|1|fw
15|37852|mf|1|fw
16|112991|di|0|la
17|112991|di|1|la
18|149879|di|1|la
19|37852|oi|0|fw
20|28495|di|1|la
30|13262|da|1|la
33|26900|mf|0|fw
33|14075|mf|0|la
34|14075|mf|1|la
35|27334|mf|0|la
36|74208|mf|1|fw
36|27334|mf|1|fw
37|74208|mf|1|fw
38|37852|mf|1|fw
39|37852|mf|1|fw
43|27334|oi|0|fw
43|90714|di|0|la
45|90714|di|0|la
46|90714|di|1|la
47|149879|di|1|la
48|149879|mf|1|la
50|85388|mf|0|la
52|85388|mf|0|la
52|90152|mf|0|fw
65|27334|mf|0|fw
71|74208|di|0|fw
71|28495|oi|0|la
78|90152|di|0|fw
79|27341|di|0|la
80|27341|di|1|la
82|51507|di|1|la
83|14075|mf|1|la
83|51507|di|1|la
84|14075|mf|1|la
88|51507|di|1|la
89|51507|di|1|la
90|44346|mf|1|la
91|37971|mf|1|la
91|44346|mf|1|la
92|37971|mf|1|fw
92|37852|oi|1|fw
93|37852|oi|1|fw
94|74208|oi|1|fw
95|74208|oi|1|fw
98|27334|oi|1|fw
100|10594|da|0|la
101|49507|di|0|la
108|49507|oi|1|fw
109|14075|di|0|la
112|37971|di|1|la
114|116120|mf|0|fw
115|116120|mf|0|fw
116|116120|mf|1|fw
116|37971|mf|0|la
117|116120|oi|0|fw
117|37971|mf|0|la
133|49507|mf|0|fw
138|26900|oa|0|fw
138|14075|da|0|la
140|14075|da|1|la
141|26900|oi|0|fw
141|14075|di|0|la
155|49507|oi|0|fw
158|85388|oa|0|fw
158|51507|da|0|la
159|51507|da|0|la
163|51507|da|0|la
163|49507|oa|0|fw
182|90714|oa|0|fw
185|51507|da|0|la
188|51507|mf|0|la
188|90714|oi|0|fw
195|90714|oi|0|fw
196|49507|oi|0|fw
197|49507|oi|1|fw
199|49013|oi|1|fw
199|37852|di|0|la
201|27341|di|1|la
203|49013|oi|0|fw
204|74208|di|0|la
204|49013|oi|0|fw
205|49013|oi|0|fw
206|49013|oi|1|la
208|27334|da|0|fw
209|27334|di|1|fw
210|37852|di|1|fw
211|37852|di|1|fw
212|74208|mf|0|fw
212|116120|mf|0|la
214|74208|di|1|la
216|37971|mf|1|la
217|37971|mf|1|la
221|19927|oi|1|la
222|19927|oi|1|la
224|37971|oa|0|fw
225|10594|da|0|la
226|37971|oa|0|fw
226|10594|da|0|la
250|37852|oa|0|fw
252|44346|oa|0|fw
253|44346|oa|0|fw
255|44346|oa|0|fw
255|10594|da|0|la
271|13262|da|0|la
272|28495|di|0|la
273|28495|di|1|la
274|116120|di|1|la
