_ts|player_id|place|ball|direc
0|104512|da|0|no
0|69600|da|0|no
1|55634|mf|1|fw
2|55634|mf|1|fw
3|15207|di|1|la
4|15207|di|1|la
4|44989|mf|1|la
5|15207|di|1|la
5|44989|mf|1|la
6|15207|di|1|la
7|40691|di|1|la
8|40691|di|1|la
15|17127|di|1|la
16|17127|mf|1|fw
18|15207|mf|1|fw
19|15207|mf|1|fw
20|17127|mf|1|fw
21|17127|mf|1|fw
23|69140|mf|1|fw
24|69140|mf|1|fw
26|17127|mf|1|fw
28|50117|di|1|la
30|88746|di|1|la
34|15208|mf|0|fw
34|69140|mf|1|fw
34|20578|mf|0|la
36|149828|mf|0|la
38|104512|mf|1|la
40|44989|mf|0|fw
41|37605|oi|1|fw
44|86813|di|1|la
45|15208|oi|1|fw
46|82752|da|0|no
50|28549|da|0|la
54|28549|da|1|la
59|17127|di|1|la
60|50117|mf|1|la
63|104512|mf|1|la
64|15208|mf|0|fw
66|20578|mf|1|la
70|17127|di|0|la
76|17127|da|0|la
76|149828|oa|0|fw
87|20388|di|0|la
90|17127|di|0|fw
91|17127|di|1|fw
95|15207|di|1|la
96|15207|mf|1|la
99|17127|mf|1|fw
100|17127|mf|1|fw
102|15207|mf|1|fw
103|15207|mf|1|fw
107|44989|mf|1|la
108|44989|mf|1|la
109|40691|mf|1|la
110|40691|mf|1|la
111|15207|mf|1|la
112|15207|mf|1|la
117|37605|mf|1|fw
118|37605|mf|1|fw
121|40691|mf|1|la
122|40691|mf|1|la
126|15208|oi|0|la
126|51498|di|0|fw
127|44336|di|0|fw
130|17127|mf|0|fw
130|37605|mf|1|fw
131|37605|mf|1|fw
134|44989|mf|1|fw
135|15208|oi|1|fw
135|44989|mf|1|la
136|15208|oi|1|fw
137|40691|mf|1|la
138|40691|mf|1|la
143|15207|mf|0|fw
143|50117|da|0|la
164|28549|di|0|la
166|17127|di|1|fw
166|15207|di|1|la
167|15207|di|1|la
170|40691|di|0|la
171|40691|di|1|la
174|20388|da|1|la
176|20388|oi|0|la
176|86813|di|0|fw
194|86813|di|0|fw
197|15208|mf|1|la
199|69600|mf|0|la
200|20578|mf|1|fw
200|149786|mf|0|fw
201|20578|mf|1|fw
203|50117|di|1|la
204|50117|di|1|la
207|104512|mf|1|la
208|104512|mf|1|la
210|82752|mf|1|la
211|82752|mf|1|la
213|88746|mf|1|la
214|20388|da|0|no
215|20388|da|0|la
216|20388|da|0|la
222|69600|di|0|la
223|69600|mf|1|la
228|44989|mf|1|la
229|44989|mf|1|la
232|17127|mf|1|fw
233|17127|mf|1|fw
235|40691|mf|1|la
236|40691|mf|1|la
237|69600|oi|1|fw
238|69600|oi|1|la
