_ts|player_id|place|ball|direc
0|55661|da|0|no
0|37605|da|0|no
1|5155|mf|1|fw
1|55634|mf|1|fw
2|55634|mf|1|fw
3|44989|mf|1|la
4|44989|mf|1|la
7|40691|di|1|fw
10|28525|di|0|la
11|32644|di|1|la
12|58893|di|0|la
13|58893|di|1|la
17|40232|mf|0|la
17|40691|mf|0|fw
19|44989|mf|0|fw
21|55634|oi|1|fw
23|20658|di|1|fw
26|45154|mf|1|fw
29|15208|mf|0|la
30|38392|di|1|la
30|15208|mf|1|la
31|38392|di|1|la
35|41316|mf|1|la
36|41316|mf|1|la
38|38392|di|1|la
39|38392|di|1|la
41|15208|di|1|la
42|15208|di|1|la
46|40691|mf|1|fw
49|55661|di|0|fw
49|40691|oi|0|la
63|20658|di|0|fw
64|44989|mf|0|la
65|15208|mf|1|la
66|15208|mf|1|la
68|5155|oi|1|fw
74|42899|da|0|la
76|42899|da|1|la
82|58893|di|1|la
87|40691|mf|0|fw
88|15208|mf|1|fw
89|15208|mf|1|fw
91|44989|mf|1|fw
92|44989|mf|1|fw
93|100927|oi|1|fw
94|100927|oi|1|fw
95|55634|oi|1|fw
96|55634|oi|1|fw
99|37605|oi|1|fw
100|32644|da|0|la
107|38392|di|1|la
108|41316|mf|0|la
109|41316|mf|0|la
109|40232|mf|0|fw
121|20658|mf|0|fw
122|19054|mf|0|fw
123|19054|mf|1|fw
124|20658|mf|1|fw
125|20658|mf|1|fw
127|19054|da|0|no
127|44989|mf|0|la
127|15312|di|1|fw
128|5155|mf|1|la
130|32644|di|0|fw
132|55634|oi|0|fw
132|58893|di|0|la
199|55634|oi|0|fw
199|15207|oi|0|fw
200|15207|oi|1|fw
200|44989|oi|1|fw
201|55661|da|0|la
201|44989|oi|0|fw
204|38392|mf|1|la
207|39462|mf|1|fw
211|45154|mf|0|fw
212|45154|oi|1|fw
214|40691|di|0|la
215|40232|oa|0|fw
222|55661|oa|0|la
222|40691|da|0|fw
232|15207|da|0|fw
233|58893|da|0|no
233|40691|da|1|la
235|28525|mf|1|la
235|40691|mf|0|fw
250|15207|mf|0|fw
251|5155|mf|0|fw
252|5155|mf|1|fw
253|55634|mf|1|fw
254|55634|mf|1|fw
255|100927|mf|1|fw
256|100927|mf|1|fw
257|15208|mf|1|fw
258|38392|di|1|la
258|15208|mf|1|fw
259|38392|di|1|la
261|41316|mf|1|la
262|41316|mf|1|la
263|44989|mf|1|la
264|44989|mf|1|la
267|41316|mf|1|la
268|41316|mf|1|la
269|38392|di|1|la
270|38392|di|1|la
274|15208|di|1|la
275|15208|mf|1|la
276|37605|mf|1|la
277|41316|mf|1|la
277|37605|mf|1|la
278|41316|mf|1|la
279|44989|mf|1|la
280|44989|mf|1|la
284|15208|mf|1|la
285|15208|mf|1|fw
285|100927|mf|1|fw
286|100927|mf|1|fw
287|40691|mf|1|fw
288|40691|mf|1|fw
290|15207|mf|1|fw
291|15207|mf|1|fw
291|37605|oi|1|fw
292|37605|oi|1|fw
295|55634|oa|1|fw
296|39462|da|0|la
297|42899|da|0|la
303|42899|da|1|la
305|19054|mf|0|fw
307|38392|mf|0|la
316|19054|oi|1|fw
318|41316|di|0|la
319|41316|di|1|la
324|44989|di|1|la
326|19054|oa|0|fw
326|44989|da|0|la
349|20658|oa|0|fw
351|39462|oi|0|fw
352|39462|oi|1|fw
355|28525|mf|1|la
356|28525|mf|1|la
357|32644|mf|1|la
358|32644|mf|1|la
360|58893|mf|1|la
362|15207|di|1|fw
364|5155|mf|0|fw
365|5155|mf|1|fw
365|55634|mf|1|fw
366|55634|mf|1|fw
367|15207|mf|1|fw
368|15207|mf|1|fw
369|15208|mf|1|fw
370|15208|mf|1|fw
372|44989|mf|1|la
373|44989|mf|1|fw
375|55634|oi|1|fw
376|55634|oi|1|fw
377|15207|mf|1|fw
378|15207|mf|1|fw
378|44989|mf|1|fw
379|44989|mf|1|fw
381|15207|mf|1|fw
385|15207|da|0|no
385|15312|da|0|la
386|15207|oa|0|fw
386|15312|da|0|la
392|55634|oa|0|fw
392|100927|oa|0|fw
393|55634|oa|1|fw
393|100927|oa|1|fw
394|55634|oa|1|fw
396|15207|oi|1|fw
397|15207|oi|1|fw
400|55634|oa|0|fw
400|42899|da|0|la
414|42899|da|1|la
416|41316|mf|0|la
417|37605|mf|1|la
418|44989|mf|1|la
418|37605|mf|1|la
419|44989|mf|1|la
420|41316|mf|1|la
421|41316|mf|1|la
423|15208|mf|1|la
424|15208|mf|1|la
427|37605|oi|1|la
428|37605|oi|1|la
431|15208|mf|1|la
432|15208|mf|1|la
433|100927|oi|1|fw
434|100927|oi|1|fw
435|15207|mf|1|fw
436|15207|mf|1|fw
439|15208|mf|1|fw
440|15208|mf|1|fw
441|100927|oi|1|fw
442|55634|oi|1|fw
442|100927|oi|1|fw
443|55634|oi|1|fw
445|15207|mf|1|fw
446|15207|mf|1|fw
447|38392|mf|1|la
448|38392|mf|1|la
451|41316|mf|1|la
452|38392|mf|1|la
452|41316|mf|1|la
453|38392|mf|1|la
456|44989|mf|1|la
457|44989|mf|1|la
458|38392|mf|1|la
459|38392|mf|1|la
460|44989|mf|1|la
461|44989|mf|1|la
464|15208|mf|1|la
465|15208|mf|1|la
469|15207|oi|1|fw
470|15207|oi|1|fw
475|32644|di|0|la
475|44989|oi|1|fw
477|55661|mf|0|la
482|19054|da|0|no
482|38392|di|0|la
487|19054|oa|1|fw
489|15208|da|1|la
491|38392|da|0|la
493|38392|di|1|la
495|100927|di|1|la
496|100927|di|1|la
499|15207|mf|1|fw
500|15207|mf|1|fw
502|15208|mf|1|la
503|15208|mf|1|la
503|37605|mf|1|fw
504|37605|mf|1|fw
506|44989|mf|1|la
507|44989|mf|1|la
508|15207|oi|1|fw
509|15207|oi|1|fw
515|37605|oi|1|fw
516|39462|di|0|la
517|39462|di|0|la
517|37605|oi|0|fw
521|55634|oi|0|fw
525|40691|mf|0|fw
526|40691|mf|1|fw
527|15207|mf|1|fw
528|15207|mf|1|fw
531|15208|mf|1|fw
532|15208|oi|1|fw
534|37605|oi|1|fw
535|37605|oi|1|fw
537|15208|oi|1|fw
538|55634|oi|1|fw
538|15208|oi|1|fw
539|55634|oi|1|fw
539|15208|mf|1|fw
540|15208|mf|1|fw
542|55634|oi|1|fw
542|15312|di|0|la
544|55661|di|0|la
546|19054|da|0|no
550|19054|mf|0|la
550|38392|mf|0|fw
568|32644|di|0|la
568|28525|di|0|la
569|28525|di|1|la
570|20658|mf|1|fw
571|20658|mf|1|fw
572|45154|mf|1|fw
573|45154|mf|1|fw
575|20658|oi|1|fw
576|20658|oi|1|fw
577|40232|oi|1|fw
578|40232|oi|1|fw
578|45154|oi|1|fw
579|45154|oi|1|fw
582|20658|oa|1|fw
585|55634|da|0|la
586|20658|oi|0|la
586|55634|di|0|fw
592|58893|oi|0|la
594|32644|mf|0|la
595|32644|mf|1|la
595|19054|mf|1|la
596|19054|mf|1|la
598|32644|mf|1|la
599|32644|mf|1|la
600|55661|oi|1|la
601|55661|oi|1|la
602|58893|oi|1|la
603|58893|oi|1|la
606|19054|mf|1|la
607|19054|oi|1|la
609|39462|oi|1|fw
610|39462|oi|0|fw
610|41316|di|0|la
616|39462|oi|0|fw
616|41316|di|0|la
654|45154|oa|0|fw
657|5155|da|0|la
664|45154|oa|0|fw
667|20388|da|0|la
671|20388|da|0|la
675|15208|di|0|fw
676|15208|di|1|fw
677|15207|di|1|fw
678|15207|di|1|la
679|44989|mf|1|la
680|44989|mf|1|la
688|37605|mf|1|la
689|37605|oi|1|la
692|20658|di|0|fw
692|55634|oi|0|la
693|20658|di|0|fw
694|20658|di|1|fw
696|45154|di|0|fw
697|55634|oi|0|la
697|45154|di|0|fw
701|41316|oi|0|la
703|44989|mf|0|la
704|100927|mf|1|la
704|44989|mf|1|la
705|100927|mf|1|la
709|44989|mf|1|la
710|44989|mf|1|la
712|15207|mf|1|fw
713|15207|oi|1|fw
714|15208|mf|1|fw
715|15208|mf|1|fw
717|100927|oi|1|fw
717|58893|di|0|la
718|32644|di|1|la
719|100927|oi|0|fw
719|55661|di|0|la
724|55661|di|1|la
724|58893|di|1|la
725|55661|di|1|la
726|28525|di|1|la
727|28525|di|1|la
730|15312|di|1|la
731|15312|di|1|la
731|45154|mf|1|fw
732|45154|mf|1|fw
734|19054|mf|0|fw
734|15208|mf|0|la
737|15208|oi|0|la
740|15208|oi|0|la
740|15312|di|0|fw
741|15208|oi|0|la
741|15312|di|0|fw
747|15208|oi|0|la
751|37605|mf|0|la
752|37605|oi|1|la
753|44989|mf|1|fw
754|44989|oi|1|fw
761|15207|oa|0|fw
767|15207|oa|0|la
767|55661|da|0|fw
782|20658|da|0|fw
786|15208|mf|1|la
786|40232|di|0|fw
787|44989|oi|1|la
788|45154|di|0|fw
789|41316|oi|1|la
791|5155|oi|0|la
791|15312|di|0|fw
847|44989|oi|0|la
851|20658|da|0|la
855|55661|di|0|la
856|55661|di|0|la
856|44989|oi|0|fw
864|15207|oi|0|fw
870|15208|oi|0|fw
871|15312|da|0|la
872|15208|oa|0|fw
872|15312|da|0|la
903|44989|oa|0|fw
904|40232|da|0|la
905|55661|di|0|la
913|55661|oi|0|fw
913|37605|di|0|la
915|38392|di|0|la
915|55661|oi|0|fw
929|39462|oi|0|fw
932|15312|mf|0|fw
933|15312|mf|1|fw
935|39462|mf|1|fw
936|39462|mf|1|fw
939|20658|mf|1|fw
940|20658|mf|1|fw
943|28525|di|1|la
944|28525|mf|1|la
946|58893|mf|1|la
947|58893|mf|1|la
948|28525|di|1|la
949|28525|di|1|la
955|42899|da|1|la
958|40691|di|0|la
961|15208|mf|0|fw
966|15207|mf|1|fw
967|15207|oi|1|fw
968|5155|oa|0|fw
968|15312|da|0|la
969|15312|da|0|la
972|15312|da|0|la
973|5155|oa|0|fw
973|15312|da|0|la
975|5155|oa|0|fw
976|28525|da|0|la
979|5155|oa|0|fw
986|37605|oa|0|la
987|37605|oi|1|la
990|44989|mf|1|la
991|38392|mf|1|la
991|44989|mf|1|la
992|38392|mf|1|la
996|40691|mf|1|fw
997|40691|mf|1|fw
998|15208|mf|1|fw
999|15208|mf|1|fw
1004|44989|mf|0|la
1006|19054|di|0|fw
1006|44989|oi|0|la
1086|20658|di|0|fw
1090|45154|mf|0|fw
1096|20388|da|0|la
1099|15208|di|1|la
1099|20388|da|1|la
1100|15208|di|1|la
1102|44989|mf|1|la
1103|44989|mf|1|la
1105|37605|mf|1|la
1106|37605|mf|1|la
1110|44989|mf|1|la
1111|58893|di|0|la
1113|55661|di|1|la
1116|58893|di|1|la
1118|55634|oi|1|fw
1119|40691|mf|1|fw
1120|55661|di|0|la
1122|55661|mf|0|la
1122|40691|mf|0|fw
1136|15207|mf|0|fw
1140|40691|di|0|fw
1141|40691|mf|1|fw
1146|44989|mf|1|la
1147|44989|mf|1|la
1150|15207|mf|1|fw
1151|15207|oi|0|fw
1151|58893|di|0|la
1166|15207|mf|0|fw
1167|40691|mf|0|fw
1168|38392|mf|1|la
1168|40691|mf|1|fw
1169|38392|mf|1|la
1171|44989|mf|1|la
1172|44989|mf|1|la
1175|41316|oi|1|la
1176|41316|oi|1|la
1179|44989|mf|1|la
1180|44989|mf|1|la
1183|38392|mf|1|la
1185|32644|mf|0|la
1187|40232|mf|0|la
1192|40232|mf|1|la
1194|100927|mf|0|fw
1194|58893|mf|1|la
1198|40691|da|0|fw
1199|40691|da|1|fw
1201|20388|da|1|la
1203|5155|mf|0|fw
1203|28525|mf|0|la
1204|28525|mf|0|la
1206|38392|di|0|la
1208|44989|mf|1|la
1209|44989|da|0|la
1210|40232|oi|0|fw
1211|40232|oa|0|fw
1213|40232|oa|0|fw
1213|44989|da|0|la
1232|15207|mf|0|fw
1232|20388|da|0|la
1233|15207|mf|1|fw
1238|37605|mf|1|fw
1239|40232|mf|0|la
1240|40232|mf|1|la
1242|39462|mf|1|la
1246|20388|da|0|la
1249|20388|da|0|la
1252|55634|mf|0|la
1253|55634|mf|1|la
1254|44989|mf|1|la
1255|44989|mf|1|la
1256|15208|mf|1|la
1257|15208|mf|1|la
1259|15312|mf|0|fw
1259|37605|mf|0|la
1272|15208|mf|0|la
1272|44989|mf|0|la
1273|15208|mf|1|la
1276|44989|mf|1|la
1277|44989|mf|1|la
1278|15208|oi|1|fw
1279|15208|oi|1|fw
1280|55634|oi|1|la
1281|55634|oi|1|la
1282|44989|oi|1|la
1283|55634|oi|1|la
1283|44989|oi|1|la
1284|55634|oi|1|la
1285|37605|oi|1|la
1286|37605|oi|1|la
1288|55634|oi|1|la
1288|15312|di|0|la
1293|41316|oi|0|la
1294|41316|oi|0|la
1294|45154|di|0|fw
1324|20658|di|0|fw
1326|15207|di|0|la
1326|40232|oi|0|fw
1329|39462|mf|0|fw
1329|44989|mf|0|la
1330|15208|mf|0|la
1332|19054|mf|0|fw
1332|15208|mf|0|la
1333|37605|mf|1|la
1334|15208|mf|1|la
1334|37605|mf|1|la
1337|15208|mf|1|la
1338|15208|mf|1|la
1340|44989|mf|1|la
1341|44989|mf|1|la
1341|37605|oi|1|la
1342|37605|oi|1|la
1346|15208|mf|1|la
1347|15208|mf|1|la
1350|15207|oi|1|fw
1351|15207|mf|1|fw
1354|40691|mf|1|fw
1355|40691|mf|1|fw
1359|38392|mf|1|fw
1360|38392|oi|1|fw
1364|15207|oi|1|fw
1365|15207|oa|0|fw
1366|5155|oa|0|fw
1367|5155|oa|1|fw
1368|20658|da|0|la
1368|55634|oa|0|fw
1371|44989|oi|1|fw
1372|37605|oa|1|la
1373|37605|oa|1|la
1375|41316|oi|1|la
1376|15312|da|0|la
1380|15312|da|1|fw
1381|41316|oa|0|la
1382|41316|oa|0|la
1382|15312|da|0|fw
1402|20658|di|0|fw
1403|40232|di|0|fw
1404|40232|di|1|fw
1405|20658|di|1|fw
1408|15207|mf|0|la
1410|15207|mf|1|la
1411|15208|mf|1|fw
1412|15208|mf|1|fw
1413|15207|mf|1|fw
1414|15207|mf|1|fw
1415|15208|mf|1|fw
1416|15208|mf|1|fw
1418|55634|oi|1|fw
1419|55634|oi|1|fw
1420|15207|mf|1|fw
1421|15207|mf|1|fw
1423|40691|mf|1|fw
1424|40691|mf|1|fw
1426|44989|mf|1|fw
1427|15207|mf|1|fw
1427|44989|mf|1|fw
1428|15207|mf|1|fw
1429|15208|mf|1|fw
1430|15208|mf|1|fw
1431|15207|mf|1|fw
1432|15207|mf|1|fw
1433|40691|di|1|fw
1434|40691|di|1|la
1440|38392|mf|1|la
1441|38392|mf|1|fw
1445|15207|mf|1|fw
1446|15207|oi|1|fw
1449|40691|di|1|la
1450|40691|di|1|la
1452|38392|mf|1|la
1453|38392|di|1|la
1455|20388|da|1|la
1456|20388|da|1|la
1461|38392|di|1|la
1462|38392|mf|1|la
1467|15208|mf|1|la
1468|15208|mf|1|la
1469|44989|mf|1|la
1470|44989|mf|1|la
1473|37605|oi|1|la
1474|5155|da|0|no
1474|28525|da|0|la
1478|28525|da|0|fw
1480|15208|mf|1|la
1481|44989|mf|0|la
