_ts|player_id|place|ball|direc
0|45124|da|0|no
0|69600|da|0|no
1|55634|mf|1|fw
1|69600|mf|1|fw
2|44989|mf|1|la
2|55634|mf|1|fw
3|15207|mf|1|la
3|44989|mf|1|la
4|15207|mf|1|la
4|38392|di|1|la
5|38392|di|1|la
6|44989|mf|1|la
7|44989|mf|1|la
10|38392|di|1|la
11|38392|di|1|la
12|17127|di|1|la
13|17127|di|1|la
16|40691|di|1|fw
18|49485|mf|0|la
19|49485|mf|1|la
20|20360|oi|1|la
21|40691|di|0|fw
22|40691|di|1|fw
27|20388|da|1|la
28|20388|da|1|la
31|38392|di|1|la
32|38392|di|1|la
34|17127|di|1|la
35|17127|di|1|la
37|15207|di|1|la
38|15207|di|1|la
39|44989|mf|1|la
40|44989|mf|1|la
43|69600|mf|1|la
44|69600|mf|1|la
46|44989|mf|1|la
47|44989|mf|1|la
50|17127|di|1|fw
51|17127|mf|1|fw
52|38392|di|1|la
53|38392|di|1|la
54|44989|mf|1|la
55|44989|mf|1|la
56|69600|mf|1|la
57|69600|mf|1|la
59|44989|mf|1|la
60|44989|mf|1|la
64|17127|mf|1|fw
65|17127|mf|1|fw
66|38392|di|1|la
67|38392|di|1|la
69|44989|mf|1|la
70|44989|mf|1|la
73|41316|oi|1|la
76|104953|da|0|la
76|41316|oa|0|fw
96|49478|da|0|la
101|68791|di|0|fw
102|68791|di|1|fw
105|66905|di|1|la
106|66905|di|1|la
108|49485|mf|1|la
109|49485|mf|1|la
111|66905|di|1|la
113|37605|mf|0|fw
114|66905|mf|0|la
114|37605|mf|0|fw
118|49485|mf|0|la
121|77831|mf|0|la
122|77831|mf|1|la
128|49478|da|1|la
132|41316|mf|0|la
133|104953|da|0|no
133|69600|mf|0|la
134|69600|mf|1|la
136|15207|mf|1|la
136|77831|da|0|no
138|14791|mf|0|fw
138|39816|mf|0|la
165|14791|mf|0|fw
170|41316|di|0|la
170|20360|oi|0|fw
178|38392|di|0|la
179|17127|di|0|la
180|17127|di|1|la
184|15207|di|1|la
185|15207|mf|1|la
187|17127|di|1|fw
188|17127|di|1|fw
191|15207|mf|1|fw
192|15207|mf|1|fw
195|38392|mf|1|la
196|38392|mf|1|la
197|44989|mf|1|la
198|15207|mf|1|la
198|44989|mf|1|la
199|15207|mf|1|la
202|38392|mf|1|la
203|38392|mf|1|la
205|17127|mf|1|fw
206|17127|mf|1|fw
208|40691|mf|1|fw
209|17127|di|1|fw
209|40691|mf|1|fw
210|17127|di|1|fw
213|20388|da|1|la
214|20388|da|1|la
215|15207|di|1|la
216|15207|di|1|la
217|20388|da|1|la
218|20388|da|1|la
221|44989|di|1|la
222|44989|di|1|la
222|69600|mf|1|la
223|69600|mf|1|la
224|37605|mf|1|la
225|37605|mf|1|la
226|49483|da|0|no
227|41316|mf|0|la
227|49483|da|0|no
228|66905|di|0|la
231|66905|da|0|fw
231|41316|oa|0|la
238|41316|oa|0|la
240|44989|oi|0|la
241|44989|oi|1|la
244|14791|di|0|la
244|15207|oi|0|fw
245|14791|di|1|la
245|45124|di|1|la
246|45124|di|1|la
249|49485|di|0|la
249|37605|oi|0|fw
250|49485|di|1|la
253|49483|mf|1|fw
254|49483|mf|1|fw
256|77831|mf|1|fw
257|77831|mf|1|fw
259|49483|mf|1|fw
