_ts|player_id|place|ball|direc
0|14937|da|0|no
0|69600|da|0|no
1|55634|mf|1|fw
1|69600|mf|1|la
2|15207|mf|1|la
2|55634|mf|1|fw
3|15207|mf|1|la
4|39816|mf|1|fw
5|39816|mf|1|fw
6|17127|di|1|la
7|17127|di|1|la
11|38392|di|1|la
12|38392|di|1|la
13|17127|di|1|la
14|17127|di|1|la
18|38392|di|1|la
19|38392|mf|1|la
20|17127|di|1|la
21|17127|di|1|la
22|20388|da|1|la
23|20388|da|1|la
28|40691|di|1|fw
30|27256|di|0|la
31|27256|di|1|la
33|38533|da|1|la
35|15207|mf|1|fw
36|69600|oi|1|fw
38|19921|mf|1|la
38|19624|da|0|no
39|19921|mf|1|la
39|19620|di|1|la
40|19620|di|1|la
44|46525|mf|1|la
45|46525|mf|1|la
48|14937|mf|1|la
49|14937|mf|1|la
50|46525|mf|0|la
50|40691|mf|0|fw
54|37605|mf|0|fw
55|40691|mf|1|fw
56|17127|di|1|fw
56|40691|mf|1|fw
57|17127|di|1|fw
59|38392|di|1|la
60|38392|di|1|la
62|44989|di|1|la
63|44989|mf|1|la
64|41316|mf|1|la
65|41316|mf|1|la
67|38392|di|1|la
68|38392|di|1|la
73|17127|di|1|la
74|17127|mf|1|fw
80|38392|di|1|la
81|38392|di|1|la
83|17127|di|1|la
84|17127|di|1|fw
86|15207|mf|1|fw
87|15207|mf|1|fw
90|38392|mf|1|la
91|38392|mf|1|la
92|15207|mf|1|la
93|15207|mf|1|la
94|37605|mf|1|fw
95|39816|mf|1|fw
95|37605|mf|1|fw
96|39816|mf|1|fw
98|40691|oi|1|fw
99|40691|oa|0|fw
101|26904|da|0|la
101|69600|oa|0|fw
102|69600|oa|1|fw
103|18522|da|0|la
107|18522|da|0|fw
107|69600|oa|0|la
114|41316|oa|0|la
115|18522|da|0|la
116|41316|oa|0|fw
116|18522|da|0|la
129|44989|oa|0|fw
130|15207|oa|0|la
131|15207|oa|1|la
133|44989|oa|0|fw
134|18522|da|0|la
134|44989|oa|0|fw
158|38533|da|0|la
162|27256|di|0|la
163|27256|di|1|la
165|39816|mf|0|fw
165|19921|mf|0|la
170|18522|di|1|fw
171|44989|oi|0|la
172|18522|mf|0|fw
172|44989|mf|0|la
175|26904|mf|0|fw
178|19620|mf|0|fw
178|44989|mf|0|la
180|55634|mf|0|la
181|55634|mf|1|la
183|39816|mf|1|fw
184|39816|mf|1|fw
186|40691|mf|1|fw
187|40691|mf|1|fw
193|26904|da|0|la
193|69600|oa|0|fw
194|38530|da|0|la
194|69600|oa|0|fw
196|26904|da|0|la
199|26904|da|1|la
200|17743|mf|1|fw
203|17127|mf|0|la
204|17127|di|1|la
207|15207|mf|1|la
208|15207|mf|1|fw
214|40691|oi|1|fw
215|18522|di|0|la
217|18522|mf|0|la
217|40691|mf|0|fw
229|40691|mf|0|fw
232|27256|da|0|la
234|17743|mf|1|la
234|27256|da|1|la
235|17743|mf|1|la
238|14937|mf|1|la
239|14937|mf|1|la
241|17743|oi|1|fw
242|17743|oa|0|fw
242|20388|da|0|la
248|20388|da|0|la
260|20388|da|0|la
261|38392|di|0|la
262|38392|di|1|la
265|17127|di|1|la
266|17127|di|1|fw
268|40691|di|1|fw
269|40691|di|1|fw
272|20388|da|1|la
273|20388|da|1|la
278|38392|mf|1|la
