_ts|player_id|place|ball|direc
0|45124|da|0|no
0|17152|da|0|no
1|80146|mf|1|la
1|33223|mf|1|la
2|33223|mf|1|la
3|14791|mf|1|la
4|14791|mf|1|la
5|49480|di|1|fw
6|104953|mf|1|fw
6|49480|di|1|fw
7|104953|mf|1|fw
8|49480|di|1|fw
9|17152|oi|0|la
10|49480|di|1|fw
11|15517|mf|1|la
13|68791|di|0|la
14|66905|di|0|fw
14|61770|oi|0|la
21|12875|mf|0|la
21|20226|oi|0|la
22|20226|oi|1|la
23|12875|oi|1|la
24|12875|mf|1|la
24|17152|oi|1|la
25|17152|oi|1|la
27|20226|oa|0|fw
28|68791|da|0|la
28|20226|oa|0|fw
29|20226|oa|0|fw
78|45124|mf|1|la
78|33223|mf|1|la
79|45124|mf|1|la
88|77831|mf|1|la
107|41574|oi|0|fw
108|41574|oi|1|fw
110|45124|di|0|la
110|37070|oi|0|fw
112|37070|oa|0|fw
114|66905|da|0|la
115|66905|da|1|la
115|37070|oa|0|fw
117|77831|da|0|no
119|12875|oi|0|fw
119|33223|di|0|la
128|14791|mf|0|fw
129|49480|mf|0|fw
130|49480|mf|1|fw
134|104953|mf|1|fw
135|104953|mf|1|fw
137|49480|mf|1|fw
138|49480|mf|1|fw
140|68791|di|1|la
141|68791|di|1|la
143|66905|mf|1|la
144|66905|mf|1|la
146|49485|mf|1|la
147|49485|mf|1|la
148|77831|mf|1|la
149|77831|mf|1|la
150|49485|mf|1|la
151|49485|mf|1|la
154|45124|mf|1|la
155|45124|mf|1|la
158|68791|di|1|la
159|68791|mf|1|fw
161|49480|mf|1|fw
166|49480|oa|0|fw
166|17152|da|0|la
187|15337|da|0|la
191|49480|mf|0|fw
191|17152|mf|0|la
192|49480|mf|1|fw
193|12875|mf|1|la
198|17152|oi|1|la
203|45124|di|0|la
204|45124|mf|0|la
207|45124|mf|0|la
207|61770|mf|0|fw
267|37070|mf|0|fw
268|61770|mf|0|fw
269|45124|mf|0|la
271|45124|mf|1|la
273|66905|di|1|la
274|60207|di|0|la
274|33223|oi|0|fw
275|60207|di|0|la
276|33223|oi|0|fw
279|45124|oi|0|la
279|61770|di|0|fw
316|14791|oi|0|la
318|68791|oa|1|fw
320|68791|oa|0|fw
320|61770|da|0|la
338|15337|da|0|la
343|50089|da|0|fw
344|50089|da|1|fw
344|15337|da|1|la
345|15337|da|1|la
346|60207|da|1|la
347|60207|da|1|la
349|49480|mf|0|fw
349|17152|mf|0|la
350|17152|mf|1|la
352|49480|mf|0|fw
352|20226|mf|0|la
353|20226|oi|1|la
355|49480|di|0|fw
356|49480|di|1|fw
357|104953|mf|1|fw
358|41574|oi|0|la
359|14791|di|1|fw
360|14791|di|0|fw
360|41574|oi|0|la
367|12875|oi|0|la
369|41574|oi|0|fw
370|41574|oi|1|fw
371|37368|oi|1|fw
372|37368|oi|1|fw
374|37070|oi|1|fw
375|37070|oi|1|fw
377|61770|oa|1|fw
378|61770|oa|0|fw
379|66905|da|0|la
379|41574|oa|0|fw
380|41574|oa|0|fw
384|104953|da|0|la
390|104953|da|1|fw
390|77831|da|1|la
391|77831|da|1|la
393|12875|mf|0|la
393|33223|mf|0|fw
395|49480|mf|0|fw
395|12875|mf|0|la
396|49480|mf|0|fw
398|49480|mf|0|fw
398|12875|mf|0|la
399|12875|mf|0|la
401|17152|oi|0|la
402|17152|oi|1|la
404|20226|oi|1|fw
407|49485|da|0|la
409|15517|oi|0|fw
409|77831|di|0|la
410|77831|di|1|la
411|80146|mf|0|la
413|104953|mf|1|fw
414|104953|mf|1|fw
418|33223|oa|0|fw
419|15337|da|0|la
425|37368|di|0|la
425|15337|da|0|la
426|37368|di|1|la
426|37070|di|1|fw
427|37070|mf|1|fw
429|41574|mf|1|fw
430|41574|mf|1|fw
432|37368|mf|1|fw
433|37368|mf|1|la
434|17152|mf|1|la
435|17152|mf|1|la
437|12875|mf|1|la
438|12875|mf|1|la
440|37368|mf|1|la
441|37368|mf|1|la
443|50089|mf|1|fw
444|50089|mf|1|fw
444|37070|mf|1|fw
445|37070|mf|1|fw
447|50089|mf|1|fw
448|50089|mf|1|fw
448|15517|mf|1|fw
449|15517|mf|1|fw
450|50089|di|1|fw
451|50089|mf|1|fw
453|60207|di|1|la
454|60207|di|1|la
454|37368|mf|1|la
455|37368|mf|1|la
457|60207|di|1|la
458|60207|di|1|la
461|15337|da|1|la
462|15337|da|1|la
464|50089|di|1|fw
465|50089|di|1|fw
468|37070|mf|1|fw
469|37070|mf|1|fw
470|15517|mf|1|fw
471|15517|mf|1|fw
472|37368|di|1|la
473|37368|mf|1|la
475|60207|mf|1|la
476|60207|mf|1|la
481|37368|di|1|la
482|37368|mf|1|la
483|61770|mf|1|fw
484|61770|mf|1|fw
485|15517|mf|1|fw
489|49485|da|0|no
490|49485|da|0|la
490|15517|oa|0|fw
514|61988|da|0|la
517|60207|di|0|la
517|80146|oi|0|fw
518|60207|di|0|la
519|68791|mf|0|la
519|41574|da|0|no
520|20226|mf|0|la
521|14791|mf|0|fw
522|66905|mf|1|la
522|41574|mf|0|fw
524|66905|mf|1|la
526|66905|oi|0|la
526|41574|di|0|fw
542|37070|di|0|fw
544|41574|mf|1|fw
546|49480|mf|0|la
547|49480|mf|1|la
555|104953|oi|1|fw
557|60207|da|0|la
558|50089|da|0|la
561|104953|mf|0|fw
561|50089|mf|0|la
567|49480|mf|0|fw
569|68791|di|0|fw
570|68791|di|1|fw
572|14791|mf|1|fw
573|14791|mf|1|la
578|49485|mf|0|la
578|61770|mf|0|fw
580|14791|mf|0|la
580|37070|di|0|fw
581|33223|da|0|no
597|15337|di|0|la
603|60207|mf|1|la
609|61988|da|0|la
616|61988|da|1|la
619|66905|di|1|la
620|66905|di|1|la
623|49485|di|1|la
627|50089|di|0|fw
627|33223|oi|0|la
633|37368|mf|0|fw
633|37070|mf|0|fw
634|37368|mf|1|fw
635|37070|mf|1|fw
636|66905|di|1|la
637|14791|mf|0|la
638|14791|mf|1|la
638|49485|mf|1|la
639|49485|mf|1|la
640|80146|oi|1|la
642|50089|di|0|fw
643|14791|oi|0|la
643|50089|di|0|fw
650|49485|mf|0|la
651|66905|mf|0|la
652|66905|mf|1|la
653|49485|mf|1|la
654|49485|mf|1|la
657|77831|mf|1|la
658|77831|mf|1|la
659|80146|oi|1|fw
660|80146|mf|1|fw
662|49480|mf|1|fw
663|49480|mf|1|fw
664|104953|oi|1|fw
665|104953|mf|1|fw
667|77831|mf|1|fw
668|77831|mf|1|fw
670|12875|di|0|la
670|45124|oi|0|fw
696|15337|di|0|la
699|104953|di|0|fw
699|15337|oi|0|la
706|49480|mf|0|fw
709|60207|di|0|la
710|60207|mf|0|la
710|49480|mf|0|fw
716|49480|mf|0|fw
719|60207|di|0|la
723|80146|oa|0|fw
725|50089|da|0|la
