_ts|player_id|place|ball|direc
0|50343|da|0|no
0|43274|da|0|no
1|14664|mf|1|fw
1|37352|mf|1|fw
2|37352|mf|1|fw
4|28301|di|1|la
7|66806|di|0|la
7|12303|oi|0|fw
8|66806|da|0|no
9|27375|da|0|no
25|27375|di|0|fw
26|66806|di|0|la
27|66806|di|1|la
31|48353|mf|1|fw
32|48353|mf|1|fw
33|27375|mf|1|fw
34|27375|mf|1|fw
35|48353|mf|1|fw
36|48353|mf|1|fw
39|39476|di|1|la
40|39476|di|1|la
41|40868|mf|1|la
42|40868|mf|1|la
46|6994|mf|1|la
47|6994|mf|1|la
51|66806|di|1|la
52|66806|mf|1|fw
52|27375|mf|1|fw
53|27375|mf|1|fw
54|66806|mf|1|fw
55|66806|di|1|fw
57|52068|mf|0|la
58|28130|mf|1|fw
60|6994|mf|1|fw
64|39471|mf|1|fw
66|19523|di|0|la
67|19523|di|1|la
72|12056|da|1|la
73|19523|di|1|la
73|12056|da|1|la
74|19523|di|1|la
76|52068|di|1|la
77|52068|di|1|la
77|28111|di|1|la
78|28111|di|1|la
79|52068|di|1|la
80|52068|di|1|la
80|14664|mf|1|la
81|14664|mf|1|la
82|52068|di|1|la
83|52068|di|1|la
86|14664|di|1|la
87|14664|mf|1|la
90|28111|mf|1|la
92|66806|di|0|fw
93|28130|mf|1|fw
94|28130|mf|1|fw
95|10866|mf|1|fw
96|10866|mf|1|fw
97|6994|mf|1|fw
98|6994|mf|1|fw
101|50343|mf|1|la
102|50343|oi|1|la
103|40868|oi|1|la
104|40868|mf|1|la
108|50343|oa|0|la
110|12450|da|0|la
113|50343|oi|1|la
116|40868|oi|0|la
117|12056|da|0|la
125|12056|da|0|la
126|12450|di|0|la
127|12450|di|1|la
130|28301|di|1|fw
131|28301|di|1|fw
132|80226|mf|1|fw
133|80226|mf|1|fw
134|28301|di|1|fw
135|28301|mf|1|fw
139|14664|di|1|fw
140|14664|di|1|la
146|19523|di|1|la
147|19523|mf|1|la
152|37352|mf|1|la
153|37352|mf|1|la
153|28111|mf|1|la
154|28111|mf|1|la
156|19523|mf|1|la
157|19523|mf|1|la
158|28111|mf|1|la
159|28111|mf|1|la
162|48353|mf|0|fw
162|28301|mf|0|la
165|28301|mf|1|la
168|6994|di|0|fw
168|37352|oi|0|la
169|37352|oi|1|la
171|28301|oa|0|la
173|28301|oa|0|fw
173|28130|da|0|la
189|48332|da|0|la
190|66806|da|0|la
191|66806|da|1|la
199|39476|da|1|la
200|39476|di|1|la
203|66806|di|1|la
204|66806|di|1|la
204|27375|di|1|fw
