_ts|player_id|place|ball|direc
0|50105|da|0|no
0|49195|da|0|no
1|42173|mf|1|la
6|148179|mf|0|fw
6|104475|mf|0|la
48|12631|mf|0|la
51|42173|oa|0|fw
52|34302|da|0|la
52|42173|oa|0|fw
55|34302|da|0|la
60|34302|da|1|la
61|50105|mf|1|la
62|50105|mf|1|la
64|104475|mf|1|la
66|98780|mf|1|fw
68|20695|mf|0|fw
68|50947|mf|1|fw
69|50947|mf|1|fw
72|42173|oi|1|fw
73|99336|di|0|fw
75|49195|oi|0|la
76|119572|di|0|fw
76|49195|oi|0|la
80|99336|di|0|fw
83|55209|di|0|fw
84|55209|di|1|fw
86|119572|di|1|fw
87|119572|di|1|fw
89|59794|mf|0|fw
89|12625|mf|0|la
91|83409|mf|0|la
92|49195|mf|1|la
93|12631|mf|1|la
93|49195|mf|1|la
94|12631|mf|1|la
97|59794|da|0|no
97|49195|mf|1|la
98|99332|mf|0|fw
99|99332|mf|1|fw
100|99336|mf|1|fw
101|99336|mf|1|fw
105|55209|mf|1|fw
106|55209|mf|1|fw
109|119572|mf|1|fw
110|119572|mf|1|fw
111|34291|di|1|la
112|34291|di|1|la
114|34285|di|1|la
117|98780|mf|0|fw
119|81918|mf|1|la
123|98780|mf|0|fw
124|98780|mf|1|fw
127|42173|mf|1|fw
129|104475|mf|0|la
131|81918|mf|1|la
134|58966|da|0|la
137|58966|da|0|la
142|12631|mf|0|la
143|12631|mf|1|la
145|98783|di|1|la
146|98783|di|1|la
148|58966|da|1|la
149|58966|da|1|la
151|12625|di|1|la
152|12625|di|1|la
155|50947|di|1|fw
158|34291|di|0|la
158|148179|oi|0|fw
159|34291|di|1|la
159|148179|da|0|no
161|81918|da|1|la
164|83409|mf|1|fw
166|119572|di|0|la
167|119572|di|1|la
174|55209|mf|1|fw
177|55209|oi|0|fw
177|83409|di|0|la
192|12631|di|0|la
194|49195|di|0|la
195|49195|di|1|la
196|12631|di|1|la
197|12631|di|1|la
199|98783|da|1|la
200|34291|mf|1|fw
202|50105|mf|0|fw
204|83409|mf|0|la
204|50105|mf|0|fw
204|12625|di|1|la
207|50947|di|0|la
208|50947|di|1|la
209|58966|da|1|la
212|34291|mf|0|fw
212|148179|mf|0|la
217|42173|oi|1|fw
219|49195|oa|0|fw
220|34285|da|0|la
225|104475|di|0|la
227|104475|di|1|la
228|50105|mf|1|la
229|50105|mf|1|la
231|81918|di|1|la
232|81918|di|1|la
242|59794|oa|0|fw
246|58966|da|0|la
248|98780|da|0|la
249|98780|da|1|la
251|20695|di|1|fw
253|34291|mf|0|la
255|119572|mf|1|fw
257|50947|mf|0|la
258|119572|mf|0|fw
258|50947|mf|0|la
270|99336|mf|0|fw
271|119572|mf|1|fw
272|50947|mf|0|la
273|119572|di|0|fw
273|50947|oi|0|la
289|99336|mf|0|fw
292|99332|mf|1|fw
297|12625|di|0|la
300|50947|mf|1|la
302|34291|mf|0|fw
302|148179|mf|0|la
331|34285|mf|0|fw
332|34291|mf|0|fw
333|34291|mf|1|fw
336|59794|oa|0|fw
336|12625|da|0|la
338|98783|da|0|la
340|104475|oi|0|fw
340|20695|di|0|la
341|83409|di|0|la
341|20695|di|1|la
341|59794|oi|0|fw
342|83409|di|1|la
342|59794|oi|0|fw
343|55209|oi|0|fw
343|58966|da|0|la
350|58966|da|0|la
360|58966|da|1|la
366|34285|di|0|la
366|42173|oi|0|fw
369|119572|di|0|la
372|55209|di|0|la
372|50947|oi|0|fw
375|34291|di|0|la
375|148179|oi|0|fw
377|34291|da|0|no
455|81918|da|0|la
455|50947|oi|0|fw
456|12631|oi|0|fw
461|12631|oa|0|fw
