_ts|player_id|place|ball|direc
0|52156|da|0|no
0|50105|da|0|no
1|59794|mf|1|fw
3|99332|mf|0|la
3|40772|mf|0|fw
4|40772|mf|1|fw
5|52156|mf|0|la
6|34296|mf|0|la
6|81048|mf|0|fw
6|52156|mf|1|la
10|34296|mf|1|la
13|50105|mf|1|la
14|50105|mf|1|la
16|34285|di|1|la
17|34285|di|1|la
20|104475|di|1|la
21|104475|di|1|la
23|99336|mf|1|fw
24|99336|mf|1|fw
24|104475|mf|1|fw
25|99336|mf|1|fw
25|104475|mf|1|fw
26|99336|mf|1|fw
28|34291|di|1|fw
29|81048|oi|0|la
30|34291|di|0|fw
30|81048|oi|0|la
36|99336|di|0|fw
36|104475|di|0|fw
37|104475|di|1|fw
44|34285|da|1|la
45|34285|di|1|la
48|99334|mf|1|la
49|99334|mf|1|la
50|34296|mf|1|la
51|68312|mf|0|fw
53|104475|di|1|la
53|59794|mf|1|fw
54|59794|mf|1|fw
55|99336|mf|1|fw
56|99336|mf|1|fw
59|55209|mf|1|fw
60|55209|mf|1|fw
60|104475|mf|1|fw
61|104475|mf|1|fw
61|59794|mf|1|fw
62|55209|mf|1|fw
62|59794|mf|1|fw
63|55209|mf|1|fw
66|104475|mf|1|fw
67|104475|mf|1|fw
69|55209|oi|1|fw
70|55209|oi|1|fw
75|99334|oi|1|la
76|99334|oi|1|la
76|50105|mf|1|la
77|50105|mf|1|la
78|34296|mf|1|la
79|34296|mf|1|la
83|34285|mf|1|la
87|69305|di|1|la
91|34285|mf|0|la
91|84450|mf|0|fw
95|99334|mf|0|la
96|34285|mf|0|la
97|34285|mf|1|la
100|34291|di|1|la
101|34291|di|1|la
103|99336|mf|1|fw
104|99336|mf|1|fw
108|55209|mf|1|fw
109|55209|mf|1|fw
110|34291|di|1|fw
111|34291|di|1|fw
114|34302|da|1|la
115|34302|da|1|la
118|34285|di|1|la
119|34285|di|1|la
122|34296|mf|0|la
122|21123|mf|0|fw
123|34296|mf|0|fw
125|34291|di|0|la
125|81048|oi|0|fw
126|81048|oi|0|fw
130|68312|oa|0|fw
130|81048|oa|0|fw
131|68312|oa|0|fw
131|34302|da|0|la
133|34291|da|0|la
133|84450|oa|0|fw
136|21123|da|0|no
138|34296|da|0|la
138|52156|oa|0|fw
173|34302|da|0|la
176|99332|oi|0|fw
176|119471|di|0|la
177|119471|di|1|la
180|27335|di|0|fw
181|99332|mf|0|la
181|27335|mf|0|fw
203|99334|mf|0|la
205|40772|di|0|fw
206|40772|di|1|fw
207|34296|oi|0|la
209|34296|oa|0|fw
209|40772|da|0|la
242|11973|da|0|la
246|34296|mf|0|fw
246|81048|mf|0|la
247|81048|mf|1|la
248|99336|di|0|fw
249|99336|mf|1|fw
252|119471|di|1|la
254|21123|da|0|no
