_ts|player_id|place|ball|direc
0|49013|da|0|no
0|18427|da|0|no
0|37036|mf|1|fw
1|41071|mf|1|la
2|41071|mf|1|la
2|183059|di|1|la
3|183059|di|1|la
8|37197|di|1|la
11|13262|da|0|la
15|13262|da|0|la
20|112991|da|0|la
21|112991|di|1|fw
25|28495|mf|1|la
26|28495|mf|1|la
27|149959|mf|1|la
28|149959|mf|1|la
30|149879|mf|1|la
31|149879|mf|1|la
32|149959|mf|1|la
33|149959|mf|1|la
34|28495|di|1|la
35|28495|di|1|la
37|116120|mf|1|la
38|116120|mf|1|fw
41|18427|mf|0|la
41|49507|mf|0|fw
62|49507|mf|0|fw
63|28495|mf|1|la
66|37197|di|0|la
67|49507|oi|1|fw
69|36803|di|0|la
71|36803|di|1|la
74|49529|di|0|la
74|125945|oi|0|fw
75|49529|da|0|no
75|125945|oi|1|fw
76|36803|di|0|la
76|85388|oi|0|fw
77|36803|da|0|no
77|85388|oi|1|fw
80|90714|oi|0|fw
81|90714|oi|1|fw
82|49507|mf|1|fw
83|49507|mf|1|fw
88|149959|mf|1|la
89|149959|mf|1|fw
90|49507|mf|1|fw
91|49507|mf|1|fw
94|85388|oi|0|fw
95|37197|di|0|la
97|37197|di|1|la
99|37036|di|1|la
101|116120|mf|1|fw
103|28495|mf|1|fw
105|37036|mf|0|fw
105|28495|mf|0|la
116|155084|mf|0|fw
121|41071|oi|1|fw
123|112991|da|1|la
128|183059|di|0|fw
129|183059|mf|0|fw
129|112991|mf|0|la
136|149879|mf|0|la
138|149959|mf|0|la
139|149959|mf|1|la
141|116120|mf|1|la
142|116120|mf|1|la
142|125945|mf|1|la
143|116120|mf|1|la
143|125945|mf|1|la
144|116120|mf|1|fw
146|49507|mf|1|fw
147|49507|mf|1|fw
148|116120|mf|1|fw
149|116120|mf|1|fw
153|112991|mf|1|fw
158|155084|di|1|fw
160|28495|oi|1|la
162|49013|oi|1|fw
163|49013|oa|0|fw
163|111674|da|0|la
166|111674|da|0|la
181|111674|da|1|la
183|41071|mf|0|fw
183|149879|mf|0|la
184|149879|mf|0|la
185|155084|mf|1|fw
186|149959|mf|0|la
186|155072|mf|0|fw
