_ts|player_id|place|ball|direc
0|20113|da|0|no
0|28392|da|0|no
1|20113|mf|1|la
1|42493|mf|1|fw
2|20113|mf|1|la
2|10625|mf|1|la
3|10625|mf|1|la
3|7313|mf|1|la
4|7313|mf|1|la
5|10625|mf|1|la
6|10625|mf|1|la
8|17172|di|1|la
9|17172|di|1|la
13|18102|di|1|la
14|18102|di|1|la
16|4126|da|1|la
17|4126|da|1|la
19|10625|di|1|la
20|10625|di|1|la
20|7313|mf|1|la
21|7313|mf|1|la
24|10625|di|1|la
25|10625|mf|1|la
26|11527|mf|1|fw
27|11527|mf|1|fw
29|77760|mf|0|fw
29|7313|mf|0|la
46|99128|di|0|la
46|34352|mf|0|la
47|34352|mf|1|la
50|34355|mf|1|la
51|34355|mf|1|la
53|102683|mf|1|la
54|102683|mf|1|la
56|34355|mf|1|la
57|34355|mf|1|la
58|105021|di|1|la
59|105021|di|1|la
63|99128|di|1|fw
64|99128|mf|1|fw
67|99127|mf|1|fw
69|20113|mf|0|la
74|37084|mf|1|fw
76|102683|mf|1|la
77|102683|mf|1|la
80|34355|mf|1|la
81|34355|mf|1|la
83|28392|mf|1|la
84|102683|mf|1|la
84|28392|mf|1|la
85|102683|mf|1|la
87|28392|mf|1|la
88|102683|mf|1|la
88|28392|mf|1|la
89|102683|mf|1|la
89|37084|mf|1|la
90|37084|mf|1|la
92|28392|mf|1|la
93|4126|da|0|la
93|28392|oi|0|fw
98|4126|da|0|la
100|4126|da|0|la
101|10625|di|0|la
102|10625|di|1|la
102|7313|mf|1|la
103|7313|mf|1|la
104|11527|mf|1|la
105|11527|mf|1|la
107|18102|di|1|la
108|40002|mf|1|la
108|18102|di|1|la
109|40002|mf|1|la
111|18102|di|1|la
112|18102|di|1|la
118|4126|da|1|la
119|4126|da|1|la
120|17172|da|1|la
121|17172|da|1|la
128|4126|di|1|la
132|105021|di|1|la
133|34352|di|0|la
136|11527|mf|0|fw
137|61960|mf|1|la
139|34355|mf|0|la
141|34355|mf|1|la
142|45156|mf|0|fw
143|34355|mf|0|la
143|45156|mf|0|fw
152|34355|mf|0|la
154|34352|di|0|la
155|34352|di|1|la
166|99128|da|1|la
167|99128|mf|1|fw
168|77760|mf|1|fw
169|77760|mf|1|fw
169|37084|mf|1|fw
170|37084|mf|1|fw
171|99128|di|1|fw
173|7313|mf|0|la
175|102683|di|1|la
175|61960|di|1|fw
176|102683|mf|1|fw
177|34352|di|1|la
181|18102|mf|0|la
183|34352|mf|0|fw
183|18102|mf|0|la
197|77760|mf|0|fw
199|99128|mf|0|fw
200|99128|mf|1|fw
203|34355|mf|0|la
204|45156|mf|0|fw
205|34355|mf|0|la
205|45156|mf|0|fw
208|45156|oi|1|fw
210|105021|di|0|la
210|42493|oi|0|fw
211|102683|di|0|la
212|102683|di|1|la
215|34355|di|1|la
216|34355|mf|1|la
216|28392|mf|1|la
217|28392|mf|1|la
222|77760|mf|1|fw
225|11527|mf|0|la
231|37084|mf|1|la
232|28392|mf|1|fw
233|28392|mf|1|fw
235|37084|mf|1|la
236|37084|mf|1|la
238|61960|mf|1|fw
239|61960|mf|1|fw
239|77760|mf|1|fw
240|77760|mf|1|fw
241|61960|mf|1|fw
242|61960|mf|1|fw
244|37084|mf|1|fw
245|37084|mf|1|fw
247|11527|da|0|no
248|61960|mf|1|fw
249|99128|di|1|fw
250|99128|di|1|fw
251|34352|di|1|la
252|34352|di|1|la
253|34355|mf|1|la
254|34355|mf|1|la
254|34352|di|1|la
255|34352|di|1|la
261|34355|mf|0|la
261|18547|mf|0|fw
274|34355|mf|0|la
276|102683|mf|0|la
277|105021|di|1|la
277|102683|mf|1|la
278|105021|di|1|la
280|61960|mf|1|la
281|61960|mf|1|fw
284|99128|mf|1|fw
285|99128|mf|1|fw
286|61960|mf|1|fw
287|61960|mf|1|fw
288|37084|mf|1|fw
289|37084|mf|1|fw
292|102683|mf|1|la
293|102683|mf|1|la
295|28392|mf|1|la
296|28392|mf|1|la
297|102683|mf|1|la
298|102683|mf|1|la
299|37084|mf|1|la
300|37084|mf|1|la
302|28392|mf|1|la
304|20113|mf|0|la
306|99128|mf|0|fw
306|20113|mf|0|la
344|40002|mf|0|la
344|7313|mf|0|la
345|7313|mf|1|la
346|11527|mf|0|la
346|61960|mf|0|fw
347|37084|mf|0|fw
348|37084|mf|1|fw
352|28392|oi|0|fw
352|18547|di|0|la
353|28392|oi|1|fw
354|102683|oa|1|fw
355|102683|oa|0|fw
355|17172|da|0|la
357|102683|oa|0|fw
357|17172|da|0|la
410|28392|oa|0|fw
411|18547|da|0|la
411|61960|oa|0|fw
412|61960|oa|0|fw
413|4126|da|0|la
414|99128|oa|0|fw
414|4126|da|0|la
438|4126|da|0|la
440|40002|mf|1|la
443|40002|oi|0|la
443|61960|di|0|fw
454|77760|mf|0|fw
457|40002|mf|0|la
457|37084|mf|0|fw
465|10625|mf|0|la
465|18102|mf|0|la
466|11527|mf|1|la
466|10625|mf|1|la
467|11527|mf|1|la
467|10625|mf|1|la
468|10625|mf|1|la
468|45156|mf|1|fw
469|45156|mf|1|fw
471|17172|di|1|la
472|17172|di|1|la
473|18102|di|1|la
474|18102|di|1|la
475|40002|mf|1|la
476|40002|mf|1|la
477|20113|oi|1|la
478|20113|oi|1|la
481|105021|da|0|la
481|40002|oa|0|fw
482|105021|da|0|la
482|40002|oa|0|fw
504|7313|oa|0|fw
506|17172|oa|1|fw
508|99128|da|0|la
508|42493|oa|0|fw
529|28411|da|0|la
534|99128|di|0|fw
535|99128|mf|1|fw
537|102683|mf|1|fw
544|102683|oa|0|fw
544|4126|da|0|la
564|4126|da|0|la
