_ts|player_id|place|ball|direc
0|33668|da|0|no
0|7313|da|0|no
1|59046|mf|1|fw
1|42493|mf|1|la
2|59046|mf|1|la
3|7313|mf|1|la
4|7313|mf|1|la
5|18102|di|1|la
6|18102|di|1|la
7|28277|di|1|la
8|28277|di|1|la
9|18102|di|1|la
10|18102|mf|1|la
14|20113|mf|1|la
15|151883|di|0|fw
17|107013|oi|0|la
17|59351|di|0|fw
24|42493|oi|1|la
25|107013|oi|0|la
26|48863|di|1|fw
27|18102|mf|1|la
32|59351|di|0|fw
32|42493|oi|0|la
46|151883|di|0|fw
50|55407|di|0|la
51|55407|mf|1|la
52|33668|oi|1|la
54|28277|di|0|fw
54|61170|mf|1|fw
55|61170|mf|1|fw
58|59046|mf|0|fw
58|55407|mf|0|la
59|59046|mf|0|fw
60|40002|mf|0|fw
60|55407|mf|0|la
66|55407|mf|0|la
71|48863|di|0|la
72|48863|di|1|la
73|151883|mf|1|fw
74|151883|mf|1|fw
79|77992|oi|0|fw
79|18102|di|0|la
82|40720|oi|1|fw
83|33668|oi|1|fw
84|33668|oi|1|fw
88|40002|di|0|fw
88|55407|oi|0|la
89|55407|oi|0|la
90|40002|di|0|fw
90|55407|oi|0|la
102|40002|di|0|fw
105|28277|di|0|la
106|28277|di|1|la
107|20113|mf|1|la
108|20113|mf|1|la
113|59351|di|0|la
113|42493|oi|0|fw
116|43693|di|0|la
117|4126|da|0|la
117|43693|mf|0|la
118|4126|da|0|la
133|4126|da|0|la
135|28277|di|0|la
137|32281|oi|0|la
137|28277|di|0|fw
172|55407|oi|0|la
174|17172|di|0|fw
176|17172|mf|1|fw
179|59046|oi|1|fw
182|33668|mf|0|la
182|61170|mf|0|fw
185|40720|mf|0|la
186|40002|mf|0|fw
186|40720|mf|0|la
197|43693|mf|0|la
198|32281|di|0|la
199|32281|di|1|la
201|7313|mf|0|fw
202|43693|mf|1|la
202|7313|mf|0|fw
207|33668|mf|0|la
207|7313|mf|0|fw
223|7313|mf|0|fw
230|61170|mf|0|fw
231|61170|mf|1|fw
234|17172|mf|1|fw
235|17172|mf|1|fw
238|61170|mf|1|fw
239|61170|mf|1|fw
240|17172|mf|1|fw
241|17172|mf|1|fw
244|59046|oi|0|fw
244|43693|mf|0|la
245|59046|mf|1|fw
246|17172|mf|1|fw
250|151883|di|0|la
251|48863|di|1|fw
252|48863|di|1|fw
254|151883|di|1|la
258|18102|mf|0|la
262|107013|mf|1|la
262|18102|di|1|la
263|107013|mf|1|la
264|20113|mf|1|la
265|20113|mf|1|la
266|107013|mf|1|la
268|77992|mf|0|fw
272|39336|mf|0|fw
272|18102|mf|0|la
291|18102|mf|0|la
292|17172|mf|0|fw
293|17172|mf|1|fw
295|28277|mf|1|la
296|28277|mf|1|la
298|17172|mf|1|fw
299|17172|mf|1|fw
303|18102|mf|1|la
304|18102|mf|1|la
307|107013|oi|1|la
308|107013|oi|1|la
310|18102|mf|1|la
311|18102|mf|1|la
313|17172|mf|1|la
314|17172|mf|1|fw
316|40002|mf|1|fw
317|40002|mf|1|fw
322|17172|mf|0|fw
322|39336|da|0|no
323|17172|mf|0|fw
323|39336|mf|0|la
330|17172|da|0|no
366|43693|mf|0|la
368|40720|oi|1|la
