_ts|player_id|place|ball|direc
0|43274|da|0|no
0|83090|da|0|no
1|14664|mf|1|fw
1|37352|mf|1|fw
2|14664|mf|1|fw
2|28301|mf|1|la
3|28301|mf|1|la
8|57001|oi|0|fw
13|119504|di|0|fw
14|78412|mf|0|fw
15|78412|mf|1|fw
15|78409|di|1|fw
16|78409|di|1|fw
19|119504|mf|1|fw
20|119504|mf|1|fw
24|157996|di|1|la
25|157996|di|1|la
26|80447|di|1|la
27|80447|di|1|la
28|157996|di|1|la
29|157996|mf|1|fw
30|78409|mf|1|fw
31|78409|mf|1|fw
35|157996|mf|1|fw
38|80226|di|1|la
41|80226|da|0|la
41|157996|da|0|no
45|83090|oa|0|fw
46|49657|oa|0|fw
47|49657|oa|1|fw
52|52068|da|0|fw
52|83090|oa|0|la
53|83090|oa|0|la
54|49657|oa|0|la
54|52068|da|0|fw
60|80226|di|0|fw
64|37352|di|0|fw
65|49657|mf|0|la
65|37352|mf|0|fw
69|78407|mf|0|la
71|80447|di|0|la
72|80447|di|1|la
74|37121|mf|1|la
75|37121|mf|1|la
82|157996|mf|1|fw
83|157996|mf|1|fw
86|83090|oi|1|fw
88|12056|da|0|la
89|12056|da|0|la
93|80226|di|0|fw
94|80226|di|1|fw
97|37352|mf|0|fw
97|78407|mf|0|la
98|78407|mf|0|la
99|80226|di|0|fw
99|78407|oi|0|la
101|80226|di|0|fw
101|78407|oi|0|la
109|49657|mf|0|la
109|78407|mf|0|la
110|49657|mf|1|la
110|78407|mf|1|la
111|158206|oi|1|la
111|78407|mf|1|la
112|158206|oi|1|la
113|83090|oi|1|la
114|80226|di|0|fw
115|80226|di|0|fw
116|80226|di|1|fw
118|14664|di|1|fw
120|80447|mf|0|la
121|14664|mf|0|fw
121|80447|mf|0|la
128|80226|oi|0|fw
131|28301|mf|0|fw
132|28301|mf|1|fw
134|14516|mf|1|fw
135|14516|mf|1|fw
136|52068|mf|1|fw
137|52068|mf|1|la
139|19523|mf|1|la
140|19523|mf|1|la
142|52068|di|1|la
143|52068|di|1|la
144|14516|di|1|la
145|14516|di|1|la
147|19523|mf|1|la
148|19523|mf|1|la
150|28111|mf|1|la
151|28111|mf|1|la
153|19523|mf|1|la
154|19523|mf|1|la
157|28301|mf|1|la
158|28301|mf|1|fw
159|14664|mf|1|fw
160|14664|oi|1|fw
164|37352|oa|0|fw
165|78412|da|0|la
166|78412|da|0|la
166|37352|oa|0|fw
192|37352|oa|0|fw
194|49657|da|0|la
198|52068|oi|1|la
200|28111|mf|1|la
201|28111|mf|1|la
203|52068|mf|1|la
204|52068|mf|1|la
206|28301|mf|1|la
207|28301|mf|1|la
210|14516|mf|1|la
211|14516|mf|1|fw
214|52068|mf|1|la
215|52068|mf|1|la
216|19523|mf|1|la
217|19523|mf|1|la
223|14516|mf|1|la
224|19523|mf|1|la
224|14516|di|1|la
225|19523|mf|1|la
228|28301|mf|1|fw
229|28301|mf|1|fw
236|80226|oa|0|fw
237|83090|da|0|la
238|80226|oa|0|fw
238|83090|da|0|la
243|80226|oa|0|fw
247|28301|oi|0|fw
248|28301|oi|1|fw
250|52068|oi|0|fw
250|158206|di|0|la
253|52068|mf|1|fw
256|43274|oa|1|fw
257|43274|oa|1|fw
258|14664|oi|1|fw
259|14664|oi|1|fw
260|80226|oa|0|fw
266|80226|oa|0|la
266|78409|da|0|fw
281|78409|da|0|fw
283|78412|di|0|fw
283|28111|oi|0|la
284|28111|oi|1|la
285|119504|di|1|fw
286|78409|da|1|fw
287|37352|oi|0|la
289|37352|oi|0|la
289|78409|di|0|fw
292|78409|di|0|fw
296|49657|di|0|fw
296|52068|oi|0|la
297|49657|di|0|fw
297|37352|oi|0|la
309|157996|da|0|la
309|78409|di|0|fw
310|157996|da|1|la
311|80447|da|1|la
312|80447|da|1|la
316|37121|di|1|la
317|37121|mf|1|la
322|83090|oi|1|fw
323|37352|mf|0|la
325|37352|mf|1|la
330|43274|oi|1|fw
331|43274|oi|1|fw
332|57001|oa|1|fw
333|57001|oa|0|fw
333|157996|da|0|la
335|57001|oa|0|fw
335|157996|da|0|la
381|37352|oa|0|fw
383|78407|da|0|la
384|28301|oi|1|fw
391|37352|oa|1|fw
392|37352|oa|1|fw
393|43274|oa|1|fw
394|43274|oa|0|fw
394|37121|da|0|la
398|37352|oa|0|fw
398|83090|da|0|la
400|37352|oa|0|fw
400|83090|da|0|la
415|80226|oa|0|fw
417|37121|da|0|la
418|83090|da|0|la
419|14664|oi|0|fw
419|83090|di|0|la
421|14664|oa|0|fw
421|83090|da|0|la
438|78407|da|0|la
439|49657|di|1|la
440|37352|oi|0|fw
440|83090|di|0|la
441|37352|oi|1|fw
444|49657|di|1|la
444|28301|da|0|no
446|19523|mf|0|fw
447|158206|mf|0|la
449|14516|di|0|fw
455|12056|da|1|la
457|83090|mf|0|la
458|83090|mf|1|la
459|14516|di|1|fw
459|28301|di|1|fw
460|14516|di|1|fw
461|19523|di|1|la
462|19523|di|1|la
464|52068|di|1|la
465|52068|di|1|la
465|28111|mf|1|la
466|28111|mf|1|la
469|52068|di|1|la
470|52068|mf|1|la
472|19523|di|1|la
473|19523|di|1|la
474|14516|di|1|fw
475|14516|di|1|fw
478|14664|mf|1|la
479|14664|mf|1|la
482|28301|mf|1|la
483|52068|mf|1|la
483|28301|mf|1|la
484|52068|mf|1|la
484|14664|mf|1|la
485|14664|mf|1|la
487|52068|mf|1|la
488|52068|mf|1|la
490|28301|mf|1|la
491|28301|mf|1|la
494|14516|mf|1|fw
495|14516|mf|1|fw
497|80226|mf|1|fw
498|80226|mf|1|fw
500|28301|mf|1|fw
501|28301|mf|1|fw
502|19523|mf|1|la
503|19523|mf|1|la
510|52068|mf|1|la
511|52068|mf|1|la
515|80226|oi|0|fw
521|78409|da|0|fw
525|119504|di|1|fw
525|78409|da|1|fw
526|119504|di|1|fw
527|37121|di|1|fw
528|37121|di|1|fw
530|119504|di|1|fw
531|119504|mf|1|fw
536|80447|di|1|la
537|80447|mf|1|la
539|83090|mf|1|la
540|83090|mf|1|la
546|37121|mf|1|la
547|37121|mf|1|la
550|157996|mf|1|fw
551|157996|mf|1|fw
555|49657|mf|1|fw
556|49657|mf|1|fw
557|157996|mf|1|fw
558|157996|mf|1|fw
564|78412|oa|0|fw
564|28111|da|0|la
565|78412|oa|0|fw
566|78412|oa|0|fw
566|28111|da|0|la
597|12056|da|0|la
603|57001|mf|0|fw
603|37121|mf|0|la
604|37121|mf|1|la
605|119504|di|0|la
607|119504|mf|1|fw
609|78412|mf|1|fw
610|49657|mf|1|fw
610|78412|mf|1|fw
611|49657|mf|1|fw
613|119504|mf|1|fw
616|12056|da|0|la
617|12056|da|0|la
619|14516|di|0|la
620|14516|di|1|la
621|28301|mf|1|fw
622|28301|mf|1|fw
623|14516|di|1|la
624|14516|di|1|la
626|19523|di|1|la
627|19523|di|1|la
631|28111|mf|1|la
633|157996|di|1|fw
635|119504|mf|0|fw
637|119504|mf|1|fw
639|83090|mf|0|la
640|80226|mf|0|fw
641|80226|mf|1|fw
641|57001|mf|1|fw
642|57001|mf|1|fw
643|14664|mf|1|fw
644|14664|mf|1|fw
644|57001|oi|1|fw
645|57001|oi|1|fw
650|43274|oi|0|la
650|78412|di|0|fw
654|43274|oi|0|la
654|78412|di|0|fw
655|43274|oi|0|la
656|43274|oi|0|la
656|78412|di|0|fw
667|78409|di|0|fw
670|49657|di|0|fw
671|49657|di|1|fw
671|158206|mf|1|fw
672|158206|mf|1|fw
672|37121|di|1|fw
673|78412|mf|1|fw
673|37121|di|1|fw
674|78412|mf|1|fw
675|37121|mf|1|fw
676|19523|mf|1|la
676|14516|mf|0|la
677|19523|mf|1|la
677|28301|mf|1|la
678|28301|mf|1|la
682|14516|di|1|la
683|14516|di|1|la
686|52068|mf|1|la
687|52068|mf|1|la
689|14516|di|1|la
690|14516|di|1|fw
691|28301|mf|1|fw
692|28301|mf|1|fw
695|12056|da|1|la
696|12056|da|1|la
698|14516|di|1|fw
699|14516|di|1|fw
701|12056|da|1|la
702|12056|da|1|la
704|19523|di|1|la
705|19523|di|1|la
707|52068|di|1|la
708|52068|di|1|la
710|14516|di|1|fw
711|14516|di|1|fw
713|28301|mf|1|fw
714|28301|mf|1|fw
715|14664|mf|1|fw
716|14516|di|1|fw
716|14664|mf|1|fw
717|14516|di|1|fw
718|52068|di|1|la
719|52068|di|1|la
724|19523|mf|1|la
725|19523|mf|1|la
726|28301|mf|1|la
727|28301|mf|1|la
730|28111|mf|1|la
734|19739|da|0|la
736|19739|da|0|la
742|80447|da|0|la
743|80447|di|1|la
751|37121|di|1|la
752|83090|mf|1|la
752|37121|mf|1|la
753|83090|mf|1|la
755|37121|mf|1|la
756|37121|mf|1|la
759|78412|oi|1|fw
760|78412|oi|1|fw
761|49657|oi|1|fw
762|49657|oi|1|fw
763|78409|oi|1|fw
764|49657|oa|1|fw
764|78409|oi|1|fw
765|49657|oa|1|fw
765|78409|oi|1|fw
766|78409|oi|1|fw
769|119504|oi|1|fw
771|12056|da|0|la
782|12056|da|0|la
783|19523|di|0|la
784|19523|di|1|la
785|28301|di|1|la
786|28301|mf|1|la
790|14516|di|1|fw
791|14516|di|1|la
794|28301|mf|1|la
795|28301|mf|1|la
799|19523|mf|1|la
803|28111|oi|0|la
803|78409|di|0|fw
805|78412|da|0|no
809|78412|mf|0|fw
809|28301|mf|0|la
846|157996|mf|0|fw
848|80447|mf|0|la
849|80447|mf|1|la
852|157996|di|1|fw
853|157996|di|1|fw
856|119504|mf|1|fw
857|119504|mf|1|fw
859|157996|mf|1|fw
860|157996|mf|1|fw
863|83090|oi|1|la
864|83090|oi|1|la
867|78407|oa|0|fw
868|80226|da|0|la
869|80226|da|0|la
869|78407|oa|0|fw
904|49657|oa|0|fw
904|78412|oa|0|fw
905|78412|oa|1|fw
906|57001|da|0|no
906|83090|oa|0|fw
908|57001|da|0|la
910|78412|oa|0|la
910|57001|da|0|fw
927|78407|oa|0|la
927|83090|oa|0|fw
928|83090|oa|1|fw
929|78407|oa|1|la
930|78407|oa|1|la
931|49657|oa|0|fw
931|14664|da|0|la
933|49657|oa|0|fw
996|14664|mf|1|fw
996|57001|mf|1|fw
997|14664|mf|1|fw
1000|78412|mf|0|fw
1000|28111|mf|0|la
1004|19523|da|0|no
1010|52068|mf|0|la
1010|28111|mf|0|la
1011|52068|mf|1|la
1013|14664|mf|1|la
1014|14664|mf|1|la
1015|14516|mf|1|fw
1016|14516|mf|1|fw
1018|28301|mf|1|fw
1019|14664|mf|1|fw
1019|28301|mf|1|fw
1020|14664|mf|1|fw
1021|80226|mf|1|fw
1022|80226|mf|1|fw
1023|43274|oi|1|fw
1024|43274|mf|1|fw
1027|80226|mf|1|fw
1029|37121|di|0|la
1033|80226|oi|0|fw
1033|119504|di|0|la
1034|119504|di|0|la
1035|119504|di|1|la
1036|78407|da|1|la
1037|78407|di|1|la
1037|83090|di|1|la
1038|83090|di|1|la
1039|49657|di|1|la
1040|49657|di|1|la
1042|78409|di|1|fw
1045|80226|da|0|la
1045|78409|oa|0|fw
1076|28111|di|0|la
1082|57001|di|0|la
1082|78409|oi|0|fw
1108|49657|oi|0|fw
1108|78409|oi|0|fw
1109|78409|oi|1|fw
1109|37121|mf|1|fw
1110|37121|mf|1|fw
1112|80226|da|0|la
1112|80447|oa|0|fw
1113|80447|oa|1|fw
1114|28301|da|0|la
1117|83090|oi|1|fw
1123|157996|mf|1|la
1124|157996|mf|1|la
1125|19739|da|1|la
1126|19739|da|1|la
1127|14516|mf|0|la
1127|158206|mf|0|fw
1128|158206|mf|1|fw
1129|80226|di|1|fw
1130|158206|mf|1|fw
1132|80226|di|0|fw
1133|80226|di|1|fw
1133|158206|da|0|no
1133|83090|da|0|no
1136|12056|da|1|la
1137|12056|da|1|la
1140|28111|di|1|la
1141|28111|di|1|la
1143|19523|da|1|la
1144|19523|da|1|la
1145|80226|di|1|fw
1146|80226|di|1|fw
1150|43274|mf|0|fw
1150|78407|mf|0|la
