_ts|player_id|place|ball|direc
0|77064|da|0|no
0|19705|mf|1|fw
0|83090|da|0|no
1|49657|mf|1|fw
2|49657|mf|1|fw
5|78409|mf|1|fw
6|78409|mf|1|fw
8|80447|di|1|la
9|80447|di|1|la
12|35903|mf|1|la
13|66733|mf|0|fw
14|66733|mf|0|fw
16|66733|mf|0|fw
16|35903|mf|0|la
20|35903|mf|1|la
21|19705|oi|0|la
21|102383|di|0|fw
27|78407|oi|0|la
29|37121|mf|1|la
30|66733|di|0|fw
31|66733|di|1|fw
32|37121|mf|0|la
34|37121|mf|0|la
54|83675|mf|0|fw
57|57254|oi|0|fw
57|80447|di|0|la
61|80447|da|0|no
63|57254|oi|0|fw
63|80447|di|0|la
83|35903|di|0|la
86|37121|mf|1|la
92|83675|da|0|la
93|83675|da|1|la
97|80447|mf|0|la
99|77064|di|1|fw
101|149491|mf|1|fw
102|50369|mf|1|la
102|149491|mf|1|fw
103|50369|mf|1|la
104|126437|mf|1|la
105|126437|mf|1|la
106|77064|mf|1|la
107|77064|mf|1|la
108|50369|oi|1|la
109|50369|oi|1|la
112|66733|oi|1|la
113|66733|oa|1|fw
114|77064|oi|1|fw
115|77064|oi|1|fw
117|78412|di|0|la
117|126437|oi|0|fw
119|154983|da|0|la
119|126437|oa|1|fw
121|154983|da|0|la
127|48844|da|0|la
131|83675|di|1|la
132|83675|di|1|la
143|48844|da|1|la
148|77064|mf|0|la
148|80447|mf|0|fw
154|37399|mf|1|fw
159|35903|di|0|la
160|35903|di|1|la
164|50369|mf|0|la
165|50369|mf|1|la
166|126437|oi|1|la
167|126437|oi|1|la
170|57254|oa|1|fw
171|154983|da|0|la
171|57254|oa|1|fw
176|66733|oa|1|fw
177|66733|oa|1|fw
178|102383|oi|1|fw
179|102383|oi|1|fw
180|66733|oi|1|fw
181|66733|oi|1|fw
185|102383|oa|0|fw
187|35903|da|0|la
189|102383|oi|0|fw
189|80447|di|0|la
201|102383|oi|0|fw
204|77064|oa|0|fw
205|77064|oa|1|fw
206|102383|oi|1|fw
207|102383|oi|1|fw
210|126437|oi|1|fw
211|126437|oi|1|fw
212|77064|oi|1|fw
213|77064|oi|1|fw
216|66733|oi|1|fw
217|66733|oi|1|fw
218|126437|oi|1|fw
219|126437|oi|1|fw
222|66733|oi|1|fw
225|19739|da|0|la
225|66733|oa|0|fw
251|19739|da|0|la
256|50369|mf|1|la
258|77064|mf|0|la
258|80447|mf|0|fw
259|77064|mf|0|la
259|80447|mf|0|fw
277|50369|mf|0|la
280|57254|oa|0|la
281|80447|da|0|fw
282|80447|da|1|fw
284|154983|di|1|fw
289|102383|mf|1|fw
292|83675|di|0|la
293|83675|da|1|la
300|155552|da|1|la
302|154983|mf|1|fw
305|49657|mf|0|fw
305|149491|mf|0|la
315|154983|mf|0|fw
317|155552|di|1|la
320|50369|di|0|la
322|50369|di|1|la
324|35903|mf|0|fw
326|37121|mf|1|fw
327|154983|mf|1|fw
329|83675|di|0|la
334|37121|da|0|no
335|37399|di|0|la
335|37121|oi|0|fw
396|49657|oi|0|fw
396|37399|da|0|la
400|48844|da|0|la
402|48844|da|1|la
405|78409|di|0|fw
406|48844|oi|0|la
406|78409|di|0|fw
426|50369|oi|0|la
430|50369|oa|0|fw
430|78409|da|0|la
438|19739|da|0|la
440|80447|da|0|la
441|80447|da|1|la
444|37121|di|1|la
445|37121|di|1|la
447|35903|di|1|la
448|35903|mf|1|la
449|83090|mf|1|la
450|83090|mf|1|la
452|35903|di|1|la
453|35903|di|1|la
455|80447|di|1|la
456|80447|mf|1|la
458|78409|mf|1|fw
459|78409|mf|1|fw
460|49657|oi|1|fw
461|49657|oi|1|fw
462|154983|mf|1|fw
463|126437|mf|0|la
464|126437|mf|0|la
464|57254|mf|1|la
465|57254|mf|1|la
469|77064|mf|0|la
473|77064|mf|0|la
473|154983|mf|0|fw
474|77064|mf|0|la
474|154983|mf|0|fw
497|50369|mf|0|la
499|57254|oi|0|la
500|57254|mf|1|la
501|50369|mf|1|la
502|50369|mf|1|la
504|126437|oi|1|la
506|78409|da|1|fw
510|155552|mf|0|la
513|154983|mf|1|fw
515|37121|mf|1|fw
516|83090|mf|0|fw
517|49657|mf|1|fw
518|49657|mf|1|fw
520|35903|mf|1|la
521|35903|mf|1|la
523|37121|mf|1|la
524|37121|mf|1|la
528|19705|oa|1|fw
529|19705|oa|0|fw
533|149491|da|1|la
534|57254|mf|0|fw
534|80447|mf|0|la
535|80447|mf|1|la
538|35903|mf|0|la
540|35903|di|1|la
544|19739|da|1|la
545|19739|da|1|la
548|37121|di|1|la
549|37121|di|1|la
553|35903|di|1|la
554|35903|di|1|la
557|49657|mf|0|la
557|37399|mf|0|fw
559|49657|oi|1|fw
562|19705|oi|1|fw
563|19705|oi|0|fw
565|37399|da|0|la
565|19705|oa|0|fw
592|48844|da|0|la
597|37121|mf|0|la
600|83675|mf|1|la
602|126437|mf|1|la
603|78412|mf|0|fw
604|78412|mf|1|fw
605|78409|mf|1|fw
606|78409|mf|1|fw
609|154983|mf|1|fw
611|149491|di|0|la
613|154983|mf|0|fw
613|126437|mf|0|la
614|126437|mf|1|la
617|77064|mf|1|la
618|77064|mf|1|la
619|149491|mf|1|la
620|149491|mf|1|la
623|37399|mf|1|fw
628|37399|oa|0|fw
628|78407|da|0|la
631|78407|da|0|no
642|19739|da|0|la
643|80447|di|0|fw
644|80447|di|1|fw
646|50369|mf|0|la
646|78412|mf|0|fw
661|154983|mf|0|fw
663|80447|mf|0|la
664|80447|mf|1|la
665|35903|mf|1|la
666|35903|mf|1|la
668|19705|mf|1|la
669|19705|mf|1|la
671|83090|oi|0|la
672|149491|mf|0|fw
672|19705|oi|1|la
672|83090|oi|1|la
673|35903|mf|1|la
675|83675|di|0|fw
676|50369|di|0|la
677|50369|di|1|la
679|66733|mf|0|fw
679|35903|mf|0|la
693|78407|mf|0|la
694|83090|mf|0|la
695|83090|mf|1|la
697|37121|mf|1|la
700|83675|di|0|la
701|83675|di|0|la
701|37121|oi|0|fw
723|49657|oa|0|fw
728|83090|oa|0|fw
731|149491|da|0|la
735|154983|oi|0|fw
737|149491|da|0|la
739|37121|oi|1|fw
740|154983|oi|1|fw
741|154983|mf|1|fw
750|35903|mf|0|fw
752|149491|mf|0|fw
752|35903|mf|0|la
800|102383|mf|0|fw
803|83675|di|0|fw
806|19739|da|0|la
807|19739|da|0|la
809|80447|di|0|la
810|80447|di|1|la
816|35903|mf|1|la
818|37399|di|0|la
821|83090|mf|1|fw
822|49657|oa|1|fw
824|50369|da|0|la
828|149491|di|0|la
831|37121|oi|0|la
833|83090|oi|0|la
835|78409|oi|1|fw
836|83675|da|0|la
836|78409|oi|0|fw
838|83675|da|0|la
838|78409|oi|0|fw
845|49657|oa|0|fw
847|78407|oa|0|la
848|49657|oi|1|la
848|78407|oa|1|la
849|49657|oi|1|la
850|37121|oi|1|la
851|48844|da|0|la
851|37121|oi|0|fw
856|48844|da|0|la
857|48844|da|0|la
862|77064|mf|0|la
863|77064|mf|1|la
866|57254|oi|1|fw
867|37121|di|0|la
868|37121|di|0|fw
869|126437|mf|0|la
872|80447|mf|0|fw
