_ts|player_id|place|ball|direc
0|78412|da|0|no
0|10866|da|0|no
1|49657|mf|1|fw
1|158206|mf|1|fw
2|49657|mf|1|fw
3|37121|mf|1|la
4|37121|mf|1|la
5|78409|di|1|fw
6|78409|di|1|fw
9|80447|di|1|la
10|80447|di|1|la
12|35903|di|1|la
13|35903|di|1|la
17|80447|di|1|la
18|80447|di|1|la
21|35903|di|1|la
22|35903|mf|1|la
24|78407|oi|1|la
25|78407|oi|1|la
27|78412|oi|1|la
28|78412|oi|1|la
29|78407|oi|1|la
30|78412|oi|1|la
30|78407|oi|1|la
31|78412|oi|1|la
33|119504|mf|1|la
34|119504|mf|1|la
38|35903|mf|1|la
39|35903|mf|1|la
43|119504|mf|1|la
44|119504|mf|1|la
44|37121|mf|1|la
45|37121|mf|1|la
47|80447|mf|1|fw
51|48332|da|0|la
56|48332|da|1|la
63|39476|di|1|la
65|47434|oi|0|fw
65|119504|mf|1|la
65|80447|di|0|la
66|119504|mf|1|la
69|78407|di|1|la
71|27375|mf|1|fw
73|40868|mf|1|la
74|119504|mf|1|la
76|14503|mf|1|la
81|119504|mf|1|fw
87|19705|oa|0|fw
87|40868|da|0|la
88|19705|oa|1|fw
89|119504|oi|1|fw
90|66806|da|0|la
90|119504|oi|0|fw
91|119504|oa|0|fw
92|78937|di|1|la
93|48353|di|0|la
95|39471|di|0|la
95|37121|oi|0|fw
99|78412|mf|0|la
99|39471|mf|0|fw
131|14503|mf|0|fw
133|39476|mf|0|la
134|40868|mf|1|la
134|39476|mf|1|la
135|40868|mf|1|la
140|39471|oa|0|la
141|39471|oa|0|fw
141|119504|da|0|la
159|19739|da|0|la
161|35903|da|0|la
162|35903|da|1|la
164|119504|di|1|la
165|119504|di|1|la
166|35903|di|1|la
167|35903|di|1|la
169|80447|di|1|la
170|80447|di|1|fw
172|78409|di|1|fw
173|78409|di|1|fw
174|158206|mf|1|fw
175|158206|mf|1|fw
178|49657|mf|0|fw
178|14503|mf|0|la
192|37121|mf|0|fw
192|78409|mf|0|fw
193|78409|mf|1|fw
194|19705|oi|0|fw
194|40868|di|0|la
195|40868|di|0|la
196|40868|di|1|la
202|39471|di|0|la
202|37121|oi|0|fw
224|48332|di|0|la
228|78409|di|0|fw
228|10866|oi|0|la
229|10866|oi|1|fw
230|39471|oi|1|fw
231|39471|oi|1|fw
233|47434|oa|1|fw
234|47434|oa|0|fw
234|35903|da|0|la
241|19739|da|0|la
242|19739|da|0|la
247|37121|di|0|fw
248|37121|mf|1|fw
254|35903|mf|1|la
256|27375|di|0|fw
260|27375|di|1|fw
262|35903|mf|1|la
263|14503|mf|1|fw
267|39471|mf|0|la
268|78409|di|0|la
269|14503|mf|1|la
273|40868|oi|0|la
273|37121|di|0|fw
275|40868|oa|0|fw
276|78409|da|0|la
277|40868|oa|0|fw
277|78409|da|0|la
303|40868|oa|0|fw
306|37121|da|0|la
308|10866|oa|0|fw
310|119504|da|1|la
314|48353|mf|0|fw
314|158206|mf|0|la
317|78412|mf|1|la
320|48353|mf|0|fw
320|158206|mf|0|la
323|48353|mf|0|fw
328|27375|oa|0|fw
329|158206|da|0|la
329|27375|oa|0|fw
339|19739|da|0|la
341|80447|da|0|la
342|80447|da|1|la
344|35903|da|1|la
345|35903|da|1|la
350|37121|di|1|la
351|37121|mf|1|la
354|80447|mf|1|fw
355|80447|mf|1|fw
357|35903|di|1|la
358|35903|di|1|la
359|119504|mf|1|la
360|119504|mf|1|la
362|80447|mf|1|fw
364|66806|mf|0|la
365|119504|da|0|no
365|37121|mf|1|fw
366|37121|mf|1|fw
368|35903|mf|1|la
369|78412|oi|1|la
369|35903|mf|1|la
370|78412|oi|1|la
371|119504|mf|1|la
372|119504|mf|1|la
374|49657|oi|1|fw
376|66806|da|0|la
377|66806|da|1|la
381|78409|mf|0|fw
383|78409|mf|1|fw
385|19739|da|1|la
386|19739|da|1|la
388|80447|di|1|la
389|80447|di|1|la
393|37121|di|1|la
394|37121|mf|1|fw
398|78412|oa|0|fw
400|66806|da|0|no
401|66806|da|0|la
401|78412|oa|0|fw
432|48332|da|0|la
437|78409|mf|0|fw
437|10866|mf|0|la
446|37121|mf|0|fw
450|80447|di|0|fw
451|80447|di|1|fw
453|37121|mf|1|fw
454|37121|mf|1|fw
456|80447|mf|1|fw
457|80447|mf|1|fw
459|35903|mf|1|la
460|35903|mf|1|la
462|158206|oi|1|la
463|158206|oi|1|la
464|35903|mf|1|la
465|35903|mf|1|la
466|49657|mf|1|la
467|49657|mf|1|la
467|119504|mf|1|la
468|119504|mf|1|la
470|35903|mf|1|la
471|35903|mf|1|la
472|78407|oi|0|la
477|27375|da|1|fw
478|78937|di|0|fw
479|78937|di|1|fw
480|14503|di|1|fw
482|35903|mf|1|la
482|119504|mf|1|la
483|35903|mf|1|la
483|119504|mf|1|la
484|119504|mf|1|la
486|37121|mf|1|la
487|49657|oi|1|la
487|37121|mf|1|la
488|49657|oi|1|la
489|119504|mf|1|la
490|119504|mf|1|la
490|37121|mf|1|la
491|37121|mf|1|la
494|19705|oi|1|fw
495|19705|oi|1|fw
495|119504|mf|1|fw
496|119504|mf|1|fw
497|78409|mf|1|fw
498|78409|mf|1|fw
500|80447|mf|1|fw
501|80447|mf|1|la
503|49657|mf|1|la
504|49657|mf|1|la
506|19705|oi|1|la
507|19705|oi|1|la
509|158206|oi|1|fw
510|14503|mf|0|la
512|14503|mf|1|fw
515|78409|mf|0|fw
515|10866|mf|0|la
519|78409|mf|0|fw
522|78409|mf|0|fw
522|10866|mf|0|la
523|39471|mf|0|la
527|39471|mf|1|la
532|78937|mf|1|fw
533|78937|oi|1|fw
536|27375|mf|1|fw
537|27375|mf|1|fw
540|48353|mf|1|fw
550|19739|da|0|la
551|19739|da|1|la
555|80447|da|1|la
556|80447|da|1|la
557|37121|di|1|la
558|37121|di|1|la
561|119504|di|1|la
562|119504|mf|1|la
563|35903|mf|1|la
564|78412|mf|1|la
564|35903|mf|1|la
565|78412|mf|1|la
566|35903|mf|1|la
567|35903|mf|1|la
567|78407|mf|1|la
568|78407|mf|1|la
570|35903|mf|1|la
571|35903|mf|1|la
571|119504|mf|1|la
572|119504|mf|1|la
577|80447|di|1|la
578|80447|di|1|la
583|35903|di|1|la
584|78412|oi|1|la
584|35903|mf|1|la
585|78412|oi|1|la
587|119504|mf|1|la
588|119504|mf|1|la
591|35903|mf|1|la
592|27375|da|0|fw
594|78937|di|0|fw
595|48353|di|1|fw
595|78937|di|1|fw
596|48353|di|1|fw
596|78937|di|1|fw
597|78937|di|1|fw
602|39471|mf|1|fw
603|19739|da|0|la
603|39471|oi|0|fw
609|19739|da|0|la
623|19739|da|0|la
624|37121|mf|0|fw
625|37121|mf|1|fw
625|78409|mf|1|fw
626|37121|mf|1|fw
626|78409|mf|1|fw
627|37121|mf|1|fw
629|80447|di|1|la
630|80447|di|1|la
634|37121|mf|1|fw
636|40868|di|1|la
