_ts|player_id|place|ball|direc
0|42564|da|0|no
0|37064|da|0|no
1|53515|mf|1|la
1|40275|mf|1|la
2|53515|mf|1|fw
3|43106|mf|1|fw
4|43106|mf|1|fw
5|119772|di|1|fw
6|119772|mf|1|fw
8|49656|mf|1|la
9|49656|mf|1|la
18|33360|mf|1|fw
22|40560|di|0|la
27|21091|di|1|la
27|27671|di|0|la
28|21091|di|1|la
31|56069|mf|1|la
32|56069|mf|1|la
34|28146|di|1|la
36|6685|mf|0|fw
37|28146|mf|0|la
37|6685|mf|0|fw
47|28146|mf|0|la
50|40560|di|0|la
51|40560|di|1|la
53|10995|da|1|la
54|10995|da|1|la
58|40560|di|1|la
59|40560|di|1|la
63|28146|di|1|la
65|42564|mf|0|la
65|43106|mf|0|fw
66|43106|di|1|fw
70|119772|mf|0|fw
70|56069|mf|0|la
82|33360|mf|0|fw
82|119772|mf|0|fw
83|119772|mf|1|fw
85|49656|mf|1|la
86|49656|mf|1|la
87|73698|mf|1|la
88|73698|mf|1|la
89|49656|mf|1|la
90|49656|mf|1|la
92|119772|mf|1|la
93|33360|mf|1|fw
93|119772|mf|1|la
94|33360|mf|1|fw
97|119772|mf|1|la
98|119772|mf|1|fw
100|102578|mf|1|fw
101|102578|mf|1|fw
103|33360|mf|1|fw
104|33360|mf|1|fw
104|43106|oi|1|fw
105|43106|oi|1|fw
106|102578|mf|1|fw
107|28146|da|0|la
110|28146|da|1|la
113|33360|mf|1|fw
115|27671|mf|0|la
116|27671|di|1|la
118|21091|di|1|la
119|21091|di|1|la
121|33360|mf|0|fw
121|42564|mf|0|la
122|33360|mf|0|fw
122|42564|mf|0|la
133|28146|mf|0|la
137|33360|mf|1|fw
138|27671|mf|1|la
141|184719|mf|1|fw
145|73698|di|0|la
146|73698|di|1|la
149|49656|di|1|la
150|49656|mf|1|la
151|119772|mf|1|la
152|119772|mf|1|la
156|49656|mf|1|la
157|49656|mf|1|la
160|73698|oa|1|la
161|73698|oa|0|la
167|102578|oi|0|fw
168|102578|oi|1|fw
171|43106|oa|1|fw
172|43106|oi|1|fw
173|102578|oi|1|fw
