_ts|player_id|place|ball|direc
0|19054|mf|1|fw
0|40232|mf|1|fw
0|8533|da|0|no
0|45154|da|0|no
1|32644|mf|1|la
1|19054|mf|1|fw
2|32644|mf|1|la
4|58893|di|1|la
5|58893|di|1|la
6|32644|di|1|la
7|32644|di|1|la
11|15312|di|1|la
12|15312|mf|1|fw
13|55661|mf|1|fw
14|55661|mf|1|fw
16|20658|mf|1|fw
20|72162|da|0|no
27|72162|da|0|la
30|85352|da|0|la
31|85352|di|1|la
34|78140|da|1|la
35|78140|da|1|la
40|15076|di|1|fw
41|15076|mf|1|fw
42|58877|mf|1|la
43|58877|mf|1|la
44|15403|mf|1|la
45|58877|mf|1|la
45|15403|mf|1|la
46|58877|mf|1|la
49|85352|mf|1|la
50|85352|di|1|la
51|15076|mf|1|la
52|15076|mf|1|la
54|21095|di|1|la
55|21095|di|1|la
57|4719|mf|1|fw
58|4719|mf|1|fw
59|78140|mf|1|fw
60|78140|mf|1|fw
63|21095|di|1|la
64|21095|di|1|la
67|85352|mf|1|la
68|85352|mf|1|la
72|4719|oi|1|fw
74|32644|di|1|la
74|15312|di|1|la
75|32644|di|1|la
76|28525|di|0|la
77|58893|di|1|la
78|58893|di|1|la
83|78140|mf|0|fw
83|45154|mf|0|la
85|41733|mf|0|fw
87|41733|mf|1|fw
88|15403|mf|1|fw
89|15403|mf|1|fw
90|78140|mf|1|fw
91|78140|mf|1|fw
93|4719|mf|1|fw
95|58893|di|0|la
98|58893|di|1|la
100|40232|mf|1|la
101|40232|mf|1|la
106|55661|mf|1|fw
107|55661|mf|1|fw
108|20658|mf|1|fw
109|20658|mf|1|fw
110|39462|mf|1|fw
111|39462|mf|1|fw
116|15312|mf|1|fw
117|15312|mf|1|fw
121|28525|mf|1|la
122|28525|mf|1|la
123|32644|di|1|la
124|32644|di|1|la
130|58877|di|0|la
130|55661|oi|0|fw
131|55661|oi|1|fw
132|78140|di|0|la
133|15076|di|1|la
134|58877|di|0|la
135|58877|di|1|la
138|15403|mf|1|la
139|15403|mf|1|fw
142|4719|mf|1|fw
143|4719|oi|1|fw
145|8533|mf|1|fw
146|8533|oi|1|fw
148|41733|oi|1|fw
149|41733|oi|1|fw
151|4719|oa|1|fw
153|58893|da|0|la
153|4719|oa|0|fw
165|28525|da|0|la
165|42899|da|0|la
166|28525|da|1|la
167|32644|di|1|la
168|32644|di|1|la
170|15312|di|1|la
171|15312|di|1|fw
173|20658|mf|1|fw
174|20658|mf|1|fw
178|15312|mf|1|fw
179|15312|mf|1|fw
182|28525|di|1|la
183|28525|di|1|la
185|32644|di|1|la
186|32644|di|1|la
188|20658|mf|1|fw
189|20658|mf|1|fw
194|40232|mf|1|fw
195|40232|mf|1|fw
205|15312|di|1|fw
206|15312|mf|1|la
208|58893|mf|1|la
209|58893|mf|1|la
211|28525|mf|1|la
212|28525|di|1|la
213|32644|mf|1|la
214|32644|mf|1|la
218|55661|mf|1|fw
219|20658|mf|1|fw
219|55661|mf|1|fw
220|32644|mf|1|fw
220|20658|mf|1|fw
221|32644|mf|1|fw
225|55661|mf|1|fw
226|55661|mf|1|fw
228|20658|mf|1|fw
229|20658|mf|1|fw
235|15312|di|1|la
236|15312|mf|1|la
239|39462|mf|1|la
240|39462|mf|1|la
242|28525|di|1|la
243|28525|di|1|la
246|20658|mf|1|fw
247|20658|mf|1|fw
252|40232|oi|1|fw
253|40232|oi|1|fw
254|55661|oi|1|fw
255|55661|oi|1|fw
258|40232|oi|1|fw
259|40232|oi|1|fw
261|55661|oi|0|fw
261|85352|di|0|la
263|21095|da|0|la
264|21095|da|1|la
265|15312|mf|0|fw
266|32644|mf|1|fw
266|15312|mf|1|fw
267|32644|mf|1|fw
272|15312|mf|1|fw
273|15312|di|1|fw
276|58877|mf|0|la
276|42899|da|0|la
280|58877|da|0|no
281|58877|da|0|no
291|15076|mf|0|la
292|58877|mf|0|la
292|15076|mf|1|la
293|78140|mf|1|fw
294|78140|mf|1|fw
296|41733|mf|1|fw
297|41733|mf|1|fw
297|15076|mf|1|fw
298|21095|mf|1|la
298|15076|mf|1|fw
299|21095|mf|1|la
301|85352|mf|1|la
302|85352|mf|1|la
305|15403|oi|1|fw
306|20658|di|0|la
310|8533|oa|0|fw
311|20658|da|0|la
312|55661|da|0|la
316|39462|da|1|fw
317|58877|oi|0|la
318|58877|oa|0|la
318|39462|da|0|fw
335|20658|di|0|fw
336|39462|di|0|fw
337|39462|di|1|fw
338|20658|di|1|fw
343|78140|di|0|la
344|78140|di|1|la
344|85352|mf|1|la
345|85352|mf|1|la
349|78140|di|1|la
350|78140|di|1|la
355|28525|di|0|la
355|4719|mf|0|fw
363|28525|da|0|la
366|58893|di|0|la
367|58893|di|1|la
367|45154|di|1|la
368|45154|di|1|la
369|58893|di|1|la
370|58893|di|1|la
370|4719|oi|0|fw
374|4719|oi|0|fw
374|45154|di|0|la
375|4719|mf|0|fw
377|78140|mf|1|fw
378|78140|mf|1|fw
378|21095|di|1|la
379|21095|di|1|la
386|85352|mf|1|la
387|85352|mf|1|la
388|21095|di|1|la
389|21095|di|1|la
392|78140|mf|1|fw
393|78140|mf|1|fw
