_ts|player_id|place|ball|direc
0|39187|da|0|no
0|105835|da|0|no
1|105835|mf|1|la
2|37265|mf|1|fw
3|37265|mf|1|fw
3|118749|mf|1|la
4|118749|mf|1|la
6|100981|di|1|fw
7|100981|di|1|fw
10|48853|di|1|la
11|48853|di|1|la
14|37269|di|1|la
15|37269|di|1|la
19|48853|di|1|la
20|48853|mf|1|fw
24|100981|mf|1|fw
26|72162|da|0|la
30|72162|da|0|la
31|58877|di|0|la
32|58877|di|1|la
36|21095|da|1|la
37|21095|di|1|la
38|78140|di|1|fw
39|78140|di|1|fw
42|8533|mf|1|fw
44|37269|mf|0|la
48|39187|mf|0|fw
48|118749|mf|0|la
49|39187|mf|0|la
50|39187|mf|1|la
51|15403|mf|1|la
52|15403|mf|1|la
53|4719|mf|1|la
54|4719|mf|1|la
56|15076|mf|1|la
57|15076|mf|1|la
62|58877|di|1|la
63|58877|di|1|la
67|72162|da|1|la
72|72162|di|0|fw
72|83531|oi|0|la
78|122779|mf|0|la
83|37265|oi|1|la
84|52940|di|0|fw
86|118749|mf|1|la
88|37269|mf|1|la
95|58877|di|0|la
97|4719|mf|1|la
99|100981|mf|1|fw
101|48853|mf|0|fw
102|39187|mf|0|la
102|48853|mf|0|fw
117|48853|mf|0|fw
117|100981|mf|0|fw
118|100981|mf|1|fw
122|48853|di|1|fw
123|48853|mf|1|fw
128|100981|mf|1|fw
129|100981|mf|1|fw
133|48853|mf|1|fw
134|48853|mf|1|fw
137|100981|mf|1|fw
138|100981|mf|1|fw
139|105835|mf|1|fw
140|105835|mf|1|fw
140|100981|mf|1|fw
141|100981|mf|1|fw
143|48853|mf|1|fw
144|48853|mf|1|fw
146|118749|mf|1|la
147|37269|mf|1|la
147|118749|mf|1|la
148|37269|mf|1|la
153|37265|mf|0|la
153|15076|mf|0|fw
155|122779|mf|1|la
159|48853|di|1|la
160|48853|di|1|la
163|100981|mf|1|fw
164|48852|mf|1|fw
164|100981|di|1|fw
165|48852|mf|1|fw
166|100981|di|1|fw
167|100981|mf|1|fw
171|48853|di|1|la
172|48853|di|1|la
179|37265|oi|1|fw
180|4719|da|0|la
182|37265|oi|1|fw
183|48852|oi|1|fw
184|4719|da|0|la
185|37265|oi|0|fw
186|48852|oa|0|fw
186|4719|da|0|la
216|4719|da|0|la
224|48853|mf|0|fw
224|8533|mf|0|la
244|33148|di|0|la
244|100981|mf|0|fw
245|33148|di|1|la
246|48853|di|1|la
247|48853|di|1|la
248|83725|mf|1|fw
249|83725|mf|1|fw
251|48853|di|1|la
252|48853|mf|1|fw
255|100981|mf|1|fw
256|100981|mf|1|fw
258|37265|oi|1|fw
260|21095|di|0|la
262|37265|mf|0|fw
262|21095|mf|0|la
267|48852|mf|0|fw
269|37265|oi|0|fw
270|37265|mf|1|fw
275|48853|mf|1|fw
276|48853|mf|1|fw
278|83531|mf|1|fw
279|21095|mf|0|la
279|83531|mf|0|fw
292|4719|mf|0|la
294|100981|mf|1|fw
297|15076|mf|0|la
321|118749|mf|0|fw
323|52940|da|0|fw
324|52940|di|0|fw
324|118749|oi|0|la
331|122779|oi|0|la
332|83725|oi|1|la
334|52940|da|1|fw
336|37269|mf|1|la
339|48853|di|1|la
340|48853|mf|1|la
345|100981|mf|1|fw
346|37265|oi|1|fw
346|100981|mf|1|fw
347|37265|oi|1|fw
347|48852|mf|1|fw
348|48852|mf|1|fw
349|58877|mf|0|la
349|37265|mf|0|fw
350|15403|mf|0|la
351|15403|mf|1|la
353|15403|oi|0|la
355|37265|di|0|fw
368|48852|mf|0|fw
373|48853|da|0|fw
374|48853|di|1|la
378|100981|di|1|fw
379|100981|mf|1|fw
381|83531|mf|1|fw
382|83531|mf|1|fw
384|100981|mf|1|fw
385|48853|di|1|la
385|100981|mf|1|fw
386|48853|di|1|la
391|37269|mf|1|la
394|37269|oa|0|fw
394|15403|da|0|la
416|72162|da|0|la
422|72162|mf|0|la
422|37269|mf|0|fw
428|48852|mf|0|fw
433|48853|di|0|la
434|48853|di|1|fw
437|100981|mf|1|fw
438|100981|mf|1|fw
441|15076|di|0|la
441|83531|oi|0|fw
445|72162|da|1|la
451|39187|mf|0|la
451|100981|mf|0|fw
489|15403|mf|0|la
493|37269|da|0|la
495|105835|da|0|la
