_ts|player_id|place|ball|direc
0|99127|mf|1|fw
0|37084|mf|1|fw
0|28392|da|0|no
0|106824|da|0|no
1|99127|mf|1|fw
3|99123|di|1|la
4|99123|di|1|la
7|99127|mf|1|la
8|41733|mf|0|la
10|99127|da|0|no
11|8533|mf|0|la
13|37084|da|0|no
14|15403|mf|1|la
19|34352|da|0|la
21|58877|mf|0|la
23|15403|oi|1|la
24|15403|oi|1|la
25|58877|mf|1|la
26|58877|mf|1|la
29|21095|mf|1|la
30|21095|mf|1|la
31|78140|di|1|fw
32|78140|di|1|fw
43|72162|da|1|la
44|72162|da|1|la
45|85352|di|1|la
46|85352|di|1|la
51|58877|mf|1|la
52|58877|mf|1|la
54|85352|di|1|la
55|85352|mf|1|la
57|21095|di|1|la
58|21095|di|1|la
61|78140|mf|1|fw
62|78140|mf|1|fw
67|4719|mf|1|la
68|4719|oi|1|la
70|15403|mf|1|la
71|15403|mf|1|la
72|21095|mf|1|la
73|21095|mf|1|la
78|78140|mf|1|fw
84|28411|da|0|la
91|28411|da|1|la
94|99123|di|1|fw
95|99123|di|1|fw
97|105021|di|1|la
98|105021|di|1|la
101|34352|di|1|la
102|34352|di|1|la
105|105021|di|1|la
109|72162|da|0|la
110|72162|da|0|la
115|21095|di|0|la
116|21095|di|1|la
118|4719|mf|1|fw
119|4719|mf|1|fw
120|78140|di|1|fw
121|78140|di|1|fw
123|21095|di|1|la
124|21095|di|1|la
126|85352|mf|1|la
127|85352|mf|1|la
129|15403|mf|1|la
130|15403|mf|1|la
134|78140|di|1|fw
135|78140|mf|1|fw
138|21095|di|1|la
139|21095|di|1|la
141|85352|mf|1|la
142|85352|mf|1|la
145|21095|di|1|la
146|21095|mf|1|la
150|58877|mf|1|la
151|99123|di|1|fw
152|58877|mf|0|la
152|61960|mf|0|fw
155|58877|mf|0|la
158|85352|mf|0|la
159|15403|mf|1|la
159|85352|mf|1|la
160|15403|mf|1|la
163|85352|mf|1|la
164|85352|mf|1|la
168|21095|di|1|la
169|21095|di|1|la
171|78140|mf|1|fw
172|78140|mf|1|fw
174|4719|mf|1|fw
176|105021|di|0|la
177|61960|di|0|la
178|61960|di|1|la
180|37084|mf|1|la
183|78140|mf|0|fw
183|28392|mf|0|la
210|28392|mf|0|la
212|78140|da|0|la
212|28392|oa|0|fw
236|72162|da|0|la
241|4719|mf|1|fw
242|34355|di|1|la
243|78140|mf|0|fw
243|28392|mf|0|la
244|78140|mf|1|fw
244|4719|mf|1|fw
245|4719|mf|1|fw
249|72162|da|1|la
250|72162|da|1|la
259|85352|di|1|la
260|85352|mf|1|la
264|21095|di|1|la
265|21095|di|1|la
270|85352|di|1|la
271|12297|mf|1|la
271|85352|mf|1|la
272|12297|mf|1|la
275|58877|mf|1|la
276|58877|mf|1|la
278|85352|mf|1|la
279|85352|mf|1|la
282|21095|di|1|la
283|21095|di|1|la
284|78140|di|1|fw
285|78140|di|1|fw
285|4719|mf|1|fw
286|4719|mf|1|fw
288|78140|di|1|fw
289|78140|di|1|fw
290|21095|di|1|la
291|21095|di|1|la
293|85352|mf|1|la
294|85352|mf|1|la
296|15403|mf|1|la
297|15403|mf|1|la
300|85352|mf|1|la
301|85352|mf|1|la
303|8533|mf|1|la
304|8533|mf|1|la
305|15403|mf|1|la
306|15403|mf|1|la
310|106824|oi|0|la
310|77760|di|0|fw
312|106824|oi|1|la
