_ts|player_id|place|ball|direc
0|37064|da|0|no
0|40275|mf|1|la
0|53515|mf|1|fw
0|8533|da|0|no
1|53515|mf|1|fw
2|20322|mf|1|la
3|20322|mf|1|la
5|33360|di|1|fw
6|33360|mf|1|fw
12|6685|di|1|la
16|6685|oi|0|fw
16|4719|di|0|la
23|4719|di|0|la
26|15076|mf|1|la
29|49656|mf|1|la
31|49656|mf|0|fw
31|15076|mf|0|la
41|4719|mf|0|la
44|20322|mf|1|fw
45|21095|mf|0|la
45|53515|mf|0|fw
49|73698|mf|1|la
49|41733|mf|1|la
51|78140|mf|0|fw
53|12297|mf|1|fw
54|12297|mf|1|fw
59|4719|mf|1|la
60|4719|mf|1|la
62|39077|mf|1|fw
63|39077|mf|1|fw
65|41733|mf|1|fw
66|41733|mf|1|fw
68|58877|mf|1|la
69|58877|mf|1|la
72|4719|mf|1|la
73|4719|mf|1|la
74|15076|mf|1|la
75|15076|mf|1|la
77|78140|mf|1|fw
78|78140|mf|1|fw
80|39077|mf|1|fw
81|39077|mf|1|fw
85|78140|mf|1|fw
92|33360|mf|0|fw
92|4719|mf|0|la
107|43106|mf|0|fw
111|102578|oi|0|fw
112|102578|mf|1|fw
118|73698|mf|1|la
119|73698|oi|0|la
121|73698|oa|0|fw
121|39077|da|0|la
141|72162|da|0|la
144|4719|mf|0|la
145|4719|mf|1|la
146|15076|mf|1|la
147|15076|mf|1|la
149|12297|oi|1|fw
151|49656|da|1|la
153|33376|da|1|la
155|21095|mf|0|la
155|53515|mf|0|fw
159|4719|mf|1|la
160|4719|mf|1|la
161|15076|mf|1|la
162|15076|mf|1|la
167|78140|mf|1|fw
168|78140|mf|1|fw
168|41733|mf|1|fw
169|41733|mf|1|fw
171|15076|mf|1|la
172|15076|mf|1|fw
173|21095|mf|1|la
174|21095|mf|1|la
178|15403|mf|1|la
179|15403|mf|1|la
180|4719|mf|1|la
181|8533|oi|1|la
181|4719|mf|1|la
182|8533|oi|1|la
185|15403|oi|0|la
187|102578|da|0|la
187|15403|oa|0|fw
203|33376|da|0|la
207|6685|da|0|la
208|6685|di|1|la
212|33360|di|1|fw
213|33360|mf|1|fw
217|6685|mf|1|fw
218|6685|mf|1|fw
219|37064|mf|1|la
220|37064|mf|1|la
222|49656|mf|1|la
223|49656|mf|1|la
224|73698|mf|1|la
225|73698|mf|1|la
227|53515|mf|1|la
228|39077|di|0|fw
230|20322|mf|1|la
234|33360|mf|1|fw
235|33360|mf|1|fw
236|43106|mf|1|fw
237|43106|mf|1|fw
240|102578|mf|0|fw
240|15076|mf|0|la
242|102578|mf|0|fw
242|4719|mf|0|la
246|102578|oi|0|fw
246|21095|di|0|la
247|102578|oi|1|fw
252|73698|oi|1|la
253|73698|oi|0|fw
254|73698|oa|0|fw
254|39077|da|0|la
282|72162|da|0|la
287|102578|da|0|no
288|72162|mf|0|la
288|102578|mf|1|fw
294|4719|mf|0|la
295|15076|mf|0|la
296|15076|mf|1|la
297|4719|mf|1|la
298|43106|mf|0|fw
300|102578|mf|1|fw
302|58877|mf|1|la
306|72162|da|1|la
307|72162|da|1|la
308|58877|di|1|la
309|58877|di|1|la
313|72162|da|1|la
314|72162|da|1|la
316|78140|di|1|fw
317|78140|di|1|fw
320|12297|da|0|no
320|49656|mf|0|la
336|78140|mf|0|fw
338|21095|mf|0|la
339|21095|mf|1|la
340|58877|mf|1|la
341|58877|mf|1|la
343|4719|mf|1|la
344|4719|mf|1|la
345|15403|mf|1|la
346|15403|mf|1|la
347|4719|mf|1|la
348|4719|mf|1|la
350|21095|di|1|la
351|21095|di|1|la
352|78140|di|1|fw
353|78140|di|1|fw
355|39077|mf|1|fw
356|39077|mf|1|fw
359|78140|di|1|fw
360|78140|di|1|fw
360|21095|di|1|la
361|21095|di|1|la
363|58877|mf|1|la
364|58877|mf|1|la
366|15403|mf|1|la
367|15403|mf|1|la
370|58877|mf|1|la
371|58877|mf|1|la
372|4719|oi|0|la
373|4719|da|0|no
373|43106|di|0|fw
386|33360|di|0|fw
386|43106|mf|0|fw
387|43106|mf|1|fw
388|33360|di|1|fw
392|21095|di|0|la
392|53515|oi|0|fw
395|102578|mf|1|fw
397|12297|mf|1|fw
399|102578|mf|0|fw
399|15403|mf|0|la
400|102578|mf|1|fw
400|20322|mf|1|la
401|20322|mf|1|la
403|37064|mf|1|la
404|37064|mf|1|la
407|102578|mf|1|fw
409|72162|da|0|no
412|78140|di|0|la
418|8533|mf|0|la
418|43106|mf|0|fw
444|4719|mf|0|la
445|58877|mf|0|la
446|58877|mf|1|la
452|102578|mf|0|fw
452|8533|mf|0|la
499|15403|mf|0|la
502|33360|da|0|la
505|15076|mf|1|fw
506|49656|di|0|la
506|15076|oi|0|fw
519|15076|da|0|no
532|49656|di|0|la
548|6685|da|0|la
549|6685|mf|1|la
550|40275|mf|1|fw
554|39077|di|1|fw
556|72162|da|0|la
557|72162|da|0|la
562|85352|di|0|la
563|85352|mf|1|la
564|58877|mf|1|la
565|58877|mf|1|la
570|39077|mf|1|fw
571|39077|mf|1|fw
572|12297|oi|1|fw
573|12297|oi|1|fw
574|39077|oi|1|fw
575|39077|oi|1|fw
578|58877|mf|1|fw
580|58877|mf|0|la
580|40275|mf|0|fw
593|33360|di|0|fw
601|6685|da|0|la
602|6685|di|1|la
603|49656|di|1|la
604|49656|di|1|la
607|6685|di|1|la
608|6685|di|1|la
609|49656|mf|1|la
610|49656|mf|1|la
612|6685|mf|0|la
612|8533|mf|0|fw
615|6685|mf|1|la
618|37064|mf|1|la
619|37064|mf|1|la
623|43106|mf|1|fw
624|43106|mf|1|fw
625|53515|oi|1|fw
626|53515|oi|1|fw
627|102578|mf|1|fw
630|72162|da|0|la
634|72162|da|0|la
635|85352|di|0|la
636|85352|di|1|la
637|4719|di|1|la
640|20322|mf|1|fw
641|15403|mf|0|la
641|20322|mf|1|fw
642|4719|mf|0|la
644|40275|oi|0|fw
647|21095|di|0|la
649|21095|di|0|la
651|40275|mf|0|fw
651|21095|mf|0|la
660|33360|mf|0|fw
665|6685|di|0|fw
666|6685|mf|1|fw
667|102578|mf|1|fw
668|102578|mf|1|fw
670|33360|mf|1|fw
