_ts|player_id|place|ball|direc
0|37572|mf|1|fw
0|40232|mf|1|fw
0|46497|da|0|no
0|90714|da|0|no
1|32644|mf|1|la
1|40232|mf|1|fw
2|32644|mf|1|la
2|19975|mf|1|la
3|32644|di|1|la
3|19975|mf|1|la
4|32644|di|1|la
7|57145|di|1|la
8|57145|di|1|la
13|28525|di|1|la
14|28525|di|1|la
15|46497|mf|1|la
16|46497|mf|1|la
19|32644|mf|1|la
20|32644|di|1|la
23|57145|mf|1|fw
24|20658|mf|1|fw
24|57145|mf|1|fw
25|20658|mf|1|fw
25|19975|oi|1|fw
26|19975|oi|1|fw
29|149879|di|0|la
29|20658|oi|0|fw
30|37572|da|0|no
43|116120|di|0|la
43|112991|di|0|la
44|116120|di|1|la
49|49507|mf|1|fw
50|32644|mf|0|la
55|28495|mf|1|fw
60|32644|da|0|la
60|26900|oa|0|fw
62|46497|di|0|la
67|46497|mf|0|la
68|26900|mf|0|fw
68|46497|mf|0|la
83|26900|oi|0|fw
86|28525|di|0|la
88|32644|di|1|la
89|32644|di|1|la
93|57145|di|1|fw
94|57145|di|1|fw
95|32644|mf|1|la
96|32644|mf|1|la
101|95201|da|0|no
101|46497|mf|1|la
102|58893|mf|1|la
103|32644|mf|1|la
103|58893|mf|1|la
104|32644|mf|1|la
104|58893|mf|1|la
105|58893|mf|1|la
106|46497|mf|1|la
107|46497|mf|1|la
112|57145|mf|1|fw
113|57145|mf|1|fw
114|19975|mf|1|la
115|19975|mf|1|la
116|28525|di|1|la
117|28525|di|1|la
119|58893|mf|1|la
120|58893|mf|1|la
121|40232|mf|1|la
122|40232|mf|1|la
123|46497|mf|1|la
124|46497|mf|1|la
125|58893|mf|1|la
126|58893|mf|1|la
128|28525|di|1|la
129|28525|di|1|la
134|57145|mf|1|fw
137|19975|mf|1|fw
137|10594|di|0|la
138|19054|mf|1|fw
139|19054|mf|1|fw
140|32644|mf|1|la
141|32644|mf|1|la
143|46497|oi|1|fw
144|13262|da|0|la
144|46497|oa|0|fw
145|13262|da|0|la
146|19054|oa|0|fw
206|95201|mf|1|fw
208|85388|mf|0|la
210|40232|oi|1|fw
212|116120|da|0|la
212|19054|oi|0|fw
220|28495|di|1|la
224|95201|mf|1|la
225|95201|oi|1|fw
226|90714|oa|1|fw
227|90714|oa|0|fw
279|37572|mf|1|la
280|19975|mf|1|fw
280|40232|mf|1|la
281|19975|mf|1|fw
281|40232|mf|1|la
282|20658|mf|1|fw
283|20658|mf|1|fw
285|57145|di|1|la
286|57145|di|1|la
289|32644|mf|1|la
290|32644|mf|1|la
292|58893|mf|1|la
293|58893|mf|1|la
300|46497|mf|1|la
301|46497|mf|1|la
304|20658|mf|1|fw
305|20658|mf|1|fw
306|19975|mf|1|fw
307|19975|mf|1|fw
309|57145|mf|1|fw
310|57145|mf|1|fw
313|28525|di|1|la
314|28525|mf|1|la
316|46497|mf|1|la
317|46497|mf|1|la
319|40232|oi|0|fw
323|40232|oa|0|la
323|10594|da|0|fw
324|10594|da|0|la
331|58893|oa|0|la
334|46497|oa|1|la
335|13262|da|0|fw
335|46497|oa|0|la
350|49507|di|0|fw
352|26900|mf|0|fw
352|58893|mf|0|la
355|49507|di|1|fw
356|19975|mf|1|la
358|149879|di|1|la
361|112991|di|1|la
362|112991|mf|1|la
363|26900|mf|0|fw
363|46497|mf|0|la
363|58893|mf|1|la
364|58893|mf|1|la
366|46497|mf|1|la
368|116120|mf|0|fw
369|116120|mf|0|fw
373|42899|da|0|la
374|42899|da|0|la
379|32644|di|0|la
380|32644|mf|1|la
384|19975|mf|1|fw
385|19975|mf|1|fw
387|20658|mf|1|fw
388|20658|mf|1|fw
389|57145|di|1|fw
390|57145|di|1|fw
394|42899|da|1|la
395|42899|da|1|la
398|32644|di|1|la
399|32644|di|1|la
402|46497|mf|1|la
403|46497|mf|1|la
405|20658|mf|1|fw
406|20658|mf|1|fw
409|40232|oi|1|fw
410|40232|mf|1|fw
412|116120|di|0|la
412|46497|oi|0|fw
413|46497|oi|1|fw
415|49507|di|0|la
416|37572|oa|1|fw
417|10594|da|0|la
418|10594|da|1|la
420|49507|di|0|fw
421|49507|di|0|fw
423|37572|da|0|no
425|37572|oi|0|la
425|49507|di|0|fw
428|58893|oi|0|la
431|19975|mf|0|la
432|19975|mf|1|fw
434|20658|mf|1|fw
435|20658|mf|1|fw
437|19975|mf|1|fw
438|19975|mf|1|fw
440|32644|mf|1|la
443|10594|di|0|fw
449|28495|di|1|la
450|28495|mf|1|fw
452|26900|mf|1|fw
453|26900|mf|1|fw
455|28495|mf|1|fw
456|28495|mf|1|fw
459|13262|da|1|la
460|13262|da|1|la
466|85388|oi|0|fw
466|58893|mf|0|la
467|85388|mf|0|fw
467|58893|mf|0|la
471|58893|mf|0|la
472|57145|di|0|la
473|57145|di|1|la
475|19975|mf|1|la
476|19975|mf|1|fw
477|40232|mf|1|fw
478|40232|mf|1|fw
482|32644|mf|1|la
483|32644|mf|1|la
485|19975|mf|1|fw
486|19975|mf|1|fw
488|46497|mf|1|la
489|13262|da|0|la
489|46497|oi|0|fw
496|37572|oa|0|fw
496|13262|da|0|la
507|20658|oi|0|fw
507|37572|oa|0|fw
508|32644|mf|1|fw
508|20658|oi|1|fw
509|32644|mf|1|fw
511|19054|oi|1|fw
512|19054|oi|1|fw
514|13262|da|0|no
515|40232|oa|0|fw
517|13262|da|0|la
517|40232|oa|0|fw
544|13262|da|0|la
548|28525|mf|0|la
548|85388|mf|0|fw
549|85388|mf|1|fw
552|28525|di|0|la
554|26900|mf|0|fw
554|58893|mf|0|la
555|46497|mf|0|la
557|28525|di|1|la
558|28525|di|1|la
560|57145|di|1|la
561|57145|di|1|la
563|20658|di|1|fw
564|20658|di|1|fw
568|149879|mf|0|la
568|37572|mf|0|fw
598|19975|mf|0|fw
599|19054|mf|0|fw
600|32644|mf|1|fw
600|19054|mf|1|fw
601|32644|mf|1|fw
603|58893|oi|1|la
604|58893|oi|1|la
606|46497|mf|1|la
607|46497|mf|1|la
609|19975|mf|1|fw
610|19975|mf|1|fw
613|57145|mf|1|fw
617|49507|di|1|la
619|149879|mf|0|la
619|19975|mf|0|fw
620|149879|mf|0|la
621|95201|mf|0|la
622|95201|mf|0|la
622|28525|mf|1|la
623|46497|mf|0|la
625|46497|mf|1|la
628|116120|mf|0|fw
629|116120|mf|1|fw
632|42899|da|0|la
635|42899|da|0|la
640|32644|mf|0|la
641|32644|mf|1|la
643|20658|mf|1|fw
644|20658|mf|1|fw
648|40232|oa|1|fw
650|116120|da|0|la
651|116120|da|1|la
652|13262|da|1|la
654|13262|di|0|fw
654|40232|oi|0|la
661|46497|oi|0|la
664|58893|mf|0|la
665|58893|oi|1|la
666|19054|oi|1|la
666|58893|oi|1|la
