_ts|player_id|place|ball|direc
0|16050|da|0|no
0|90714|da|0|no
1|85388|mf|1|fw
1|95201|mf|1|fw
2|95201|mf|1|fw
2|28495|mf|1|la
3|28495|mf|1|la
5|49507|di|1|fw
6|49507|di|1|fw
9|116120|mf|1|fw
10|116120|mf|1|fw
13|149879|mf|1|la
16|70496|da|0|la
18|28188|di|0|la
19|28188|di|1|la
20|16050|mf|1|la
21|16050|mf|1|la
22|20301|di|1|la
25|26900|oi|0|fw
27|26900|oi|1|fw
30|49507|oi|1|fw
31|49507|oi|1|fw
32|116120|oi|0|fw
33|28188|di|1|la
34|69887|mf|1|fw
35|69887|mf|1|fw
37|46696|mf|0|la
39|46696|mf|1|la
40|28188|mf|1|la
42|95201|mf|0|fw
43|28188|mf|0|la
43|95201|mf|0|fw
44|28188|mf|0|la
45|28188|mf|1|la
48|42544|mf|1|la
49|42544|oi|1|fw
52|66841|oa|0|fw
52|90714|da|0|la
53|66841|oa|0|fw
56|112991|da|0|la
58|87447|oi|1|fw
59|116120|di|1|la
61|87447|oi|0|fw
62|28188|oi|1|fw
64|49507|di|0|la
65|16050|oi|0|la
65|49507|di|0|fw
68|49507|di|1|fw
69|16050|di|0|la
69|49507|oi|0|fw
81|52049|di|0|la
86|87447|mf|0|la
87|87447|di|1|la
90|28188|di|1|fw
91|28188|mf|1|fw
92|66841|mf|1|fw
93|66841|mf|1|fw
95|28188|mf|1|fw
96|28188|mf|1|fw
98|87447|mf|1|fw
99|87447|mf|1|fw
99|69887|mf|1|fw
100|69887|mf|1|fw
102|28188|mf|1|fw
103|28188|mf|1|fw
104|46696|mf|1|la
105|46696|mf|1|la
106|87447|mf|1|la
109|112991|mf|0|la
110|112991|mf|1|la
111|26900|mf|1|fw
112|26900|mf|1|fw
114|49507|di|0|fw
117|28495|mf|1|la
118|28495|mf|1|la
122|70496|da|0|la
122|85388|oa|0|fw
128|70496|da|0|la
128|85388|oa|0|fw
129|70496|da|0|la
129|85388|oa|0|fw
162|90714|oa|0|fw
164|66841|da|0|la
166|116120|oi|0|fw
167|66841|da|0|la
167|116120|oa|0|fw
198|40349|da|0|la
203|42544|oi|0|la
203|10594|di|0|fw
204|10594|di|0|fw
206|149879|di|0|la
207|149879|di|1|la
209|28188|mf|0|fw
213|28188|oi|1|fw
215|87447|mf|1|fw
216|87447|mf|1|fw
219|42544|oi|1|fw
220|42544|oi|1|fw
220|46696|oi|1|fw
221|42544|oi|1|fw
221|46696|oi|1|fw
222|42544|oi|1|fw
224|28188|oi|0|fw
224|112991|da|0|la
227|46696|da|0|no
253|13262|da|0|la
253|70496|mf|1|fw
255|112991|di|1|la
256|16050|mf|0|la
257|16050|oi|0|fw
257|116120|di|0|la
262|16050|oi|0|la
262|10594|di|0|fw
264|16050|oi|0|la
266|49507|di|1|fw
269|13262|da|0|la
271|112991|da|1|la
272|112991|di|1|la
276|13262|da|1|la
277|13262|da|1|la
279|70496|mf|0|la
279|85388|mf|0|fw
280|85388|mf|1|fw
283|95201|mf|1|fw
284|95201|mf|1|fw
287|90714|oi|1|fw
289|52049|da|0|no
290|52049|da|0|la
290|90714|oa|0|fw
304|40349|da|0|la
305|20301|da|0|la
306|20301|da|1|la
308|40349|da|1|la
309|40349|da|1|la
313|66841|mf|1|fw
314|66841|mf|1|fw
318|87447|mf|1|fw
319|87447|mf|1|fw
321|28188|mf|1|la
322|28188|mf|1|la
325|20301|di|1|la
327|90714|oi|0|fw
329|28188|di|0|la
329|90714|oi|0|fw
330|28188|di|0|la
330|90714|oi|0|fw
333|28188|da|0|no
391|26900|oi|0|fw
393|26900|oa|0|fw
393|28188|da|0|la
423|40349|da|0|la
428|26900|mf|0|fw
429|26900|mf|1|fw
435|28495|mf|1|fw
436|16050|mf|0|la
437|16050|di|1|la
439|26900|mf|0|fw
439|87447|mf|0|la
439|28495|da|0|no
440|46696|mf|1|la
440|87447|mf|1|la
441|46696|mf|1|la
443|87447|mf|1|fw
444|87447|oi|1|fw
445|46696|oi|1|fw
446|46696|oi|1|fw
447|87447|oa|1|fw
448|87447|oa|0|fw
450|26900|da|0|la
450|87447|oa|0|fw
476|13262|da|0|la
479|70496|di|1|la
481|87447|di|0|fw
483|87447|di|1|la
491|20301|mf|1|la
492|116120|mf|0|fw
495|28188|mf|1|la
497|46696|mf|1|fw
498|46696|oi|1|fw
503|69887|oa|1|fw
504|69887|oa|1|fw
506|66841|oa|0|fw
507|149879|da|0|la
509|116120|da|1|la
509|42544|oa|0|fw
510|116120|da|0|la
515|95201|mf|0|la
517|95201|mf|1|fw
519|26900|mf|1|fw
520|26900|mf|1|fw
523|85388|oi|1|fw
525|90714|da|0|no
526|90714|da|0|no
527|69887|da|0|la
533|66841|di|1|fw
533|69887|di|1|fw
534|66841|di|1|fw
535|28188|mf|1|fw
536|28188|mf|1|fw
539|69887|mf|1|fw
540|69887|mf|1|fw
541|66841|mf|1|fw
542|66841|mf|1|fw
544|70496|di|1|la
545|70496|di|1|fw
548|66841|mf|1|fw
549|66841|mf|1|fw
551|69887|mf|1|fw
552|69887|mf|1|fw
553|28188|mf|1|fw
554|28188|mf|1|fw
556|87447|mf|1|fw
557|87447|mf|1|fw
563|26900|di|0|fw
563|52049|oi|0|la
590|16050|oi|0|la
592|49507|da|0|la
593|46696|oi|1|fw
596|69887|oi|1|fw
599|26900|di|0|la
601|20301|oi|1|la
603|16050|oi|1|la
604|16050|oi|1|la
606|52049|oi|0|la
606|116120|di|0|fw
607|52049|oi|1|la
608|49507|di|0|fw
609|49507|di|0|fw
611|116120|di|1|fw
613|70496|mf|0|la
615|20301|mf|0|la
618|85388|da|0|no
620|70496|da|0|la
621|90714|oa|1|fw
625|85388|oi|1|fw
627|116120|oi|1|fw
628|116120|oi|1|fw
629|28495|oi|1|fw
630|28495|oi|0|fw
632|70496|da|0|la
632|28495|oa|0|fw
663|40349|da|0|la
669|112991|di|0|fw
671|28495|mf|1|fw
672|116120|mf|1|fw
672|28188|mf|0|la
673|116120|mf|1|fw
674|52049|mf|1|la
675|16050|mf|0|la
677|16050|mf|0|la
677|49507|mf|0|fw
678|16050|mf|0|la
679|16050|mf|0|la
679|49507|mf|0|fw
682|49507|mf|0|fw
682|28495|mf|0|fw
683|49507|mf|1|fw
683|28495|mf|1|fw
684|49507|mf|1|fw
684|28495|mf|1|fw
685|116120|mf|1|fw
685|28495|mf|1|fw
686|26900|mf|1|fw
686|116120|mf|1|fw
687|26900|mf|1|fw
689|116120|mf|1|fw
690|116120|mf|1|fw
693|112991|mf|1|la
694|26900|oi|1|fw
694|112991|mf|1|la
695|26900|oi|1|fw
696|20301|di|0|la
696|28495|oi|0|fw
697|87447|di|0|la
698|28188|mf|1|la
698|87447|di|1|la
699|28188|mf|1|la
701|149879|mf|0|la
701|42544|mf|0|fw
705|112991|mf|0|la
708|49507|mf|1|fw
709|87447|mf|0|la
710|87447|mf|0|la
714|85388|mf|0|fw
714|87447|mf|0|la
715|85388|mf|0|fw
715|87447|mf|0|la
733|52049|mf|0|la
734|16050|mf|0|la
735|16050|mf|1|la
736|52049|mf|1|la
737|52049|mf|1|la
745|28188|mf|1|fw
746|28188|mf|1|fw
747|70496|mf|1|fw
752|13262|da|0|la
753|112991|di|1|la
754|112991|di|1|la
758|10594|di|1|la
759|10594|di|1|la
761|85388|mf|1|fw
762|85388|mf|1|fw
765|26900|mf|0|fw
765|46696|mf|0|la
768|26900|oi|1|fw
770|20301|di|0|la
770|28495|oi|0|fw
803|70496|di|0|la
803|20301|di|0|la
804|20301|di|1|la
809|87447|mf|0|fw
809|95201|mf|0|la
811|95201|mf|0|la
816|87447|di|0|la
816|95201|oi|0|fw
818|116120|oi|0|fw
818|40349|da|0|la
822|40349|da|0|la
846|40349|da|1|la
848|149879|mf|0|la
848|69887|mf|0|fw
861|28188|mf|0|fw
861|87447|mf|0|fw
862|28188|mf|1|fw
