_ts|player_id|place|ball|direc
0|45124|da|0|no
0|14937|da|0|no
1|52635|mf|1|fw
1|19624|mf|1|fw
2|19624|mf|1|fw
6|96122|mf|1|la
6|49483|di|1|fw
7|104953|mf|1|fw
9|96122|mf|1|la
9|27256|mf|1|la
10|96122|mf|1|la
16|18522|di|1|la
17|18522|di|1|la
18|19624|mf|1|fw
19|19624|mf|1|fw
22|18522|di|1|fw
25|49478|da|0|no
26|49478|da|0|no
27|18522|oa|0|fw
27|49478|da|0|la
49|49478|da|0|la
52|27256|mf|0|la
52|33223|mf|0|fw
53|33223|mf|1|fw
55|19620|di|0|la
59|44743|da|1|la
60|44743|da|1|la
63|49485|mf|0|la
63|38530|mf|0|fw
65|38530|mf|1|fw
66|77831|mf|0|la
67|77831|mf|1|la
68|68791|di|1|la
69|68791|di|1|la
71|104953|oi|1|fw
74|19620|di|1|la
74|27256|da|0|la
75|19620|di|1|la
77|39297|di|1|la
78|39297|di|1|la
79|27256|da|1|la
80|27256|da|1|la
81|44743|da|1|la
82|44743|da|1|la
84|19620|mf|1|la
85|49483|mf|0|fw
86|49483|mf|1|fw
88|27256|di|1|la
89|49483|di|0|fw
89|27256|oi|0|la
98|49483|di|0|fw
110|39297|di|0|la
112|49483|mf|0|fw
112|39297|mf|0|la
113|49483|mf|0|fw
113|39297|da|0|no
114|104953|oi|1|fw
114|49483|mf|1|fw
115|49483|mf|1|fw
117|82184|oi|1|fw
118|82184|oa|1|fw
120|49483|oi|0|fw
122|18522|di|0|la
123|19624|di|0|la
124|27256|di|1|la
127|49483|mf|0|fw
128|49483|mf|1|fw
130|27256|di|0|la
133|26904|di|1|la
135|44743|da|0|la
141|44743|da|1|la
144|18522|di|1|fw
145|18522|di|1|fw
148|26904|mf|0|fw
148|45124|mf|0|la
149|26904|mf|0|fw
149|45124|mf|0|la
150|26904|mf|0|fw
157|14937|oa|1|fw
158|66905|da|0|la
159|66905|da|0|la
159|14937|oa|0|fw
163|19624|oa|0|fw
163|14937|oa|0|fw
164|19624|oa|1|fw
164|14937|oi|1|fw
165|14937|oi|1|fw
168|45124|di|0|la
168|38530|oi|1|fw
169|45124|di|0|la
169|38530|oi|0|fw
172|26904|oa|0|fw
174|68791|da|0|la
176|49485|di|1|la
179|18522|mf|1|fw
179|19624|oi|1|fw
180|19624|oi|1|fw
183|26904|oi|0|fw
184|26904|oa|0|la
184|45124|da|0|fw
195|49483|da|0|fw
197|82184|di|0|fw
198|82184|di|1|fw
199|49483|da|1|fw
201|18522|mf|1|fw
204|19624|mf|0|la
204|82184|mf|1|fw
206|77831|mf|1|la
207|49485|mf|1|la
208|49485|mf|1|la
209|45124|mf|1|la
210|45124|mf|1|la
212|49485|mf|1|la
214|38530|mf|0|fw
215|49485|mf|0|la
215|38530|mf|0|fw
225|49485|mf|0|la
228|96122|mf|0|fw
229|19624|mf|1|fw
229|77831|da|0|no
231|49485|mf|0|la
231|52635|mf|0|fw
262|66905|mf|0|la
269|44743|da|0|la
272|27256|di|1|la
273|27256|di|1|la
275|44743|da|1|la
276|96122|di|1|la
276|44743|da|1|la
277|96122|di|1|la
279|18522|di|1|fw
280|18522|di|1|fw
283|26904|mf|1|fw
284|26904|mf|1|fw
287|38530|oi|0|fw
287|77831|di|0|la
288|45124|di|0|la
288|38530|oi|0|fw
290|82184|mf|0|la
291|19624|mf|0|fw
291|82184|mf|0|la
292|96122|mf|0|fw
293|96122|mf|1|fw
294|26904|oi|1|fw
