_ts|player_id|place|ball|direc
0|18689|da|0|no
0|85971|da|0|no
0|69495|mf|1|fw
0|57038|mf|1|fw
1|52941|mf|1|la
1|69495|mf|1|fw
2|52941|mf|1|la
3|51255|mf|1|la
4|51255|mf|1|la
6|11225|di|1|la
7|11225|di|1|la
9|18090|da|1|la
13|77864|di|0|la
13|57038|oi|0|fw
15|76542|mf|1|la
15|85971|mf|0|la
16|85971|mf|0|la
16|48492|mf|0|fw
18|85971|mf|0|la
21|31886|mf|0|fw
22|31886|di|1|fw
25|18686|di|1|fw
26|18686|di|1|la
30|11225|di|1|la
31|11225|di|1|la
33|18686|di|1|fw
34|18686|mf|1|fw
35|48492|mf|1|fw
36|48492|mf|1|fw
37|18686|di|1|fw
38|18686|di|1|fw
44|11225|di|1|la
45|11225|mf|1|la
46|49230|mf|1|la
47|49230|mf|1|la
49|51255|mf|1|la
52|77864|di|0|la
54|77864|mf|1|fw
59|75773|mf|1|fw
60|77864|di|1|fw
60|75773|mf|1|fw
61|77864|di|1|la
64|76542|di|1|la
65|76542|di|1|la
66|98762|di|1|la
67|98762|mf|1|la
72|76542|di|1|la
73|76542|mf|1|fw
77|98762|mf|1|la
78|36968|mf|1|la
78|98762|mf|1|la
79|36968|mf|1|la
80|119468|mf|1|la
81|48492|di|0|la
83|52941|di|0|la
90|11225|da|1|la
91|11225|di|1|la
93|49230|mf|1|la
94|18689|mf|1|la
94|49230|mf|1|la
95|18689|mf|1|la
99|51255|mf|1|la
100|51255|mf|1|la
105|11225|di|1|la
106|11225|mf|1|la
106|57038|mf|1|fw
107|57038|mf|1|fw
108|52941|mf|1|la
109|52941|mf|1|la
109|69495|mf|1|fw
110|69495|mf|1|fw
111|48492|mf|0|fw
112|76542|mf|0|la
112|48492|mf|0|fw
126|77875|mf|0|la
131|77865|oi|0|la
131|48492|di|0|fw
132|77865|oi|0|la
132|48492|di|0|fw
144|77875|oi|0|la
146|85971|oi|1|fw
148|18689|di|1|la
149|57038|mf|0|fw
151|57038|mf|0|la
152|170452|mf|1|fw
152|75773|mf|1|fw
153|170452|mf|1|fw
160|75773|mf|0|fw
163|98762|mf|1|la
164|98762|mf|1|la
166|76542|mf|1|la
167|76542|mf|1|la
170|98762|mf|1|la
171|48492|di|0|fw
172|48492|di|0|fw
173|48492|di|1|fw
174|31886|di|1|fw
175|85971|oi|0|la
176|85971|mf|0|la
176|48492|mf|0|fw
182|48492|mf|0|fw
184|18686|di|0|fw
185|18686|di|1|fw
188|11225|di|1|la
