_ts|player_id|place|ball|direc
0|85971|da|0|no
0|175078|da|0|no
3|36968|mf|1|fw
4|77865|mf|1|fw
5|77865|mf|1|fw
9|76542|mf|1|la
10|76542|mf|1|la
12|77864|di|1|la
13|77864|di|1|la
17|98762|di|1|la
18|76542|di|1|la
18|98762|di|1|la
19|76542|di|1|la
22|98762|mf|1|la
26|28649|di|0|fw
27|86813|di|0|fw
28|36968|oi|0|la
28|86813|di|0|fw
40|86813|di|0|fw
40|28649|di|0|fw
41|28649|di|1|fw
47|50117|di|1|la
48|28649|mf|1|fw
48|50117|mf|1|la
49|28649|mf|1|fw
51|126407|mf|1|la
52|126407|mf|1|la
54|50117|mf|1|la
55|50117|mf|1|la
58|170452|di|0|fw
58|175078|mf|1|la
61|34694|oi|1|la
63|175078|oa|0|la
64|77864|da|0|la
65|44336|oa|0|fw
68|44336|oa|0|fw
68|77864|da|0|la
96|82975|da|0|la
100|34694|mf|0|la
100|36968|mf|0|fw
102|77864|mf|0|fw
104|77864|mf|0|fw
108|126407|mf|0|la
108|119468|mf|1|fw
110|126407|mf|0|la
110|77865|mf|1|fw
112|126407|mf|0|la
112|76542|mf|0|fw
151|51310|oi|0|fw
154|77865|da|0|la
158|86813|mf|1|fw
159|119468|mf|0|la
160|86813|oi|0|fw
160|119468|di|0|la
169|86813|oi|0|fw
170|51310|oi|0|fw
171|51310|oi|1|fw
172|28649|mf|1|fw
173|28649|mf|1|fw
175|50117|mf|1|fw
176|50117|mf|1|la
179|34694|mf|1|la
180|34694|mf|1|la
183|50117|di|1|la
184|50117|di|1|la
186|28649|di|1|la
187|28649|di|1|la
189|50117|di|1|la
190|50117|mf|1|la
197|175078|oi|1|la
198|175078|oa|1|la
199|51310|oi|1|la
200|126407|oi|1|fw
200|51310|oi|1|la
201|126407|oi|1|fw
203|34694|oi|1|la
204|34694|oi|1|la
208|51310|oi|0|la
211|77875|da|0|la
212|44336|da|0|no
212|149828|oa|1|fw
212|98762|da|0|no
213|149828|oa|0|fw
213|77875|da|0|la
214|51310|oa|0|fw
217|77875|da|0|la
217|51310|oa|0|fw
257|82975|da|0|la
263|77865|mf|0|fw
263|17337|mf|0|la
293|76542|mf|0|fw
297|98762|mf|0|la
298|98762|mf|1|la
301|77864|mf|1|fw
303|50117|mf|0|la
305|77864|di|1|la
308|126407|mf|1|la
311|175078|mf|0|la
312|34694|di|1|la
313|34694|di|1|la
314|50117|di|1|la
315|50117|di|1|la
317|28649|di|1|la
318|28649|di|1|la
321|28549|da|1|la
322|28549|da|1|la
325|126407|mf|0|la
325|75773|mf|0|fw
326|75773|oi|0|fw
326|50117|di|0|la
328|98762|mf|1|la
330|76542|mf|0|la
331|76542|mf|0|fw
331|51310|mf|0|la
332|44336|mf|0|fw
333|44336|mf|1|la
334|119468|mf|0|fw
336|170452|mf|1|fw
338|77864|mf|1|la
339|77864|mf|0|la
339|86813|mf|0|fw
348|86813|mf|0|fw
351|28649|mf|0|fw
352|28649|mf|1|fw
354|50117|di|1|la
355|50117|mf|1|la
356|126407|mf|1|la
357|126407|mf|1|la
359|50117|di|1|la
360|50117|mf|1|la
361|17337|mf|1|la
362|17337|mf|1|la
365|126407|mf|1|la
366|126407|mf|1|la
368|28649|mf|1|fw
369|28649|mf|1|fw
373|50117|mf|1|la
374|50117|mf|1|la
377|51310|mf|1|la
378|51310|mf|1|la
380|170452|di|0|fw
380|175078|oi|0|la
419|51310|oi|0|la
422|126407|da|0|no
422|76542|da|0|la
423|76542|da|0|la
423|51310|oa|0|fw
450|51310|oa|0|fw
453|76542|da|0|la
454|85971|da|0|la
455|85971|da|0|la
466|34694|mf|0|la
469|34694|mf|1|la
470|50117|di|1|la
471|50117|di|1|la
474|28649|mf|1|fw
477|98762|da|0|la
478|28649|oa|0|fw
478|98762|da|0|la
500|175078|oa|0|fw
501|149828|oa|0|fw
502|149828|oa|0|fw
504|149828|oa|0|fw
504|98762|da|0|la
531|82975|da|0|la
535|50117|di|1|la
536|34694|di|1|la
539|77864|mf|1|fw
540|76542|mf|1|fw
541|76542|mf|1|fw
542|75773|mf|0|fw
545|149828|oi|0|la
545|75773|di|0|fw
547|149828|mf|0|la
547|75773|mf|0|fw
562|170452|mf|0|fw
563|36968|mf|0|fw
564|36968|mf|1|fw
567|126407|mf|0|la
567|77865|mf|0|fw
568|170452|mf|1|fw
569|34694|mf|0|la
569|170452|mf|0|fw
581|34694|mf|0|la
583|50117|di|0|la
584|50117|di|1|la
587|86813|mf|1|fw
588|86813|mf|1|fw
596|28649|mf|1|fw
598|77865|mf|0|la
600|85971|mf|0|la
605|17337|di|0|la
605|85971|oi|0|fw
607|85971|oa|0|fw
608|28649|da|0|no
609|28549|da|0|la
609|85971|oa|0|fw
630|28549|da|0|la
635|85971|mf|0|la
637|36968|mf|0|fw
637|17337|mf|0|la
638|36968|mf|1|fw
644|77865|oa|0|fw
644|28649|da|0|la
647|86813|da|1|la
648|86813|da|1|fw
649|51310|da|1|fw
650|28649|da|1|la
650|51310|da|1|fw
651|28649|da|1|la
653|44336|di|1|fw
656|77864|mf|1|la
658|77865|oi|1|fw
659|77865|oi|1|fw
663|126407|di|0|la
663|75773|oi|0|fw
668|75773|oi|0|fw
668|51310|di|0|la
706|76542|oi|0|fw
708|50117|da|0|la
716|85971|oa|1|fw
719|77865|oi|0|la
722|34694|da|0|la
723|119468|oi|1|fw
725|126407|di|0|la
726|126407|di|1|la
728|75773|oi|0|fw
728|51310|di|0|la
732|126407|di|1|la
732|17337|mf|1|la
733|17337|mf|1|la
736|44336|mf|0|fw
736|98762|mf|0|la
738|44336|mf|0|fw
738|77864|mf|0|la
740|77864|mf|1|la
742|77875|mf|1|la
743|77875|mf|1|la
747|36968|mf|1|la
748|36968|mf|1|la
750|85971|oi|0|fw
750|50117|di|0|la
751|28649|di|0|la
751|85971|oi|0|fw
753|85971|da|0|no
755|86813|da|0|la
755|85971|oa|0|fw
758|86813|da|0|la
758|85971|oa|0|fw
788|76542|oa|0|fw
790|28549|da|0|la
796|175078|di|1|fw
797|170452|mf|1|la
798|77864|mf|0|la
798|86813|mf|0|fw
818|86813|mf|0|fw
823|44336|mf|0|fw
824|44336|oi|1|fw
827|51310|mf|1|fw
828|51310|mf|1|fw
829|44336|mf|1|fw
830|44336|mf|1|fw
830|51310|mf|1|fw
831|51310|mf|1|fw
833|17337|mf|1|fw
834|17337|mf|1|fw
835|50117|mf|1|la
836|50117|mf|1|la
839|126407|mf|0|fw
839|119468|mf|0|la
840|126407|mf|1|fw
841|75773|mf|0|la
842|77865|mf|0|la
845|86813|mf|0|fw
845|75773|mf|0|la
