_ts|player_id|place|ball|direc
0|54917|da|0|no
0|85971|da|0|no
1|26901|mf|1|fw
1|54917|mf|1|fw
2|26901|mf|1|fw
2|39847|mf|1|la
3|39847|mf|1|la
5|39194|di|1|la
7|119468|mf|0|fw
8|119468|mf|0|fw
8|39194|mf|0|la
13|39194|mf|0|la
19|170452|da|0|la
22|26901|oa|1|fw
25|76542|di|0|la
27|76542|da|0|no
28|85971|mf|0|la
31|8924|di|0|la
32|8924|di|1|la
37|60772|da|1|la
40|85971|mf|0|la
41|34949|di|0|la
41|85971|oi|0|la
67|60772|da|0|la
71|98762|mf|1|la
73|98762|oi|0|fw
73|39194|di|0|la
83|39194|mf|0|la
85|170452|di|0|fw
86|116694|mf|0|fw
91|77865|mf|1|fw
92|77865|oi|1|fw
95|75773|oi|1|fw
96|75773|oi|1|fw
97|170452|mf|1|fw
98|170452|mf|1|fw
100|76542|mf|1|fw
101|76542|mf|1|fw
102|77864|mf|1|fw
103|77864|mf|1|fw
106|77875|mf|1|la
108|18679|mf|0|fw
109|18679|mf|1|fw
111|154976|mf|1|fw
112|154976|mf|0|fw
112|77875|mf|0|la
123|77875|mf|0|la
124|154976|mf|0|fw
127|39847|mf|1|fw
128|39847|oi|1|la
131|54917|oi|1|la
132|54917|oa|0|fw
132|77875|da|0|la
155|170450|da|0|la
160|39104|di|0|la
160|116694|oi|0|fw
161|39104|di|1|la
161|116694|da|0|no
162|34949|di|0|la
162|77865|oi|0|fw
163|77865|oi|1|fw
227|34949|di|1|la
228|77864|mf|0|la
228|60772|da|0|la
230|26901|da|0|no
230|77864|da|0|no
238|98762|mf|0|la
240|119468|mf|0|fw
241|119468|mf|1|fw
242|170452|mf|1|fw
243|170452|mf|1|fw
246|116694|oi|0|fw
247|26901|di|0|la
247|116694|oi|0|fw
264|39194|di|0|la
265|41184|mf|0|la
266|41184|mf|1|la
268|26901|mf|1|la
269|41184|da|0|no
269|119468|mf|0|fw
272|77864|mf|0|fw
273|39847|mf|0|la
273|75773|mf|0|fw
275|39194|mf|1|la
276|54917|da|0|no
279|77864|di|0|fw
279|54917|oi|0|la
284|54917|oi|0|la
290|26901|oa|0|fw
291|26901|oa|1|la
292|39194|oi|1|la
293|39194|oi|1|la
294|34949|mf|1|la
295|34949|mf|1|la
297|8924|mf|1|fw
298|8924|mf|1|fw
301|85971|mf|0|la
301|18679|mf|0|fw
304|77864|di|0|la
304|8924|mf|0|fw
336|170450|di|0|la
340|39104|di|0|la
340|116694|oi|0|fw
341|39104|di|1|la
341|41184|di|1|la
342|41184|di|1|la
343|54917|di|0|la
345|76542|mf|0|fw
346|39194|mf|1|la
350|77864|di|1|fw
351|76542|mf|0|fw
352|39847|mf|1|la
355|54917|oa|0|fw
356|77864|da|0|la
