_ts|player_id|place|ball|direc
0|12237|da|0|no
0|105835|da|0|no
1|18507|mf|1|la
1|20664|mf|1|la
2|54104|mf|1|la
2|20664|mf|1|la
3|54104|mf|1|la
3|41328|di|1|fw
4|41328|di|1|fw
8|37793|di|1|la
9|37793|di|1|la
13|4232|da|1|la
19|48853|di|0|la
20|42565|mf|1|la
20|20664|mf|1|fw
23|42565|mf|1|la
26|122779|mf|0|la
27|105835|mf|1|la
28|105835|mf|1|la
29|83531|mf|1|la
30|83531|mf|1|la
33|37265|mf|1|fw
34|37265|mf|1|fw
37|122779|oi|1|la
38|122779|oa|1|la
41|42565|oa|0|fw
41|37793|da|0|la
44|42565|oa|1|fw
44|105835|oa|0|fw
44|3508|da|0|la
45|52356|da|0|la
45|105835|oa|0|fw
73|37265|oa|0|fw
74|52356|da|0|la
76|37269|oa|0|fw
77|52356|da|0|la
77|37269|oa|0|fw
102|4232|da|0|la
108|18507|oi|1|fw
109|37269|di|0|la
111|37269|di|0|la
114|48853|da|1|la
114|18507|oa|0|fw
120|41328|oa|0|fw
121|20664|oi|1|fw
122|105835|da|1|la
123|122779|da|1|la
124|20664|oa|0|fw
125|49579|oa|1|fw
126|20664|oa|0|fw
127|118749|da|0|la
130|118749|da|0|la
131|20664|oa|0|fw
131|118749|da|0|la
137|49579|oa|0|fw
137|41328|oa|0|fw
138|49579|oa|1|fw
139|41328|oa|0|fw
140|118749|di|0|la
140|41328|oi|0|fw
147|122779|di|0|la
151|42565|di|0|la
151|41328|oi|0|fw
176|33148|di|0|la
179|37265|oi|0|fw
179|17861|di|0|la
180|17861|da|0|la
182|122779|oi|1|la
185|105835|oi|1|la
186|49579|da|0|la
188|37793|da|0|la
190|42565|mf|0|la
190|37793|mf|0|fw
194|37269|mf|0|la
196|48853|di|0|la
197|48853|di|1|la
199|33148|da|1|la
200|33148|da|1|la
203|48853|di|1|la
204|48853|di|1|la
210|33148|da|1|la
211|33148|da|1|la
212|4232|da|0|la
219|4232|da|1|la
223|18507|mf|0|la
223|100981|mf|0|fw
224|118749|mf|1|fw
225|3508|mf|1|la
227|20664|mf|1|fw
228|20664|oi|1|fw
229|49579|oi|1|fw
230|49579|oi|1|fw
232|37269|di|0|la
232|20664|oi|0|fw
234|42565|di|0|la
236|42565|di|1|la
237|122779|mf|1|la
238|122779|mf|1|la
241|37269|di|1|la
242|37269|di|1|la
249|48852|mf|1|fw
250|48852|mf|1|fw
258|37265|mf|1|fw
259|37265|mf|1|la
261|37269|mf|1|la
262|37269|mf|1|la
268|100981|mf|0|fw
270|12237|mf|0|la
270|100981|mf|0|fw
276|52356|mf|0|la
277|17861|mf|0|la
278|17861|mf|1|la
280|37793|di|1|la
281|37793|mf|1|la
282|54104|mf|1|la
283|54104|mf|1|la
283|3508|mf|1|la
284|3508|mf|1|la
286|52356|mf|1|la
288|118749|mf|0|fw
290|54104|mf|0|la
291|12237|mf|1|la
292|100981|mf|0|fw
295|17861|di|0|la
297|100981|oi|0|fw
297|17861|di|0|la
311|37265|oi|0|fw
311|48852|oi|0|fw
312|37265|oi|1|fw
313|48852|oi|1|fw
313|3508|di|0|la
314|48852|oi|0|fw
314|3508|di|0|la
331|42565|oi|0|fw
331|48852|oi|0|fw
332|42565|oi|1|fw
332|48852|oi|1|fw
333|48852|oi|1|fw
338|52356|di|0|la
338|37265|oi|0|fw
340|52356|di|0|la
340|37265|oi|0|fw
343|48852|oi|0|fw
344|83531|mf|1|fw
345|20664|mf|0|la
347|20664|mf|1|la
350|12237|mf|1|la
352|48853|di|0|la
353|48853|di|1|la
354|122779|di|1|la
355|122779|di|1|la
357|105835|mf|1|la
358|105835|mf|1|la
361|48853|di|1|la
362|48853|di|1|la
362|118749|di|1|la
363|118749|di|1|la
367|100981|di|1|fw
371|41328|di|1|la
373|4232|da|0|la
374|4232|da|0|la
376|17861|da|0|la
377|17861|da|1|la
380|37793|mf|1|la
381|37793|mf|1|la
382|49579|mf|1|fw
383|49579|mf|1|fw
387|42565|mf|0|la
387|37793|mf|0|fw
388|42565|mf|0|la
391|42565|mf|1|la
394|4232|da|0|la
395|4232|da|0|la
400|17861|di|0|la
401|17861|mf|1|la
403|3508|mf|1|la
404|3508|mf|1|la
407|41328|mf|1|fw
408|41328|mf|1|fw
409|54104|mf|1|fw
410|54104|mf|1|fw
414|12237|mf|0|fw
414|118749|mf|0|la
416|100981|mf|0|la
418|105835|mf|1|la
419|49579|mf|1|fw
419|54104|mf|0|fw
420|49579|mf|1|fw
420|3508|mf|1|fw
421|3508|mf|1|fw
421|41328|mf|1|fw
422|3508|mf|1|fw
422|41328|mf|1|fw
423|3508|mf|1|fw
424|18507|oi|1|fw
425|18507|oi|1|fw
426|54104|mf|1|fw
427|54104|mf|1|fw
428|20664|mf|1|la
429|20664|mf|1|la
432|52356|oi|1|la
433|52356|oi|1|la
435|3508|mf|1|la
436|3508|mf|1|la
441|37265|mf|0|fw
441|12237|mf|0|la
475|3508|oi|0|la
481|33148|da|0|la
485|100981|da|0|la
488|42565|da|1|la
489|42565|da|1|la
490|49579|oi|0|fw
490|83531|di|1|la
491|49579|oi|1|fw
495|33148|da|0|la
498|33148|da|0|la
504|37269|di|0|la
505|37269|di|1|la
508|33148|da|1|la
509|49579|oa|0|fw
509|33148|da|0|la
514|41328|oa|0|fw
516|49579|oi|0|fw
516|122779|di|0|la
518|20664|oi|1|fw
518|3508|oi|1|fw
519|3508|oi|1|fw
525|41328|oa|0|fw
528|48852|da|0|la
529|48852|da|1|la
531|37265|mf|0|fw
531|17861|mf|0|la
532|17861|mf|1|la
533|52356|mf|1|la
535|37265|di|0|fw
