_ts|player_id|place|ball|direc
0|12237|da|0|no
0|8533|da|0|no
1|12237|mf|1|la
1|18507|mf|1|la
2|12237|mf|1|la
3|52356|mf|1|la
4|52356|mf|1|la
7|17861|di|1|la
8|17861|di|1|la
12|54104|di|1|la
13|54104|di|1|la
19|18221|di|1|la
20|18221|mf|1|fw
21|18507|mf|0|fw
21|21095|mf|0|la
32|20664|mf|0|fw
33|3508|mf|0|la
34|12237|mf|1|la
34|3508|mf|1|la
35|12237|mf|1|la
38|17861|mf|1|la
39|17861|mf|1|la
40|54104|mf|1|la
41|17861|di|1|la
41|54104|mf|1|la
42|17861|di|1|la
45|18221|di|1|la
46|18221|di|1|la
46|20664|mf|1|fw
47|20664|mf|1|fw
49|5816|mf|1|la
50|5816|mf|1|la
52|3508|mf|1|la
53|54104|di|1|la
53|3508|mf|1|la
54|54104|di|1|la
59|17861|mf|1|la
63|72162|da|0|la
64|72162|da|0|la
66|21095|di|0|la
67|21095|di|1|la
69|72162|da|1|la
70|72162|da|1|la
73|18221|mf|0|fw
73|8533|mf|0|la
75|17861|mf|0|la
76|54104|mf|0|la
77|15403|mf|0|fw
77|54104|mf|0|la
78|3508|di|0|la
79|52356|di|1|la
79|3508|di|1|la
80|52356|di|1|la
80|54104|mf|1|la
81|52356|di|1|la
81|54104|mf|1|la
82|52356|di|1|la
84|12237|mf|1|la
85|12237|di|1|la
91|18221|di|1|la
95|52940|di|0|fw
95|18507|oi|0|la
98|39204|di|1|la
100|58877|di|0|la
102|58877|di|1|la
103|18221|mf|0|fw
103|8533|mf|0|la
104|8533|mf|1|la
106|17861|di|1|la
107|15076|mf|1|la
111|18221|di|1|fw
112|54104|di|0|fw
113|54104|di|1|fw
114|20664|mf|1|fw
115|15076|mf|0|la
116|39204|mf|1|la
116|15076|mf|1|la
117|39204|mf|1|la
118|85352|mf|1|la
119|85352|mf|1|la
120|58877|mf|1|la
121|58877|mf|1|la
124|85352|di|1|la
125|85352|di|1|la
128|72162|da|1|la
132|18221|mf|1|fw
134|39204|mf|0|fw
134|3508|mf|0|la
135|15076|mf|1|la
136|8533|mf|1|la
137|8533|mf|1|la
138|58877|mf|1|la
139|58877|mf|1|la
140|15076|mf|1|la
141|58877|mf|1|la
141|15076|mf|1|la
142|58877|mf|1|la
144|85352|di|1|la
145|85352|di|1|la
147|21095|di|1|la
148|21095|di|1|fw
149|78140|mf|1|fw
150|78140|mf|1|fw
152|72162|da|1|la
153|72162|da|1|la
156|15076|mf|1|la
157|17861|mf|0|la
158|17861|mf|1|la
159|52356|mf|1|la
163|52356|mf|0|la
163|78140|mf|0|fw
168|52356|mf|0|la
174|3508|mf|0|la
175|3508|mf|1|la
178|41328|mf|0|fw
180|85352|mf|0|la
181|41328|mf|0|fw
181|85352|mf|0|la
196|41328|mf|0|fw
197|18221|mf|0|fw
198|18221|mf|1|fw
199|17861|mf|1|la
200|17861|mf|1|la
202|3508|mf|1|la
203|3508|mf|1|la
205|20664|mf|1|fw
206|20664|mf|1|fw
207|5816|mf|1|fw
208|5816|mf|1|fw
210|3508|mf|1|la
213|72162|da|0|no
214|72162|da|0|la
222|72162|da|1|la
227|72162|oi|0|la
227|41328|di|0|fw
241|41328|di|0|fw
242|3508|di|0|fw
243|54104|di|1|fw
243|3508|di|1|fw
244|54104|di|1|fw
246|41328|di|1|fw
247|58877|mf|0|la
248|58877|da|0|no
248|41328|di|0|fw
257|41328|di|0|fw
259|20664|mf|0|fw
260|20664|mf|1|fw
263|18507|mf|1|fw
264|18507|mf|1|fw
265|5816|mf|1|fw
266|5816|mf|1|fw
268|41328|mf|1|fw
269|41328|mf|1|fw
271|20664|mf|1|fw
272|20664|mf|1|fw
273|5816|mf|1|fw
274|5816|mf|1|fw
275|3508|mf|1|fw
276|3508|mf|1|fw
281|52356|mf|1|la
282|52356|oi|1|la
283|12237|oi|1|la
284|12237|oi|1|la
