_ts|player_id|place|ball|direc
0|49195|da|0|no
0|43575|da|0|no
1|148179|mf|1|fw
1|42173|mf|1|fw
2|42173|mf|1|fw
3|50947|di|1|la
4|50947|di|1|la
5|98780|di|1|fw
6|98780|di|1|fw
9|42173|oi|0|fw
11|41909|di|0|la
13|41909|da|0|la
13|42173|oa|0|fw
36|20695|oa|0|fw
38|19160|da|0|la
43|98780|oi|1|fw
44|21123|di|1|la
49|98780|oi|0|fw
49|40772|di|0|la
54|21123|mf|0|la
56|19160|di|0|la
57|19160|di|1|la
59|27335|mf|1|fw
60|27335|mf|1|fw
64|40772|mf|1|fw
66|98783|di|0|la
70|98783|oa|0|fw
70|40772|da|0|la
78|27335|da|0|fw
81|19160|da|0|la
82|19160|da|1|la
87|41909|di|1|la
88|42173|oi|0|fw
92|41909|da|0|la
92|42173|oa|0|fw
109|11973|da|0|la
110|19160|di|0|la
111|19160|mf|1|fw
112|21123|mf|1|fw
113|21123|mf|1|fw
115|68312|mf|1|fw
116|68312|mf|1|fw
119|40772|mf|1|fw
120|98780|di|0|fw
123|98780|mf|1|fw
126|41909|di|0|la
126|42173|oi|0|fw
127|41909|di|0|la
127|42173|oi|0|fw
146|98780|mf|0|fw
148|42173|oi|1|fw
149|40772|di|0|la
150|42173|oi|0|fw
150|40772|mf|0|la
160|98780|mf|0|fw
160|20695|oi|0|fw
161|20695|oi|1|fw
165|98780|mf|1|fw
166|98780|mf|1|fw
166|20695|oi|1|fw
167|20695|oi|1|fw
169|21123|di|0|la
169|50947|oi|0|fw
172|21123|di|0|la
172|50947|oi|0|fw
207|12631|oi|0|fw
210|11973|da|0|la
216|11973|da|0|la
218|41909|di|0|la
219|41909|di|1|la
220|69305|mf|1|la
221|69305|mf|1|la
222|41909|di|1|la
223|41909|di|1|la
225|43575|mf|0|la
226|12625|mf|1|fw
228|50947|mf|0|fw
228|40772|mf|0|la
229|50947|mf|1|fw
232|49195|mf|1|la
233|49195|mf|1|la
239|148179|oa|0|fw
241|19160|da|0|la
243|148179|oa|0|fw
243|19160|da|0|la
255|49195|oa|0|fw
256|20695|oa|0|fw
257|20695|oa|1|fw
265|49195|oa|0|fw
267|49195|oa|0|fw
267|27335|da|0|la
300|11973|da|0|la
305|50947|mf|0|fw
307|69305|mf|1|la
310|49195|mf|0|la
313|49195|mf|0|la
313|68312|mf|0|fw
315|68312|mf|0|la
319|147744|mf|0|la
319|43575|mf|0|fw
322|40772|mf|1|fw
326|12631|da|0|la
326|27335|oa|0|fw
328|27335|oa|0|fw
331|12631|da|0|la
331|27335|oa|0|fw
358|58966|da|0|la
360|12631|di|0|la
361|12631|di|1|la
367|58966|da|1|la
370|41909|mf|0|la
370|42173|mf|0|fw
371|41909|mf|0|la
374|12625|mf|1|fw
377|20695|oi|1|fw
378|20695|oi|1|fw
383|42173|mf|0|fw
383|40772|mf|0|la
384|42173|oi|1|fw
385|41909|di|0|la
390|148179|oi|0|fw
390|41909|di|0|la
407|11973|di|0|la
409|21123|di|0|la
410|21123|di|1|fw
411|68312|mf|1|fw
412|68312|mf|1|fw
418|19160|di|1|la
419|19160|mf|1|fw
420|68312|mf|0|fw
422|12631|di|1|la
428|11973|da|0|la
429|11973|da|0|la
430|19160|di|0|la
431|19160|di|1|la
434|21123|di|1|fw
435|21123|mf|1|fw
439|27335|mf|1|fw
441|98783|di|0|la
442|98783|di|0|la
442|27335|oi|0|fw
449|27335|oi|0|fw
451|68312|oa|0|fw
452|68312|oa|1|fw
453|21123|oi|1|fw
454|21123|oa|0|fw
454|12631|da|0|la
489|12631|da|0|la
492|21123|mf|0|fw
492|148179|mf|0|la
494|21123|mf|1|fw
495|40772|mf|0|fw
496|19160|mf|1|fw
497|19160|mf|1|fw
501|11973|da|1|la
502|11973|di|1|la
504|19160|di|1|la
505|19160|di|1|la
510|21123|mf|1|fw
513|98783|da|0|la
513|21123|oa|0|fw
539|58966|da|0|la
540|98780|da|0|la
541|98780|da|1|la
543|58966|da|1|la
544|58966|da|1|la
552|98783|mf|1|la
556|11973|da|0|la
563|11973|da|0|la
565|19160|di|0|la
566|19160|di|1|la
567|84450|mf|0|fw
568|148179|mf|0|la
569|21123|mf|0|fw
569|148179|mf|0|la
570|148179|mf|0|la
570|84450|mf|0|fw
572|21123|di|0|fw
572|148179|oi|0|la
574|84450|mf|1|fw
574|40772|mf|1|fw
575|84450|mf|1|fw
575|40772|mf|1|fw
576|84450|mf|1|fw
579|27335|mf|0|fw
581|27335|oi|1|fw
583|43575|oa|1|fw
584|43575|oa|1|fw
585|27335|oa|0|fw
587|58966|da|0|la
592|58966|da|0|la
597|98780|mf|0|fw
598|98780|mf|1|fw
600|20695|oi|1|fw
601|20695|mf|1|fw
606|50947|mf|1|fw
607|50947|oa|0|la
607|43575|da|0|la
641|27335|da|0|fw
642|84450|di|0|fw
643|84450|di|1|fw
646|147744|oi|0|la
646|68312|di|0|fw
652|21123|mf|0|fw
652|27335|mf|0|fw
653|21123|mf|1|fw
653|27335|di|1|fw
654|27335|mf|1|fw
656|19160|di|1|fw
657|19160|di|1|fw
658|40772|mf|1|fw
659|19160|di|1|la
659|40772|mf|1|la
660|19160|di|1|la
663|21123|mf|1|fw
664|21123|mf|1|fw
666|27335|mf|1|fw
667|27335|mf|1|fw
669|21123|mf|1|fw
670|49195|mf|0|la
671|49195|mf|0|la
672|49195|mf|1|la
674|148179|mf|0|la
675|40772|mf|0|fw
676|40772|mf|1|fw
677|49195|mf|0|la
678|49195|mf|0|la
678|40772|mf|0|fw
683|27335|mf|0|fw
685|19160|di|0|fw
686|19160|di|1|fw
688|40772|mf|1|la
689|40772|mf|1|la
697|11973|da|1|la
698|11973|da|1|la
698|19160|di|1|la
699|19160|di|1|la
703|21123|mf|1|fw
704|21123|mf|1|fw
704|40772|mf|1|fw
705|40772|mf|1|fw
709|81048|oa|0|fw
709|12625|da|0|la
710|81048|oa|0|fw
713|98780|da|0|no
713|81048|oa|0|la
721|98780|da|0|fw
724|42173|mf|1|fw
727|19160|di|1|la
730|27335|di|1|la
731|27335|di|1|la
734|41909|di|1|la
735|41909|mf|1|la
736|19160|di|1|la
737|19160|di|1|la
742|21123|mf|1|fw
743|21123|mf|1|fw
744|84450|oi|1|fw
745|84450|oi|0|fw
747|84450|oa|0|fw
747|42173|da|0|la
771|58966|da|0|la
774|12625|di|0|fw
775|12625|di|1|fw
778|58966|da|1|la
779|58966|da|1|la
785|98783|da|1|la
786|98783|di|1|la
787|42173|oi|1|fw
788|42173|oi|1|fw
792|12631|mf|1|la
793|147744|oa|0|fw
793|69305|da|0|la
814|69305|da|0|la
817|12625|mf|0|fw
817|41909|da|0|la
837|11973|da|0|la
840|19160|di|0|la
841|19160|di|1|la
842|40772|mf|1|la
843|40772|mf|1|la
846|21123|mf|1|fw
847|21123|mf|1|fw
849|27335|mf|1|fw
850|27335|mf|1|fw
855|12631|di|0|la
855|68312|oi|0|fw
863|27335|oi|0|fw
864|21123|mf|0|fw
865|21123|mf|1|fw
865|84450|mf|1|fw
866|84450|mf|1|fw
868|147744|mf|0|la
868|21123|mf|0|fw
869|147744|mf|0|la
871|147744|mf|1|la
873|21123|mf|0|fw
873|49195|mf|0|la
874|49195|mf|1|la
875|21123|mf|0|fw
876|19160|di|0|fw
878|11973|da|1|la
879|11973|da|1|la
882|27335|da|1|fw
883|27335|da|1|fw
885|12631|mf|0|la
885|68312|mf|0|fw
887|12631|mf|0|la
887|68312|mf|0|fw
897|27335|mf|0|fw
898|68312|mf|0|fw
899|68312|mf|1|fw
900|40772|mf|1|fw
901|40772|mf|1|fw
908|68312|mf|1|fw
909|68312|mf|1|la
912|84450|oi|1|la
913|84450|oi|1|la
915|69305|oa|0|la
916|12625|da|0|la
918|69305|oa|0|la
918|12625|da|0|fw
923|69305|oa|0|la
928|50947|di|0|la
928|40772|oi|0|fw
929|40772|oi|1|fw
932|68312|oi|0|fw
932|50947|di|0|la
933|68312|oa|0|fw
933|58966|da|0|la
942|58966|da|0|la
954|58966|da|0|la
957|98783|di|0|la
958|98783|di|1|la
960|12631|di|1|la
961|12631|di|1|la
962|49195|mf|1|la
963|49195|mf|1|la
968|12631|di|1|la
969|12631|mf|1|la
971|98783|di|1|la
972|98783|di|1|la
974|58966|da|1|la
975|58966|da|1|la
