_ts|player_id|place|ball|direc
0|68312|mf|1|fw
0|52156|da|0|no
0|19927|da|0|no
1|68312|mf|1|fw
4|40772|mf|1|la
6|40784|di|1|la
9|21123|mf|1|fw
10|84450|oi|1|fw
11|84450|oi|1|fw
12|68312|oi|1|fw
13|68312|oi|1|fw
16|69305|oi|1|la
17|69305|oi|0|la
17|27334|di|0|fw
22|41909|mf|1|la
25|19160|di|1|la
26|19160|di|1|la
27|27335|mf|1|fw
28|27335|mf|1|fw
31|84450|oi|1|fw
32|14075|di|0|la
34|27334|da|0|la
39|37915|da|1|la
40|37915|da|1|la
45|40784|da|1|la
46|40784|di|1|la
49|37915|da|1|la
50|37915|da|1|la
52|90152|di|1|fw
53|90152|di|1|fw
56|40784|di|1|la
57|40784|di|1|la
59|90152|di|1|fw
60|90152|di|1|fw
63|52156|mf|0|la
63|27334|mf|0|fw
65|52156|mf|0|la
65|27334|mf|0|fw
71|27334|mf|0|fw
73|69305|di|1|la
74|40772|di|1|la
75|40772|di|1|la
78|11973|da|0|la
80|11973|da|0|la
83|19160|da|0|la
84|19160|di|1|la
85|27335|di|1|fw
86|27335|di|1|fw
88|19160|di|1|fw
89|19160|di|1|fw
93|84450|mf|0|fw
93|40784|mf|0|la
94|84450|mf|1|fw
94|40784|mf|0|la
95|14075|di|0|la
95|60841|mf|0|fw
98|90152|di|1|la
101|40784|di|1|la
102|40784|di|1|la
103|90152|di|1|la
104|90152|di|1|la
109|37915|da|1|la
110|37915|da|1|la
114|90152|di|1|la
115|90152|mf|1|fw
119|69305|da|0|la
119|44346|oa|0|fw
121|69305|da|0|la
123|69305|da|1|la
126|44346|oa|0|fw
128|69305|da|0|la
128|44346|oa|0|fw
141|69305|da|0|la
144|27334|mf|1|fw
146|45268|oi|1|fw
150|27335|di|0|fw
153|68312|mf|1|fw
154|68312|mf|1|la
159|52156|mf|0|la
159|27334|mf|0|fw
161|52156|mf|0|la
164|40772|mf|1|la
165|27334|di|0|la
165|40772|oi|0|fw
183|14075|di|0|la
185|44346|mf|0|la
185|19160|mf|0|fw
187|40772|da|0|no
202|14075|mf|0|la
205|19927|mf|0|la
206|19927|mf|1|la
209|27334|oa|1|fw
210|69305|da|0|la
213|11973|da|0|la
