_ts|player_id|place|ball|direc
0|40720|mf|1|la
0|33668|da|0|no
0|12273|mf|1|la
0|28392|da|0|no
1|12273|mf|1|la
2|37510|mf|1|fw
3|37510|mf|1|fw
6|32281|di|1|la
7|32281|di|1|la
9|32284|mf|1|fw
10|32284|mf|1|fw
11|59351|mf|1|fw
12|59351|mf|1|fw
20|28434|di|1|la
21|28434|mf|1|fw
24|28392|mf|0|la
24|32284|mf|0|fw
26|32284|mf|1|fw
27|28392|mf|0|la
27|32284|mf|0|fw
45|34355|mf|0|la
49|99127|mf|0|la
51|99127|mf|0|la
51|32284|mf|0|fw
58|32284|mf|0|fw
58|28434|di|0|fw
59|28434|di|1|fw
62|59351|di|1|la
63|59351|di|1|la
65|43693|mf|1|la
66|77760|mf|0|fw
67|43693|mf|0|la
67|77760|mf|0|fw
75|43693|mf|0|la
79|32281|di|0|la
80|32281|mf|1|la
82|33668|mf|0|la
82|77760|mf|0|fw
85|99128|di|0|fw
85|33668|oi|0|la
87|99128|di|0|fw
87|33668|oi|0|la
98|43693|oi|0|la
100|105021|da|0|la
102|37510|oi|1|fw
104|37084|di|1|fw
105|77760|di|0|fw
106|12273|oi|0|fw
109|77760|da|0|no
110|105021|di|0|la
111|28434|di|1|la
112|59351|mf|0|la
112|61960|mf|0|fw
113|61960|mf|1|fw
114|99127|mf|0|fw
120|99127|oa|0|la
120|37510|da|0|fw
121|99127|oa|0|la
122|99127|oa|0|la
122|37510|da|0|fw
137|32284|di|0|fw
138|49464|di|0|fw
138|34355|oi|0|la
139|34355|oi|1|la
140|49464|di|0|fw
140|34355|oi|0|la
147|32284|di|0|fw
149|28434|di|1|fw
153|105021|di|1|la
154|49464|oi|0|fw
156|49464|oi|0|fw
156|105021|di|0|la
171|34355|di|0|la
172|61960|mf|0|la
173|61960|mf|1|la
176|49464|oi|0|fw
176|34355|di|1|la
177|34355|di|1|la
179|49464|oa|0|fw
179|105021|da|0|la
198|28411|da|0|la
200|99128|di|0|la
201|99128|di|1|fw
204|77760|di|1|fw
205|77760|di|1|fw
206|105021|di|1|la
207|105021|di|1|la
210|34352|di|1|la
211|34352|di|1|la
212|34355|mf|1|la
213|34355|mf|1|la
214|34352|di|1|la
215|34352|di|1|la
216|105021|di|1|la
217|105021|di|1|la
221|99128|di|1|fw
222|99128|di|1|fw
223|99127|mf|1|fw
224|99127|mf|1|fw
227|37084|mf|0|fw
227|33668|da|0|no
227|59351|mf|0|la
239|77760|mf|0|fw
241|37084|mf|1|fw
242|32281|da|0|la
244|42864|da|0|la
245|42864|da|0|la
248|32284|di|0|fw
249|32284|di|1|fw
254|49464|mf|0|fw
254|28392|mf|0|la
256|28392|mf|0|la
258|61960|mf|1|la
259|99127|oi|1|fw
259|61960|mf|1|la
260|99127|oi|1|fw
263|37084|mf|0|fw
263|59351|mf|0|la
264|59351|mf|0|la
265|37084|mf|0|la
265|59351|mf|0|fw
268|34355|mf|0|la
269|105021|di|1|la
270|105021|di|1|la
272|102683|mf|1|la
273|102683|mf|1|la
274|61960|mf|1|fw
275|99128|di|1|la
275|61960|mf|1|fw
276|99128|di|1|la
276|34352|di|1|la
277|34352|di|1|la
279|102683|mf|1|la
280|102683|mf|1|la
281|28392|mf|1|la
282|28392|mf|1|la
285|105021|di|1|la
287|105021|oi|0|fw
287|59351|di|0|la
301|43693|di|0|la
302|33668|mf|0|la
303|43693|mf|1|la
303|33668|mf|1|la
304|43693|mf|1|la
304|59351|mf|1|la
305|59351|mf|1|la
306|37510|di|1|la
307|37510|di|1|la
310|32284|mf|1|fw
311|32284|mf|1|fw
313|12273|mf|1|fw
314|12273|mf|1|fw
315|37510|mf|1|fw
316|37510|mf|1|fw
316|59351|mf|1|fw
317|59351|mf|1|fw
321|28434|di|1|la
322|28434|mf|1|fw
323|12273|mf|1|fw
324|12273|mf|1|fw
326|37510|mf|1|fw
327|37510|mf|1|fw
331|43693|di|1|la
334|77760|mf|0|fw
335|43693|mf|1|la
337|33668|mf|1|la
339|99128|di|0|fw
339|43693|mf|0|la
350|43693|mf|0|la
350|59351|mf|0|la
351|59351|mf|1|la
353|33668|oi|1|la
356|34355|di|0|la
361|34355|di|0|la
363|34355|mf|0|la
363|33668|mf|0|fw
376|32284|mf|0|fw
377|49464|mf|0|fw
378|49464|mf|1|fw
379|37510|oi|1|fw
380|37510|oi|1|fw
380|12273|oi|1|fw
381|37510|oi|1|fw
381|12273|oi|1|fw
382|37510|oi|1|fw
383|33668|oi|1|fw
384|33668|oi|1|fw
386|43693|oi|1|la
387|102683|da|0|la
389|59351|oi|0|fw
389|61960|di|0|la
392|28392|mf|0|la
394|32284|mf|1|fw
395|28434|mf|1|la
396|28434|mf|1|fw
399|37510|mf|1|fw
400|37510|mf|1|fw
402|28434|mf|1|fw
403|28434|mf|1|fw
404|59351|mf|1|fw
405|59351|mf|1|la
409|32281|mf|1|la
410|32281|mf|1|la
413|43693|mf|1|la
416|105021|da|0|la
419|28411|da|0|la
429|28411|da|1|la
433|37084|mf|1|fw
434|37510|mf|0|la
437|37510|mf|1|la
439|99128|di|0|fw
441|77760|di|0|fw
443|32281|mf|1|la
447|99128|di|0|fw
451|99128|di|0|fw
451|40720|oi|0|la
452|99128|di|0|fw
452|40720|oi|0|la
460|43693|oi|0|la
460|40720|oi|0|la
461|40720|oi|1|la
464|43693|oi|0|la
464|77760|di|0|fw
466|37084|mf|0|fw
467|37084|mf|1|fw
468|99127|da|0|no
468|32281|mf|0|la
469|37084|mf|1|fw
470|59351|da|0|no
471|32281|mf|1|la
472|61960|mf|1|fw
472|77760|mf|1|fw
