_ts|player_id|place|ball|direc
0|33668|da|0|no
0|50175|da|0|no
1|77992|mf|1|fw
1|40720|mf|1|fw
2|40720|mf|1|fw
3|59351|mf|1|la
4|59351|mf|1|la
8|43693|di|1|fw
9|43693|di|1|fw
12|40720|oi|1|fw
13|9047|di|1|la
16|40720|mf|0|fw
16|9047|mf|0|la
27|43693|mf|0|fw
28|39336|oi|0|fw
29|39336|oi|1|fw
30|48863|oi|1|fw
31|48863|oi|1|fw
33|77992|oi|1|fw
34|77992|oi|1|fw
35|43693|oi|1|fw
38|7645|da|0|la
39|50175|di|1|la
41|59351|mf|0|fw
41|13017|di|0|la
43|50175|di|0|la
44|50175|mf|1|la
46|151883|mf|0|fw
47|151883|mf|0|fw
47|50175|mf|0|la
54|12745|mf|0|la
56|7645|di|0|la
57|7645|di|1|la
61|9047|mf|1|fw
62|9047|mf|1|fw
69|19419|di|1|fw
70|19419|di|1|fw
73|9047|mf|1|fw
74|103955|mf|1|fw
74|9047|mf|1|fw
75|103955|mf|1|fw
75|9047|mf|1|fw
76|56979|mf|1|fw
76|9047|mf|1|fw
77|56979|mf|1|fw
82|50175|mf|1|la
83|13017|oi|1|fw
83|50175|oi|1|la
84|13017|oi|1|fw
86|9047|oi|1|fw
88|32281|da|0|la
89|32281|da|0|la
89|9047|oa|0|fw
99|9047|oa|0|fw
101|103955|oa|0|fw
102|103955|oa|1|fw
104|55407|da|0|la
104|9047|oa|0|fw
107|1814|oi|0|fw
108|32281|da|0|la
112|12745|oi|1|fw
115|42864|da|0|no
116|42864|da|0|la
117|42864|da|0|la
119|42864|da|0|no
135|42864|da|1|la
137|56979|di|0|la
137|48863|mf|0|fw
139|77992|oi|0|fw
139|56979|di|0|la
150|12745|di|0|la
151|50175|mf|0|la
152|50175|mf|1|la
153|12745|di|1|la
154|12745|di|1|la
162|7645|di|1|la
164|151883|di|1|fw
165|77992|mf|1|fw
166|77992|mf|1|fw
167|43693|mf|0|fw
167|56979|mf|0|la
170|43693|mf|0|fw
170|12745|mf|1|la
171|56979|mf|1|la
171|48863|mf|0|fw
172|12745|di|0|la
173|12745|di|1|la
174|13017|mf|1|la
175|13017|mf|1|la
176|56979|mf|1|la
177|55407|mf|0|la
183|55407|mf|1|la
185|9047|di|1|fw
187|55407|mf|0|la
187|103955|mf|0|fw
190|77992|mf|0|la
190|1814|mf|0|fw
191|1814|mf|1|fw
192|55407|mf|0|la
192|40755|mf|0|fw
193|55407|mf|1|la
193|59351|mf|1|la
194|59351|mf|1|la
195|77992|mf|1|la
196|77992|mf|1|la
197|39336|oi|1|la
198|39336|oi|1|la
200|77992|mf|1|la
201|77992|mf|1|la
207|33668|oa|0|la
207|9047|da|0|fw
208|9047|da|0|fw
212|103955|di|0|fw
212|39336|oi|0|la
213|77992|oi|0|la
213|103955|di|0|fw
214|33668|oi|0|la
215|33668|oi|1|la
216|39336|oi|1|la
217|77992|oi|1|la
217|39336|oa|1|la
218|77992|oi|1|la
221|39336|oa|0|fw
222|19419|da|0|la
224|15749|da|0|la
225|15749|da|0|la
225|39336|oa|0|fw
255|39336|oa|0|la
258|15749|da|0|la
259|56979|da|0|la
259|39336|oa|0|fw
278|39336|oa|0|la
281|50175|da|0|la
282|19419|da|0|la
282|48863|oi|0|fw
285|15749|da|0|no
298|15749|da|0|la
299|12745|di|0|la
300|12745|di|1|la
301|7645|da|1|la
302|7645|da|1|la
304|15749|da|1|la
307|43693|mf|1|fw
310|77992|mf|0|fw
311|50175|mf|0|la
312|77992|mf|0|fw
312|50175|mf|0|la
334|43693|mf|0|fw
335|48863|mf|0|fw
335|50175|mf|0|la
337|12745|di|0|la
339|48863|oi|0|fw
339|12745|di|1|la
341|48863|mf|0|fw
341|12745|mf|0|la
346|56979|mf|0|la
346|12745|mf|0|la
347|56979|mf|1|la
348|12745|mf|1|la
349|12745|mf|1|la
349|13017|mf|1|la
350|13017|mf|1|la
353|1814|di|1|la
354|1814|di|1|la
358|9047|oi|0|fw
360|59351|da|0|la
362|48863|di|1|la
363|77992|di|1|la
364|56979|da|0|no
366|12745|oi|0|la
367|12745|oi|1|la
368|1814|mf|1|la
369|1814|mf|1|la
371|9047|mf|1|fw
372|9047|mf|1|fw
374|40755|oi|1|fw
375|40755|oi|1|fw
377|77992|di|0|la
377|103955|oi|0|fw
380|77992|di|0|la
380|103955|oi|0|fw
416|12745|oi|0|fw
418|40720|da|0|la
422|39336|di|0|fw
424|39336|di|1|fw
430|77992|oi|0|fw
430|56979|di|0|la
436|77992|oi|0|fw
438|43693|mf|0|fw
439|43693|mf|1|fw
442|151883|mf|1|fw
443|77992|mf|1|fw
443|151883|mf|1|fw
444|77992|mf|1|fw
446|151883|mf|1|fw
448|56979|mf|0|la
449|56979|mf|0|la
449|13017|mf|1|la
450|13017|mf|1|la
452|59351|mf|0|fw
452|12745|mf|0|la
453|59351|mf|0|fw
454|59351|mf|1|fw
456|48863|da|0|no
457|48863|mf|1|fw
461|77992|mf|0|fw
461|1814|mf|0|la
462|77992|mf|0|fw
462|1814|mf|0|la
471|43693|mf|0|fw
472|40720|oi|0|fw
473|40720|oi|1|fw
475|77992|oi|1|fw
476|77992|oi|1|fw
477|33668|oi|1|fw
478|33668|oi|1|fw
480|39336|oi|1|fw
481|15749|da|0|no
481|42864|da|0|no
482|15749|da|0|la
487|15749|da|1|la
490|40755|oi|1|la
491|40755|mf|1|la
494|50175|mf|1|la
495|50175|mf|1|la
499|40755|oi|1|fw
499|32281|da|0|la
501|32281|da|0|la
504|32281|da|0|no
559|13017|oi|0|fw
560|42864|da|0|la
560|13017|oa|0|fw
590|42864|da|0|la
591|19419|di|0|la
591|39336|oi|0|fw
592|19419|di|0|la
593|12745|di|0|la
595|43693|mf|0|fw
595|50175|da|0|no
624|7645|mf|0|la
624|56979|mf|0|la
625|56979|mf|1|la
626|12745|mf|1|la
627|12745|mf|1|la
629|56979|mf|1|la
630|56979|mf|1|la
631|7645|di|1|la
632|7645|di|1|la
634|15749|da|1|la
635|15749|da|1|la
640|19419|di|1|fw
641|19419|mf|1|fw
642|40755|mf|1|fw
643|40755|mf|1|fw
644|55407|di|0|la
644|9047|oi|0|fw
646|55407|mf|0|la
646|9047|mf|0|fw
660|9047|mf|0|fw
663|32281|di|0|la
664|32281|di|0|la
664|9047|oi|0|fw
675|9047|oi|0|fw
678|55407|da|0|la
679|33668|di|1|la
680|56979|mf|1|fw
682|1814|da|0|no
683|1814|mf|1|fw
688|7645|mf|1|fw
689|7645|mf|1|fw
691|55407|mf|0|la
691|103955|mf|0|fw
692|103955|mf|1|fw
693|32281|di|0|la
694|103955|mf|0|fw
694|32281|mf|0|la
712|9047|mf|0|fw
714|40755|oi|0|fw
715|40755|oi|1|fw
716|9047|mf|1|fw
718|55407|di|1|la
719|1814|mf|1|fw
725|1814|oa|0|fw
725|32281|da|0|la
750|42864|da|0|la
755|7645|di|0|la
756|56979|di|1|la
757|12745|di|0|la
758|12745|di|1|la
