_ts|player_id|place|ball|direc
0|17733|da|0|no
0|15338|da|0|no
1|20226|mf|1|fw
1|15338|mf|1|fw
2|37368|mf|1|la
2|20226|mf|1|fw
3|37368|mf|1|la
4|15517|mf|1|fw
5|15517|mf|1|fw
7|60210|mf|0|fw
8|15207|di|0|la
8|60210|oi|0|fw
16|41316|di|0|la
20|38392|da|0|la
21|38392|da|1|la
22|17127|di|1|la
23|17127|di|1|la
25|15207|di|1|la
26|15207|di|1|la
27|38392|di|1|la
28|38392|di|1|la
29|44989|mf|1|la
30|44989|mf|1|la
31|15207|mf|1|la
32|15207|mf|1|la
33|17127|mf|1|fw
34|17127|mf|1|fw
36|15208|mf|1|fw
37|15208|mf|1|fw
39|15207|mf|1|fw
40|15207|mf|1|fw
44|40691|mf|1|fw
45|40691|mf|1|fw
46|15208|mf|1|fw
47|15208|mf|1|fw
47|44989|mf|1|fw
48|44989|mf|1|fw
50|15207|mf|1|fw
51|15207|mf|1|fw
51|15208|mf|1|fw
51|44989|mf|1|fw
52|15208|mf|1|fw
52|44989|mf|1|fw
55|15208|mf|1|fw
56|15208|mf|1|fw
57|44989|mf|1|fw
58|44989|mf|1|fw
61|55634|oi|1|fw
62|12875|da|0|la
64|12875|di|0|la
64|55634|oi|0|fw
71|40691|oi|0|fw
76|17127|mf|0|fw
77|17127|mf|1|fw
78|15207|oi|1|fw
79|15207|oi|1|fw
80|15208|oi|1|fw
80|55634|oi|1|fw
81|15208|oi|1|fw
81|55634|oi|1|fw
83|37605|oa|1|fw
84|37605|oa|1|fw
85|40691|oi|1|fw
86|40691|oi|0|fw
88|55634|oa|0|fw
90|17733|oa|0|fw
90|15338|da|0|la
109|15337|da|0|la
113|20388|da|0|la
114|20388|da|1|la
116|17127|di|1|fw
117|17127|di|1|fw
118|15208|mf|1|fw
119|15208|mf|1|fw
120|17127|mf|1|fw
121|17127|mf|1|fw
121|15208|mf|1|fw
122|15208|mf|1|fw
124|15207|di|1|la
125|15207|mf|1|la
126|15208|mf|1|la
127|15208|mf|1|la
128|44989|mf|1|la
129|38392|mf|1|la
129|44989|mf|1|la
130|38392|mf|1|la
132|15207|mf|1|la
133|15207|mf|1|fw
134|17127|mf|1|fw
135|17127|mf|1|fw
138|40691|mf|1|fw
139|40691|mf|1|fw
140|60207|da|0|no
140|55634|oi|0|fw
153|15517|da|0|la
154|37368|di|0|la
155|15517|da|1|la
155|37368|di|1|la
156|15517|da|1|la
157|15337|da|1|la
163|20388|di|0|la
164|20388|di|1|la
168|17127|di|1|fw
169|17127|mf|1|fw
169|15207|mf|1|fw
170|15207|mf|1|fw
174|17127|mf|1|fw
175|17127|mf|1|fw
175|15208|mf|1|fw
176|15208|mf|1|fw
179|17127|mf|1|fw
180|17127|mf|1|fw
181|40691|mf|1|fw
182|40691|mf|1|fw
183|17127|mf|1|fw
184|17127|mf|1|fw
184|15207|mf|1|fw
185|15207|mf|1|fw
186|17127|mf|1|fw
187|17127|mf|1|fw
190|20388|da|1|la
191|20388|da|1|la
194|38392|di|1|la
195|38392|di|1|la
197|15207|di|1|la
198|15207|di|1|la
200|17127|mf|1|fw
201|17127|mf|1|fw
204|40691|mf|1|fw
205|40691|mf|1|fw
206|17127|mf|1|fw
207|17127|mf|1|fw
210|37605|mf|1|fw
211|37605|mf|1|fw
212|17127|mf|1|fw
213|17127|mf|1|fw
213|15207|mf|1|fw
214|15207|mf|1|fw
214|44989|mf|1|fw
215|15207|mf|1|fw
215|44989|mf|1|fw
217|37605|mf|1|fw
218|37605|mf|1|fw
219|17127|mf|1|fw
220|17127|mf|1|fw
222|15207|mf|1|fw
223|15207|mf|1|fw
228|41316|mf|1|la
229|41316|mf|1|la
230|44989|mf|1|la
231|60210|mf|0|fw
232|44989|mf|0|la
232|15338|mf|0|fw
237|41316|mf|0|la
240|15517|da|0|no
241|15208|oi|1|la
241|44989|mf|1|la
242|44989|mf|1|la
246|40691|oi|1|fw
247|40691|oa|1|fw
249|17127|mf|1|fw
250|17127|mf|1|fw
250|37605|oi|1|fw
251|37605|oi|1|fw
252|15207|oi|1|fw
253|15207|oi|1|fw
255|41316|oi|1|fw
256|41316|oi|1|fw
259|17733|oi|1|la
260|17733|oi|1|la
262|44989|oi|1|fw
263|44989|oi|1|fw
266|15208|oi|1|la
267|15208|oi|1|la
270|40691|oa|0|fw
271|15337|da|0|la
294|17127|mf|0|fw
294|15337|da|0|la
303|17127|mf|0|fw
306|15207|mf|0|fw
307|15207|mf|1|fw
309|15208|mf|1|fw
310|15208|mf|1|fw
311|44989|mf|1|la
312|44989|mf|1|la
314|41316|oi|1|la
315|41316|oi|1|la
317|17733|oi|1|la
318|17733|oi|1|la
319|41316|oi|1|la
320|41316|oi|0|la
321|41316|oi|0|la
321|37070|di|0|fw
325|37070|di|0|fw
326|60210|di|0|fw
327|15517|di|1|fw
327|60210|di|1|fw
328|15517|di|1|fw
329|37368|di|1|fw
333|38392|mf|0|la
334|37368|di|0|fw
334|38392|mf|1|la
351|37070|di|0|fw
353|60210|mf|1|fw
356|41316|di|0|la
357|41316|di|1|la
357|20388|da|1|la
358|20388|da|1|la
361|17127|di|1|la
362|17127|di|1|la
365|40691|di|1|fw
366|40691|mf|1|fw
368|60207|di|0|la
368|37605|oi|0|fw
370|12875|di|0|la
370|37605|oi|0|fw
371|12875|di|0|la
371|37605|oi|0|fw
378|37605|oi|0|fw
380|40691|mf|0|fw
381|40691|mf|1|fw
382|15207|mf|1|fw
383|15207|mf|1|fw
384|15208|mf|1|fw
385|15208|mf|1|fw
387|44989|oi|1|la
388|44989|oi|1|la
389|15207|oi|1|la
