_ts|player_id|place|ball|direc
0|60210|da|0|no
0|14937|da|0|no
1|60210|mf|1|fw
1|20226|mf|1|fw
2|37368|mf|1|la
2|20226|mf|1|fw
3|37368|mf|1|la
4|50089|di|1|fw
5|50089|di|1|la
9|60207|di|1|la
10|60207|mf|1|la
14|50089|di|1|la
15|50089|di|1|la
20|60207|di|1|la
21|60207|di|1|la
27|20226|oa|0|la
29|20226|oa|0|fw
29|10929|da|0|la
38|44743|da|0|la
44|27256|da|0|la
45|27256|di|1|la
46|19921|mf|1|la
47|19921|mf|1|la
52|27256|di|1|la
53|27256|di|1|la
56|44743|da|1|la
57|44743|da|1|la
58|16738|di|1|la
59|16738|di|1|la
66|27256|di|1|la
67|27256|di|1|la
68|16738|di|1|la
69|16738|di|1|la
72|19624|mf|1|fw
73|19624|mf|1|fw
77|14937|oi|1|fw
79|12875|da|0|la
79|14937|oa|0|fw
92|12875|da|0|la
97|16738|oi|0|fw
97|20226|di|0|la
115|60207|di|0|la
118|15337|da|1|la
124|26904|di|0|fw
124|15337|oi|0|la
130|26904|mf|0|fw
132|16738|di|0|fw
133|16738|di|1|fw
140|27256|di|1|la
141|27256|mf|1|la
142|58813|mf|1|la
143|58813|mf|1|la
144|10929|oi|1|la
145|10929|oi|1|la
148|61770|mf|0|fw
148|58813|mf|1|la
150|17152|mf|1|fw
152|19921|mf|0|la
153|19921|mf|0|fw
153|17152|mf|0|la
158|26904|mf|0|fw
160|19620|mf|0|fw
161|19620|mf|1|fw
165|16738|di|1|fw
166|16738|mf|1|fw
170|19921|mf|1|fw
171|19921|mf|1|fw
171|14937|mf|1|la
172|14937|mf|1|la
175|27256|mf|1|la
177|12875|di|0|la
178|60210|mf|0|la
179|60210|mf|1|la
181|12875|mf|0|la
181|19624|mf|0|fw
183|37368|mf|0|la
183|38530|mf|0|fw
184|15517|mf|1|la
187|60207|di|0|la
187|38530|mf|0|fw
189|19624|mf|1|fw
190|19620|mf|1|fw
191|19620|mf|1|fw
193|26904|mf|1|fw
194|26904|mf|1|fw
197|19620|mf|1|fw
198|19620|mf|1|fw
200|26904|oi|1|fw
201|26904|oi|1|fw
204|60210|di|0|la
204|38530|oi|0|fw
205|37368|di|0|la
206|37368|di|1|la
206|60210|mf|1|la
207|60210|mf|1|la
208|20226|mf|1|la
209|16738|mf|0|fw
211|16738|mf|0|fw
211|20226|mf|0|la
217|12875|mf|0|la
217|15517|di|0|la
218|12875|mf|1|la
218|15517|di|1|la
219|12875|mf|1|la
220|15517|di|1|la
221|12875|mf|1|la
221|15517|di|1|la
222|12875|mf|1|la
223|60210|mf|1|la
224|60210|mf|1|la
225|16738|mf|0|fw
225|20226|mf|0|la
228|60210|da|0|no
237|37368|mf|0|la
242|61770|oi|1|fw
242|14937|di|0|la
243|61770|oi|0|fw
243|14937|di|0|la
247|14937|mf|0|la
251|61770|mf|0|fw
251|14937|mf|0|la
252|14937|mf|0|la
253|14937|mf|1|la
255|19921|mf|1|la
256|60210|mf|0|la
258|19921|mf|1|fw
260|19620|mf|1|fw
261|19620|mf|1|fw
263|26904|mf|1|fw
264|26904|mf|1|fw
267|19624|mf|1|fw
268|19624|mf|1|fw
268|10929|mf|1|fw
269|10929|mf|1|fw
276|19620|mf|1|fw
277|19620|oi|1|la
280|61770|da|0|la
280|58813|oa|0|fw
281|58813|oa|1|la
282|19620|oi|0|la
283|50089|da|0|la
284|50089|da|0|la
285|38530|oa|0|fw
351|60210|mf|1|la
351|20226|mf|1|fw
352|37368|mf|1|la
352|20226|mf|1|fw
353|37368|mf|1|la
356|50089|di|1|fw
358|14937|mf|0|la
359|14937|mf|0|la
361|14937|oi|1|la
363|50089|di|0|la
363|38530|oi|1|fw
364|50089|di|0|la
365|50089|di|1|la
368|19921|oi|0|la
371|19921|oi|1|la
373|19624|oi|1|fw
374|19624|oi|1|la
375|58813|oi|1|la
376|58813|oi|1|la
378|19624|mf|1|la
379|19624|mf|1|la
381|19620|mf|1|fw
382|19620|mf|1|fw
384|26904|oi|1|fw
385|26904|oi|1|fw
386|19620|mf|1|fw
387|19620|mf|1|fw
388|19624|mf|1|fw
389|19624|mf|1|fw
390|38530|oi|1|fw
391|19624|oi|1|fw
391|38530|oi|1|fw
392|19624|oi|1|fw
394|26904|oi|1|fw
395|26904|oi|1|fw
397|19620|mf|1|fw
398|19620|mf|1|fw
400|10929|oi|1|fw
401|10929|oi|1|fw
402|19921|oi|1|fw
403|19921|oi|1|fw
407|58813|oa|0|fw
408|61770|da|0|la
409|61770|da|0|la
409|58813|oa|0|fw
441|19620|oa|0|fw
445|16738|oa|1|fw
446|15337|da|0|la
448|15337|da|0|la
449|20226|di|0|la
450|20226|di|1|la
452|60210|mf|0|fw
452|58813|mf|0|la
453|19921|mf|1|la
453|58813|mf|0|la
454|19921|mf|1|la
454|27256|mf|1|la
455|27256|mf|1|la
458|58813|mf|1|la
459|58813|mf|1|la
462|19620|mf|1|la
463|19620|mf|1|la
465|16738|di|1|fw
466|16738|di|1|fw
468|19624|mf|1|fw
469|19624|mf|1|fw
471|19921|mf|1|fw
472|19921|mf|1|fw
472|38530|mf|1|fw
473|38530|mf|1|fw
476|16738|di|1|fw
477|16738|di|1|la
480|27256|di|1|la
481|27256|mf|1|la
482|58813|oi|1|la
483|58813|oi|1|la
483|14937|oi|1|la
484|14937|oi|1|la
485|58813|oi|1|la
486|58813|oi|1|la
490|27256|mf|1|la
491|27256|mf|1|la
494|44743|da|1|la
495|44743|da|1|la
497|16738|di|1|fw
498|16738|di|1|fw
504|19620|mf|1|fw
505|19620|mf|1|fw
508|19624|mf|1|la
509|19921|mf|1|fw
509|19624|mf|1|la
510|19921|mf|1|fw
512|16738|mf|1|fw
513|16738|mf|1|fw
514|26904|mf|1|fw
515|26904|mf|1|fw
517|61770|mf|0|la
518|38530|mf|1|fw
519|61770|mf|0|la
519|38530|mf|0|fw
552|12875|mf|0|la
552|15517|di|0|la
553|15517|di|1|la
555|50089|di|1|la
556|50089|di|1|la
559|60207|di|1|la
