_ts|_fl|id|name|real_position|real_position_side|known_name|short_name|last_name|first_name|middle_name|team_id|preferred_foot|club|caps|goals|jersey_num|country|birth_date|position
0|+|20480|Tim Krul|Goalkeeper|Unknown||Krul|Krul|Tim|Michael|366||Newcastle United|5|0|23|Netherlands|1988-04-03|Goalkeeper
0|+|2051|Frank Lampard|Central Midfielder|Centre||Lampard|Lampard|Frank|James|114||Unknown|105|29|8|England|1978-06-20|Midfielder
0|+|86813|Aissa Mandi|Full Back|Left/Right||Mandi|Mandi|Aissa||1215||Reims|2|0|20|Algeria|1991-10-22|Defender
0|+|43013|Alfredo Talavera|Goalkeeper|Unknown||Talavera|Talavera|Alfredo||659||Toluca|14|0|12|Mexico|1982-09-18|Goalkeeper
0|+|77831|Mohammed Rabiu|Defensive Midfielder|Centre||Rabiu|Rabiu|Mohammed||1219||Kuban Krasnodar|17|0|17|Ghana|1989-12-31|Midfielder
0|+|12297|Robin van Persie|Striker|Centre||van Persie|van Persie|Robin||366|Left|Manchester United|85|43|9|Netherlands|1983-08-06|Forward
0|+|80215|Mohamed Zemmamouche|Goalkeeper|Unknown||Zemmamouche|Zemmamouche|Mohamed|Lamine|1215||USM Alger|7|0|16|Algeria|1985-03-19|Goalkeeper
0|+|43020|Javier Hernández|Striker|Centre||Hernández|Hernández|Javier|Balcázar|659|Right|Manchester United|62|35|14|Mexico|1988-06-01|Forward
0|+|12303|Didier Drogba|Striker|Centre||Drogba|Drogba|Didier|Yves|1221||Galatasaray|102|63|11|Côte d'Ivoire|1978-03-11|Forward
0|+|51221|Marco Parolo|Central Midfielder|Left/Centre||Parolo|Parolo|Marco||119|Mostly Right|Parma|4|0|18|Italy|1985-01-25|Midfielder
0|+|119471|Fabian Schär|Central Defender|Centre||Schär|Schär|Fabian||497||Basel|6|3|22|Switzerland|1991-12-20|Defender
0|+|4126|Gianluigi Buffon|Goalkeeper|Unknown||Buffon|Buffon|Gianluigi||119|Right|Juventus|140|0|1|Italy|1978-01-28|Goalkeeper
0|+|77859|Lee Bum-Young|Goalkeeper|Unknown|Lee Bum-Young|Lee Bum-Young|Lee|Bum-Young||1041||Busan I'Park|0|0|23|South Korea|1989-04-02|Goalkeeper
0|+|99334|Juan Carlos García|Full Back|Left|Juan Carlos García|Juan Carlos García|García|Juan Carlos||847||Wigan Athletic|36|1|6|Honduras|1988-03-08|Defender
0|+|77864|Hong Jeong-Ho|Central Defender|Centre|Hong Jeong-Ho|Hong Jeong-Ho|Hong|Jeong-Ho||1041|Right|FC Augsburg|25|1|20|South Korea|1989-08-12|Defender
0|+|77865|Koo Ja-Cheol|Attacking Midfielder|Centre|Koo Ja-Cheol|Koo Ja-Cheol|Koo|Ja-Cheol||1041|Right|1. FSV Mainz 05|37|12|13|South Korea|1989-02-27|Midfielder
0|+|49195|Jefferson Montero|Winger|Left/Right||Montero|Montero|Jefferson|Antonio|830|Left|Monarcas Morelia|40|8|7|Ecuador|1989-09-01|Midfielder
0|+|51247|Vladimir Granat|Full Back|Left||Granat|Granat|Vladimir|Vasilyevich|536||Dynamo Moscow|5|0|13|Russia|1987-05-22|Defender
0|+|77875|Yun Suk-Young|Full Back|Left|Yun Suk-Young|Yun Suk-Young|Yun|Suk-Young||1041||Queens Park Rangers|4|0|3|South Korea|1990-02-13|Defender
0|+|77877|Kim Bo-Kyung|Attacking Midfielder|Left/Centre/Right|Kim Bo-Kyung|Kim Bo-Kyung|Kim|Bo-Kyung||1041||Cardiff City|28|3|7|South Korea|1989-10-06|Midfielder
0|+|59741|Max Gradel|Winger|Left/Centre/Right||Gradel|Gradel|Max|Alain|1221||St Etienne|26|3|15|Côte d'Ivoire|1987-11-30|Midfielder
0|+|51255|Dmitriy Kombarov|Winger|Left||Kombarov|Kombarov|Dmitriy|Vladimirovich|536||Spartak Moscow|23|1|23|Russia|1987-01-22|Midfielder
0|+|14664|Yaya Touré|Defensive Midfielder|Centre|Yaya Touré|Yaya Touré|Touré|Gnegneri Yaya||1221||Manchester City|82|16|19|Côte d'Ivoire|1983-05-13|Midfielder
0|+|104514|Oliver Zelenika|Goalkeeper|Unknown||Zelenika|Zelenika|Oliver||535||Lokomotiva Zagreb|0|0|12|Croatia|1993-05-14|Goalkeeper
0|+|45124|André Ayew|Winger|Left/Right|André Ayew|André Ayew|Ayew|André|Morgan Rami|1219||Marseille|48|4|10|Ghana|1989-12-17|Midfielder
0|+|14937|Cristiano Ronaldo|Second Striker|Left/Centre/Right||Ronaldo|Ronaldo|Cristiano||359|Both|Real Madrid|111|49|7|Portugal|1985-02-05|Forward
0|+|18507|Diego Costa|Striker|Centre|Diego Costa|Diego Costa|Da Silva Costa|Diego||118|Both|Atlético de Madrid|4|0|19|Spain|1988-10-07|Forward
0|+|80226|Serge Aurier|Full Back|Right||Aurier|Aurier|Serge||1221||Toulouse|8|0|17|Côte d'Ivoire|1992-12-24|Defender
0|+|49230|Viktor Faizulin|Attacking Midfielder|Centre/Right||Faizulin|Faizulin|Viktor|Igorevich|536||Zenit St Petersburg|19|4|20|Russia|1986-04-22|Midfielder
0|+|49232|Aleksey Ionov|Winger|Right||Ionov|Ionov|Aleksey|Sergeyevich|536||Dynamo Moscow|5|0|21|Russia|1989-02-18|Midfielder
0|+|18787|Rio Mavuba|Central Midfielder|Centre||Mavuba|Mavuba|Rio|Antonio Zoba|368||Lille|12|0|12|France|1984-03-08|Midfielder
0|+|20153|Rodrigo Palacio|Striker|Centre||Palacio|Palacio|Rodrigo||632|Right|Internazionale|22|3|18|Argentina|1982-02-05|Forward
0|+|126407|Nabil Bentaleb|Central Midfielder|Centre||Bentaleb|Bentaleb|Nabil||1215||Tottenham Hotspur|3|1|14|Algeria|1994-11-24|Midfielder
0|+|180315|Sylvain Gbohouo|Goalkeeper|Unknown||Gbohouo|Gbohouo|Sylvain||1221||Séwé Sport|2|0|16|Côte d'Ivoire|1988-10-29|Goalkeeper
0|+|6240|Shola Ameobi|Striker|Centre|Shola Ameobi|Shola Ameobi|Ameobi|Foluwashola||1216|Right|Unknown|7|2|23|Nigeria|1981-10-12|Forward
0|+|18529|Reto Ziegler|Full Back|Left||Ziegler|Ziegler|Reto||497|Left|Sassuolo|35|1|3|Switzerland|1986-01-16|Defender
0|+|45154|Ezequiel Lavezzi|Second Striker|Left/Centre/Right||Lavezzi|Lavezzi|Ezequiel||632|Right|Paris Saint Germain|31|4|22|Argentina|1985-05-03|Forward
0|+|45156|Antonio Candreva|Attacking Midfielder|Left/Centre/Right||Candreva|Candreva|Antonio||119|Right|Lazio|20|0|6|Italy|1987-02-28|Midfielder
0|+|36968|Park Chu-Young|Second Striker|Centre|Park Chu-Young|Park Chu-Young|Park|Chu-Young||1041||Arsenal|64|24|10|South Korea|1985-07-10|Forward
0|+|106606|Massimo Luongo|Defensive Midfielder|Centre||Luongo|Luongo|Massimo||575||Swindon Town|2|0|21|Australia|1992-09-25|Midfielder
0|+|41071|Reza Ghoochanneijhad|Second Striker|Left/Centre/Right||Ghoochanneijhad|Ghoochanneijhad|Reza||1042||Charlton Athletic|14|10|16|Iran|1987-09-20|Forward
0|+|18547|Ignazio Abate|Full Back|Right||Abate|Abate|Ignazio||119|Right|Milan|20|1|7|Italy|1986-11-12|Defender
0|+|49277|Leroy Fer|Central Midfielder|Centre||Fer|Fer|Leroy||366||Norwich City|6|0|18|Netherlands|1990-01-05|Midfielder
0|+|34949|Nicolas Lombaerts|Central Defender|Centre||Lombaerts|Lombaerts|Nicolas||360||Zenit St Petersburg|25|2|18|Belgium|1985-03-20|Defender
0|+|4232|Iker Casillas|Goalkeeper|Unknown||Casillas|Casillas|Iker||118|Left|Real Madrid|154|0|1|Spain|1981-05-20|Goalkeeper
0|+|18573|Maicon|Full Back|Right|Maicon|Maicon|Sisenando|Maicon Douglas||614|Right|Roma|72|7|23|Brazil|1981-07-26|Defender
0|+|53392|Ramires|Central Midfielder|Centre|Ramires|Ramires|Santos do Nascimento|Ramires||614||Chelsea|42|4|16|Brazil|1987-03-24|Midfielder
0|+|184468|Luis López|Goalkeeper|Unknown||López|López|Luis|Aurelio|847||Real Espana|0|0|1|Honduras|1993-09-13|Goalkeeper
0|+|168085|Julian Green|Winger|Left||Green|Green|Julian|Wesley|596|Both|FC Bayern München|2|0|16|USA|1995-06-06|Midfielder
0|+|98456|Ante Rebic|Striker|Centre||Rebic|Rebic|Ante||535|Right|Fiorentina|5|1|16|Croatia|1993-09-21|Forward
0|+|102555|Edgar Salli|Second Striker|Left/Centre/Right||Salli|Salli|Edgar|Nicaise Constant|494||Monaco|9|1|20|Cameroon|1992-08-17|Forward
0|+|57500|Timothy Chandler|Wing Back|Right||Chandler|Chandler|Timothy||596|Right|Eintracht Frankfurt|13|0|21|USA|1990-03-29|Defender
0|+|12450|Kolo Touré|Central Defender|Centre||Touré|Touré|Kolo|Habib|1221||Liverpool|107|6|4|Côte d'Ivoire|1981-03-19|Defender
0|+|184483|Ahmad Alnameh|Central Defender|Centre||Alnameh|Alnameh|Ahmad||1042||Naft Tehran|9|1|17|Iran|1982-10-20|Defender
0|+|39077|Paul Verhaegh|Full Back|Right||Verhaegh|Verhaegh|Paul||366|Right|FC Augsburg|2|0|12|Netherlands|1983-09-01|Defender
0|+|14503|Konstantinos Katsouranis|Defensive Midfielder|Centre||Katsouranis|Katsouranis|Konstantinos||517||PAOK Salonika|111|10|21|Greece|1979-06-21|Midfielder
0|+|77992|Nicolás Lodeiro|Attacking Midfielder|Left/Centre/Right||Lodeiro|Lodeiro|Nicolás||837|Left|Corinthians|26|3|14|Uruguay|1989-03-21|Midfielder
0|+|27335|Stephan Lichtsteiner|Full Back|Right||Lichtsteiner|Lichtsteiner|Stephan||497|Right|Juventus|63|5|2|Switzerland|1984-01-16|Defender
0|+|37036|Andranik Teymourian|Defensive Midfielder|Centre||Teymourian|Teymourian|Andranik||1042||Esteghlal|79|8|14|Iran|1983-03-06|Midfielder
0|+|184493|Hossein Mahini|Full Back|Right||Mahini|Mahini|Hossein||1042||Persepolis FC|23|0|13|Iran|1986-09-16|Defender
0|+|184497|Ghasem Haddadifar|Attacking Midfielder|Centre||Haddadifar|Haddadifar|Ghasem||1042||Persepolis FC|18|0|11|Iran|1983-07-12|Midfielder
0|+|20658|Pablo Zabaleta|Full Back|Right||Zabaleta|Zabaleta|Pablo|Javier|632||Manchester City|36|0|4|Argentina|1985-01-16|Defender
0|+|14516|Didier Zokora|Central Midfielder|Centre||Zokora|Zokora|Didier|Alain|1221|Right|Unknown|119|1|5|Côte d'Ivoire|1980-12-14|Midfielder
0|+|100534|Paulinho|Central Midfielder|Centre|Paulinho|Paulinho|Bezerra Maciel Júnior|José Paulo||614|Right|Tottenham Hotspur|26|5|8|Brazil|1988-07-25|Midfielder
0|+|149687|Rashid Sumaila|Central Defender|Centre||Sumaila|Sumaila|Rashid||1219||Mamelodi Sundowns FC|8|0|15|Ghana|1992-12-18|Defender
0|+|20664|David Silva|Attacking Midfielder|Left/Centre/Right||Silva|Silva|David|Josué Jiménez|118||Manchester City|80|20|21|Spain|1986-01-08|Midfielder
0|+|37055|Luka Modric|Attacking Midfielder|Left/Centre/Right||Modric|Modric|Luka||535||Real Madrid|75|8|10|Croatia|1985-09-09|Midfielder
0|+|39104|Mousa Dembélé|Central Midfielder|Centre||Dembélé|Dembélé|Mousa|Sidi Yaya|360||Tottenham Hotspur|57|5|19|Belgium|1987-07-16|Midfielder
0|+|43106|Paul Aguilar|Wing Back|Right||Aguilar|Aguilar|Paul|Nicolás|659|Right|América|28|3|22|Mexico|1986-03-06|Defender
0|+|28103|Danijel Pranjic|Full Back|Left||Pranjic|Pranjic|Danijel||535|Left|Panathinaikos|50|0|3|Croatia|1981-12-02|Defender
0|+|37064|Andrés Guardado|Winger|Left||Guardado|Guardado|Andrés||659|Left|Valencia CF|102|14|18|Mexico|1986-09-28|Midfielder
0|+|52940|Daryl Janmaat|Full Back|Right||Janmaat|Janmaat|Daryl||366||Feyenoord|16|0|7|Netherlands|1989-07-22|Defender
0|+|131897|Matthew Ryan|Goalkeeper|Unknown||Ryan|Ryan|Matthew|David|575||Club Brugge|7|0|1|Australia|1992-04-08|Goalkeeper
0|+|37070|Fabian Johnson|Full Back|Right||Johnson|Johnson|Fabian||596|Both|1899 Hoffenheim|22|1|23|USA|1987-12-11|Defender
0|+|32978|Luis Saritama|Attacking Midfielder|Left/Centre||Saritama|Saritama|Luis|Fernando|830||Barcelona de Guayaquil|49|0|19|Ecuador|1983-10-20|Midfielder
0|+|148515|Rafa|Attacking Midfielder|Centre|Rafa|Rafa|Ferreira da Silva|Rafael Alexandre Fernandes||359||Sporting Braga|3|0|15|Portugal|1993-05-17|Midfielder
0|+|45268|Moussa Sissoko|Central Midfielder|Left/Centre/Right||Sissoko|Sissoko|Moussa||368||Newcastle United|17|0|18|France|1989-08-16|Midfielder
0|+|20695|Antonio Valencia|Winger|Right|Antonio Valencia|Antonio Valencia|Valencia|Luis Antonio||830||Manchester United|71|8|16|Ecuador|1985-08-04|Midfielder
0|+|18649|Loukas Vyntra|Full Back|Right||Vyntra|Vyntra|Loukas||517||Levante|50|0|11|Greece|1981-02-05|Defender
0|+|37084|Bryan Ruiz|Striker|Centre||Ruiz|Ruiz|Bryan|Jafet|838||Fulham|63|13|10|Costa Rica|1985-08-18|Forward
0|+|26848|Alexandros Tziolis|Defensive Midfielder|Centre||Tziolis|Tziolis|Alexandros||517|Right|Kayserispor|49|1|6|Greece|1985-02-13|Midfielder
0|+|45281|Roman Bürki|Goalkeeper|Unknown||Bürki|Bürki|Roman||497||Grasshoppers Zürich|0|0|21|Switzerland|1990-11-14|Goalkeeper
0|+|49380|Constant Djakpa|Full Back|Left||Djakpa|Djakpa|Constant||1221|Left|Eintracht Frankfurt|5|0|18|Côte d'Ivoire|1986-10-17|Defender
0|+|41189|Axel Witsel|Attacking Midfielder|Centre/Right||Witsel|Witsel|Axel|Thomas|360|Right|Zenit St Petersburg|48|5|6|Belgium|1989-01-12|Midfielder
0|+|20716|Jasmin Fejzic|Goalkeeper|Unknown||Fejzic|Fejzic|Jasmin||537|Right|VfR Aalen|0|0|12|Bosnia and Herzegovina|1986-05-15|Goalkeeper
0|+|51437|Alan Dzagoev|Attacking Midfielder|Left/Centre/Right||Dzagoev|Dzagoev|Alan|Yelizbarovich|536||CSKA Moscow|33|8|10|Russia|1990-06-17|Midfielder
0|+|61680|Maksim Kanunnikov|Striker|Centre||Kanunnikov|Kanunnikov|Maksim|Sergeyevich|536||Rubin Kazan|2|0|6|Russia|1991-07-14|Forward
0|+|90152|Raphael Varane|Central Defender|Centre||Varane|Varane|Raphael||368|Right|Real Madrid|6|0|4|France|1993-04-25|Defender
0|+|19921|Raul Meireles|Central Midfielder|Centre||Meireles|Meireles|Raul|José Trindade|359|Both|Fenerbahce|74|10|16|Portugal|1983-03-17|Midfielder
0|+|39155|Adam Lallana|Attacking Midfielder|Left/Centre/Right||Lallana|Lallana|Adam|David|114||Southampton|6|0|20|England|1988-05-10|Midfielder
0|+|8438|Samuel Eto'o|Striker|Centre||Eto'o|Eto'o|Samuel||494|Right|Unknown|115|56|9|Cameroon|1981-03-10|Forward
0|+|18679|Anthony Vanden Borre|Full Back|Right||Vanden Borre|Vanden Borre|Anthony||360|Left|RSC Anderlecht|25|1|21|Belgium|1987-10-24|Defender
0|+|8442|Michael Essien|Defensive Midfielder|Centre||Essien|Essien|Michael|Kojo|1219|Right|Milan|57|9|5|Ghana|1982-12-03|Midfielder
0|+|37118|Senijad Ibricic|Attacking Midfielder|Centre||Ibricic|Ibricic|Senijad||537||Kayseri Erciyesspor|44|4|17|Bosnia and Herzegovina|1985-09-26|Midfielder
0|+|69887|Izet Hajrovic|Winger|Right||Hajrovic|Hajrovic|Izet||537||Galatasaray|8|2|20|Bosnia and Herzegovina|1991-08-04|Midfielder
0|+|18689|Yuri Zhirkov|Winger|Left||Zhirkov|Zhirkov|Yuri|Valentinovich|536||Dynamo Moscow|61|1|18|Russia|1983-08-20|Midfielder
0|+|50902|Carlos Carmona|Defensive Midfielder|Centre/Right||Carmona|Carmona|Carlos||831|Right|Atalanta|45|1|6|Chile|1987-02-21|Midfielder
0|+|18695|Vedad Ibisevic|Striker|Centre||Ibisevic|Ibisevic|Vedad||537|Right|VfB Stuttgart|55|20|9|Bosnia and Herzegovina|1984-08-06|Forward
0|+|82184|Majeed Waris|Striker|Centre||Waris|Waris|Majeed||1219||Spartak Moscow|13|3|18|Ghana|1991-09-19|Forward
0|+|43274|Gervinho|Second Striker|Left/Centre/Right|Gervinho|Gervinho|Kouassi|Gervais|Yao|1221||Roma|53|14|10|Côte d'Ivoire|1987-05-27|Forward
0|+|78091|Gastón Ramírez|Attacking Midfielder|Left/Centre/Right||Ramírez|Ramírez|Gastón|Ezequiel|837|Left|Southampton|29|0|18|Uruguay|1990-12-02|Midfielder
0|+|26894|Dante|Central Defender|Centre|Dante|Dante|Costa Santos|Dante Bonfim||614|Left|FC Bayern München|12|2|13|Brazil|1983-10-18|Defender
0|+|68312|Xherdan Shaqiri|Winger|Left/Right||Shaqiri|Shaqiri|Xherdan||497|Both|FC Bayern München|33|9|23|Switzerland|1991-10-10|Midfielder
